"scenario","rep","parameter","n_draws","elapsed_sec","ess","ess_per_sec","rhat","rhat_note"
"S1","rep01","beta0",4000,120.372999999672,3689.04942396278,30.6468180071347,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep01","beta1",4000,120.372999999672,1724.06591328837,14.322696229994,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep01","beta2",4000,120.372999999672,2359.99839592039,19.6057122106022,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep01","r_mean",4000,120.372999999672,2779.14264062144,23.0877575588297,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep01","phi_mean",4000,120.372999999672,967.227435997582,8.03525239048804,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep01","loglik",4000,120.372999999672,922.611029356847,7.66460110954583,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep02","beta0",4000,117.793999999762,3563.91724107505,30.2555074204311,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep02","beta1",4000,117.793999999762,2040.70042268585,17.3243155227769,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep02","beta2",4000,117.793999999762,1845.60918157163,15.6681085757795,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep02","r_mean",4000,117.793999999762,2971.81118303994,25.2288841795503,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep02","phi_mean",4000,117.793999999762,757.892139253024,6.43404705888719,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep02","loglik",4000,117.793999999762,1091.27616652425,9.26427633433335,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep03","beta0",4000,118.419000000693,3679.0980900157,31.0684779469019,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep03","beta1",4000,118.419000000693,2109.87813618006,17.8170575344136,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep03","beta2",4000,118.419000000693,1896.53951868069,16.0155002041023,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep03","r_mean",4000,118.419000000693,2553.16213258271,21.5604094998925,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep03","phi_mean",4000,118.419000000693,977.262835184445,8.2525847640896,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep03","loglik",4000,118.419000000693,1380.77304217616,11.6600633527397,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep04","beta0",4000,117.388000000268,3521.31261187713,29.9972110596405,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep04","beta1",4000,117.388000000268,2014.61805763132,17.1620443114008,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep04","beta2",4000,117.388000000268,1908.28470344682,16.2562161672612,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep04","r_mean",4000,117.388000000268,2632.13418703919,22.422514967741,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep04","phi_mean",4000,117.388000000268,642.182779580056,5.47059988736999,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep04","loglik",4000,117.388000000268,946.065652137284,8.05930463194809,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep05","beta0",4000,115.30700000003,3143.87591509712,27.2652650324465,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep05","beta1",4000,115.30700000003,1927.17561954668,16.7134312708351,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep05","beta2",4000,115.30700000003,2154.40544252636,18.6840819943785,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep05","r_mean",4000,115.30700000003,2583.07458179746,22.4017152627056,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
"S1","rep05","phi_mean",4000,115.30700000003,1024.24951495637,8.88280429597604,NA,"NA: current manifest has one chain only; rerun multiple chains for formal R-hat"
