"scenario","rep","parameter","truth","post_mean","bias","rmse_component","q025","q975","cover"
"S1","rep01","beta0",-1.5,-1.50124984055817,-0.0012498405581709,1.56210142084895e-06,-1.51936346524474,-1.48357245058212,1
"S1","rep01","beta1",0.5,0.513420495501924,0.0134204955019239,0.00018010969951716,0.495045995234462,0.531657253301932,1
"S1","rep01","beta2",-0.4,-0.397003922879192,0.00299607712080785,8.97647811382825e-06,-0.415127803970692,-0.378813685342263,1
"S1","rep01","r_mean",15,15.9545261110944,0.954526111094363,0.911120096760929,14.3010327241557,17.6949661212782,1
"S1","rep01","phi_vector",NA,NA,3.10322755146962e-16,0.000401896759862958,NA,NA,1
"S1","rep02","beta0",-1.5,-1.50093082622995,-0.000930826229950998,8.66437470364789e-07,-1.51903062291885,-1.48180194735909,1
"S1","rep02","beta1",0.5,0.491250902482712,-0.00874909751728786,7.65467073670126e-05,0.471958671620089,0.509675034887735,1
"S1","rep02","beta2",-0.4,-0.397442810006185,0.00255718999381455,6.53922066446524e-06,-0.417020971702188,-0.379263809062429,1
"S1","rep02","r_mean",15,14.7468859437746,-0.253114056225357,0.0640667254588531,13.287388245645,16.3323657591021,1
"S1","rep02","phi_vector",NA,NA,-8.56953397132543e-16,0.000761118777508064,NA,NA,0.888888888888889
"S1","rep03","beta0",-1.5,-1.49976831558549,0.000231684414512712,5.3677667928098e-08,-1.51819445901883,-1.48118143483227,1
"S1","rep03","beta1",0.5,0.500148703466035,0.000148703466035016,2.21127208108272e-08,0.481277667405194,0.51970602937232,1
"S1","rep03","beta2",-0.4,-0.387580096521707,0.0124199034782933,0.000154254002410122,-0.406423199342369,-0.368239905066605,1
"S1","rep03","r_mean",15,15.1753414838975,0.175341483897478,0.0307446359753696,13.6193299670913,16.862010254766,1
"S1","rep03","phi_vector",NA,NA,1.70773888857272e-16,0.000368113458259822,NA,NA,1
"S1","rep04","beta0",-1.5,-1.49591637708484,0.00408362291515574,1.6675976113185e-05,-1.51454003993686,-1.47752254043062,1
"S1","rep04","beta1",0.5,0.503810878371793,0.00381087837179284,1.45227939645984e-05,0.485293135022116,0.523120542911193,1
"S1","rep04","beta2",-0.4,-0.392238680750349,0.00776131924965084,6.02380764950007e-05,-0.411508679049095,-0.373208902972069,1
"S1","rep04","r_mean",15,15.4222296790032,0.422229679003232,0.178277901831172,13.8336706703933,17.1808262044208,1
"S1","rep04","phi_vector",NA,NA,-1.41861830924326e-16,0.000533251526353856,NA,NA,1
"S1","rep05","beta0",-1.5,-1.5088952196013,-0.00889521960129569,7.9124931755275e-05,-1.52635175790604,-1.49145285588202,1
"S1","rep05","beta1",0.5,0.510014615702027,0.0100146157020273,0.000100292527659292,0.492676701535683,0.527676860697318,1
"S1","rep05","beta2",-0.4,-0.395024102199156,0.00497589780084357,2.47595589244398e-05,-0.4124126341318,-0.378420295419402,1
"S1","rep05","r_mean",15,16.684275157432,1.68427515743201,2.83678280594262,15.0379631519635,18.4542893981228,0
"S1","rep05","phi_vector",NA,NA,6.03298275534156e-17,0.000349839464930957,NA,NA,1
"S1","rep06","beta0",-1.5,-1.51084373174777,-0.0108437317477716,0.000117586518217631,-1.52839412113551,-1.49377804382725,1
"S1","rep06","beta1",0.5,0.490124538535139,-0.00987546146486112,9.7524739143957e-05,0.472624437645575,0.507409359031531,1
"S1","rep06","beta2",-0.4,-0.392527205748388,0.00747279425161201,5.58426539269256e-05,-0.410066147424942,-0.374392385135302,1
"S1","rep06","r_mean",15,16.3660124416961,1.36601244169607,1.86598999086846,14.7430023342249,18.116542334152,1
"S1","rep06","phi_vector",NA,NA,-3.02516499505067e-16,0.000264802650526611,NA,NA,1
"S1","rep07","beta0",-1.5,-1.48813200291216,0.0118679970878424,0.000140849354877035,-1.50659883995805,-1.4695953280631,1
"S1","rep07","beta1",0.5,0.494469367205435,-0.00553063279456545,3.05878991083228e-05,0.475799692487507,0.51283102810575,1
"S1","rep07","beta2",-0.4,-0.376216950805281,0.0237830491947194,0.000565633428998443,-0.394223680340285,-0.358441942375432,0
"S1","rep07","r_mean",15,16.0576796874564,1.05767968745641,1.11868632125789,14.2493701926023,17.929622672232,1
