"scenario","parameter","mean_bias","rmse","coverage"
"S1","beta0",-0.00128897890099735,0.00914159832556224,0.9
"S2","beta0",-0.000376995450834928,0.00829260316987049,1
"S3","beta0",-0.000286074719296192,0.00841137199308434,1
"S4A","beta0",-0.235223010721288,0.46054039531922,0.3
"S4B","beta0",-0.046706680070858,0.0677270061678792,0.6
"S4C","beta0",-0.00488768494889043,0.0189612816316947,1
"S4D","beta0",0.00137925080792747,0.0182022942407698,1
"S4E","beta0",-0.00105946933734282,0.00703873212781429,1
"S1","beta1",0.000691703479641418,0.00859610840301664,1
"S2","beta1",0.00342229500839787,0.0116643810346335,0.95
"S3","beta1",0.00334813535030681,0.0121269516074669,0.95
"S4A","beta1",-0.00728091945743864,0.0316831896365971,0.9
"S4B","beta1",0.000189472414621782,0.0156165498304466,1
"S4C","beta1",-0.00531412129351745,0.0213154580549833,0.9
"S4D","beta1",0.00648127398726346,0.0237255484561961,1
"S4E","beta1",-0.00181287628859241,0.0115087295054131,0.9
"S1","beta2",0.0014689132276321,0.010950468859993,0.9
"S2","beta2",-0.00146062215818423,0.00815793019434352,1
"S3","beta2",-0.00164327419755606,0.00839285364949676,1
"S4A","beta2",0.0147142676248488,0.0264115963523695,1
"S4B","beta2",0.000119122936927252,0.0138746390030092,1
"S4C","beta2",-0.00509608508488249,0.0164790884650846,1
"S4D","beta2",-0.00549481569164504,0.018280586381323,1
"S4E","beta2",0.00234744481064333,0.00926025230539754,1
"S3","gamma_common",0.0127369565939902,0.0490661808073411,0.9
"S4A","gamma_common",0,0,1
"S4B","gamma_common",0,0,1
"S4C","gamma_common",0,0,1
"S4D","gamma_common",0,0,1
"S4E","gamma_common",0,0,1
"S2","log_kappa_vector",2.36228089148679e-05,0.102963799905885,0.952
"S3","log_kappa_vector",-4.15344953649544e-05,0.103272022939422,0.95
"S4A","log_kappa_vector",-0.0159190239535016,0.251051002881503,0.965111111111111
"S4B","log_kappa_vector",-0.00571225516245917,0.228199815887351,0.955333333333333
"S4C","log_kappa_vector",0.00645495547710561,0.172855394107339,0.952666666666667
"S4D","log_kappa_vector",0.0021476452181456,0.122685061744945,0.954444444444444
"S4E","log_kappa_vector",0.00128748001879434,0.10785724053367,0.946666666666667
"S2","log_lambda_vector",3.46525470355334e-18,0.0472591898529773,0.9495
"S3","log_lambda_vector",2.90421621936451e-18,0.0481108424380893,0.930111111111111
"S4A","log_lambda_vector",6.85968624092128e-06,1.31569755483861,0.982888888888889
"S4B","log_lambda_vector",-1.85091139945668e-17,0.260955621827153,0.989666666666667
"S4C","log_lambda_vector",-1.97088198384944e-17,0.0768147493487054,0.949666666666667
"S4D","log_lambda_vector",1.23974904416476e-17,0.05639652947271,0.933333333333333
"S4E","log_lambda_vector",-1.89415901944804e-17,0.0582743990363619,0.936555555555556
"S1","phi_vector",-2.36130198149239e-17,0.0271141514612332,0.933333333333333
"S2","phi_vector",1.86386400141064e-17,0.0261808214946077,0.95
"S3","phi_vector",8.41099952032643e-18,0.0261808761161039,0.955555555555555
"S4A","phi_vector",-1.14029156487542e-16,1.19499449316978,0.722222222222222
"S4B","phi_vector",-8.12362571116375e-17,0.120958457321211,0.888888888888889
"S4C","phi_vector",3.04829464139702e-17,0.0517099162089111,0.944444444444444
"S4D","phi_vector",1.93228920518528e-16,0.0516559506772607,0.977777777777778
"S4E","phi_vector",-2.60097089506571e-16,0.0283640926842359,0.966666666666667
"S1","r_mean",0.534153427059737,1.04269300501116,0.85
"S2","r_mean",0.46704106701393,0.785541613356989,1
"S3","r_mean",0.445238971135518,0.745654098446132,1
"S4A","r_mean",1.51299838151146,2.11251331451744,1
"S4B","r_mean",2.58502411775868,3.08009079996258,1
"S4C","r_mean",0.194119537762284,0.240877086953715,0.9
"S4D","r_mean",0.534982034775936,1.67158035671096,1
"S4E","r_mean",0.286115655150754,0.584766107396643,1
