"scenario","rep","file","is_formal_candidate","formal_label"
"unknown","rep01","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep01.rds",TRUE,NA
"unknown","rep02","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep02.rds",TRUE,NA
"unknown","rep03","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep03.rds",TRUE,NA
"unknown","rep04","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep04.rds",TRUE,NA
"unknown","rep05","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep05.rds",TRUE,NA
"unknown","rep06","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep06.rds",TRUE,NA
"unknown","rep07","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep07.rds",TRUE,NA
"unknown","rep08","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep08.rds",TRUE,NA
"unknown","rep09","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep09.rds",TRUE,NA
"unknown","rep10","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep10.rds",TRUE,NA
"unknown","rep11","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep11.rds",TRUE,NA
"unknown","rep12","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep12.rds",TRUE,NA
"unknown","rep13","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep13.rds",TRUE,NA
"unknown","rep14","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep14.rds",TRUE,NA
"unknown","rep15","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep15.rds",TRUE,NA
"unknown","rep16","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep16.rds",TRUE,NA
"unknown","rep17","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep17.rds",TRUE,NA
"unknown","rep18","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep18.rds",TRUE,NA
"unknown","rep19","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep19.rds",TRUE,NA
"unknown","rep20","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/DGP_DYNAMIC_T100/data_rep20.rds",TRUE,NA
"S1","rep01","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep01.rds",TRUE,NA
"S1","rep02","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep02.rds",TRUE,NA
"S1","rep03","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep03.rds",TRUE,NA
"S1","rep04","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep04.rds",TRUE,NA
"S1","rep05","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep05.rds",TRUE,NA
"S1","rep06","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep06.rds",TRUE,NA
"S1","rep07","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep07.rds",TRUE,NA
"S1","rep08","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep08.rds",TRUE,NA
"S1","rep09","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep09.rds",TRUE,NA
"S1","rep10","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep10.rds",TRUE,NA
"S1","rep11","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep11.rds",TRUE,NA
"S1","rep12","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep12.rds",TRUE,NA
"S1","rep13","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep13.rds",TRUE,NA
"S1","rep14","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep14.rds",TRUE,NA
"S1","rep15","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep15.rds",TRUE,NA
"S1","rep16","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep16.rds",TRUE,NA
"S1","rep17","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep17.rds",TRUE,NA
"S1","rep18","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep18.rds",TRUE,NA
"S1","rep19","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep19.rds",TRUE,NA
"S1","rep20","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S1_BASELINE_VALIDATION_T100/data_rep20.rds",TRUE,NA
"S2","rep01","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep01.rds",TRUE,NA
"S2","rep02","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep02.rds",TRUE,NA
"S2","rep03","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep03.rds",TRUE,NA
"S2","rep04","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep04.rds",TRUE,NA
"S2","rep05","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep05.rds",TRUE,NA
"S2","rep06","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep06.rds",TRUE,NA
"S2","rep07","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep07.rds",TRUE,NA
"S2","rep08","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep08.rds",TRUE,NA
"S2","rep09","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep09.rds",TRUE,NA
"S2","rep10","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep10.rds",TRUE,NA
"S2","rep11","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep11.rds",TRUE,NA
"S2","rep12","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep12.rds",TRUE,NA
"S2","rep13","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep13.rds",TRUE,NA
"S2","rep14","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep14.rds",TRUE,NA
