"scenario","rep","parent","field","class","dim"
"S1","rep01","samples","beta0","numeric","vector length 4000"
"S1","rep01","samples","beta","matrix,array","4000 x 2"
"S1","rep01","samples","phi","matrix,array","4000 x 9"
"S1","rep01","samples","tau_phi","numeric","vector length 4000"
"S1","rep01","samples","r","matrix,array","4000 x 9"
"S1","rep01","samples","loglik","numeric","vector length 4000"
"S1","rep01","diagnostics","loglik_trace","numeric","vector length 40000"
"S1","rep01","diagnostics","beta_n_reject","numeric","vector length 40000"
"S1","rep01","diagnostics","phi_accept_trace","logical","vector length 40000"
"S1","rep01","diagnostics","r_accept_trace","matrix,array","40000 x 9"
"S1","rep01","diagnostics","phi_log_alpha","numeric","vector length 40000"
"S1","rep01","diagnostics","r_log_alpha","matrix,array","40000 x 9"
"S1","rep01","diagnostics","elapsed_sec","numeric","vector length 1"
"S1","rep01","diagnostics","phi_accept_rate","numeric","vector length 1"
"S1","rep01","diagnostics","r_accept_rate","numeric","vector length 9"
"S1","rep01","diagnostics","beta_mean_n_reject","numeric","vector length 1"
"S1","rep01","diagnostics","phi_proposal_sd_final","numeric","vector length 8"
"S1","rep01","diagnostics","r_proposal_sd_final","numeric","vector length 9"
"S1","rep01","metadata","model","character","vector length 1"
"S1","rep01","metadata","fixed_lambda","logical","vector length 1"
"S1","rep01","metadata","lambda_fixed_value","numeric","vector length 1"
"S1","rep01","metadata","updated_blocks","character","vector length 4"
"S1","rep01","metadata","disabled_blocks","character","vector length 5"
"S1","rep01","metadata","uses_marginal_nb_for_beta_phi_r","logical","vector length 1"
"S1","rep01","metadata","scenario_id","character","vector length 1"
"S1","rep01","metadata","rep_id","integer","vector length 1"
"S1","rep01","metadata","data_file","character","vector length 1"
"S1","rep01","metadata","output_dir","character","vector length 1"
"S1","rep01","metadata","run_time","POSIXct,POSIXt","POSIXct"
"S1","rep01","settings","n_iter","integer","vector length 1"
"S1","rep01","settings","n_burnin","integer","vector length 1"
"S1","rep01","settings","n_thin","integer","vector length 1"
"S1","rep01","settings","include_nb","logical","vector length 1"
"S1","rep01","settings","include_icar","logical","vector length 1"
"S1","rep01","settings","include_covariates","logical","vector length 1"
"S2","rep01","samples","beta0","numeric","vector length 4000"
"S2","rep01","samples","beta","matrix,array","4000 x 2"
"S2","rep01","samples","phi","matrix,array","4000 x 9"
"S2","rep01","samples","tau_phi","numeric","vector length 4000"
