"scenario","rep","status","finite_status","lambda_mode","gamma_mode","gamma_fixed","n_iter","n_burnin","n_thin","n_stored","beta_dim","beta0_mean","beta1_mean","beta2_mean","loglik_last","lambda_max","kappa_max","r_accept_mean","gamma_accept_mean","delta_accept_rate","elapsed_sec","fit_file","error","baseline_analysis_status"
"S1","rep01","nonfinite_output","omega_nonfinite_51","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.50232498652604,0.515136707862283,-0.396026819362786,-3440.4798383518,1,2.54824958232392,0.321694444444444,NA,0.89785,346.73752117157,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep01_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep02","ok","ok","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.50147151810798,0.492134715709205,-0.397342167149499,-3516.30103120547,1,2.23301355946264,0.320811111111111,NA,0.8991,345.474089860916,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep02_full_fit.rds","","analysis_ok"
"S1","rep03","ok","ok","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.49910028065766,0.499323391854191,-0.389625332428216,-3486.49962884321,1,2.56629863520487,0.322055555555556,NA,0.8978,346.596496105194,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep03_full_fit.rds","","analysis_ok"
"S1","rep04","nonfinite_output","omega_nonfinite_12","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.49588518452312,0.503187994964595,-0.393719023931994,-3481.08869410974,1,2.48173794643454,0.321588888888889,NA,0.8761,349.022399902344,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep04_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep05","ok","ok","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.50795068327029,0.510781327338346,-0.394713715953942,-3610.43134553061,1,2.3734835704411,0.321883333333333,NA,0.88515,350.008085012436,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep05_full_fit.rds","","analysis_ok"
"S1","rep06","nonfinite_output","omega_nonfinite_945","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.51098737555745,0.490582551973066,-0.39387780873746,-3560.15710889765,1,2.38961719032327,0.323766666666667,NA,0.85715,349.909945011139,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep06_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep07","nonfinite_output","omega_nonfinite_186","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.4882990711611,0.494673095040227,-0.376732210530999,-3401.42055985463,1,2.4166509760767,0.321811111111111,NA,0.89005,346.42008304596,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep07_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep08","nonfinite_output","omega_nonfinite_819","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.48695543496002,0.490734858850329,-0.393491699117055,-3491.00162286484,1,2.70078862217119,0.323088888888889,NA,0.9031,348.48929309845,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep08_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep09","nonfinite_output","omega_nonfinite_1110","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.50630177507892,0.508630975664661,-0.404990615010111,-3494.40567487052,1,2.69540535104533,0.323738888888889,NA,0.90645,352.423300027847,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep09_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep10","nonfinite_output","omega_nonfinite_6","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.49938052637739,0.498836313602725,-0.419984155210108,-3562.90977435542,1,2.56458866523535,0.321827777777778,NA,0.90445,351.606501102448,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep10_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep11","nonfinite_output","omega_nonfinite_3","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.5073340296168,0.511426517078906,-0.40861574617113,-3486.75573604231,1,2.46350322053483,0.320938888888889,NA,0.89205,350.295238018036,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep11_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep12","nonfinite_output","omega_nonfinite_30","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.50428829211632,0.491882743340772,-0.397206696229025,-3533.12321770776,1,2.47562110140781,0.32165,NA,0.86105,348.748126983643,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep12_full_fit.rds","","analysis_ok_with_omega_warning"
"S1","rep13","ok","ok","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.49143118352905,0.503478604026655,-0.387468976523808,-3457.97186347462,1,2.45430761700707,0.323016666666667,NA,0.8692,344.649061918259,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep13_full_fit.rds","","analysis_ok"
"S1","rep14","ok","ok","fixed_one","none",NA,20000,10000,5,2000,"2000 x 2",-1.50238768100541,0.504639098044531,-0.400004014938819,-3599.00049700952,1,2.5452828536033,0.320761111111111,NA,0.79405,343.69397521019,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep14_full_fit.rds","","analysis_ok"
