"scenario","rep","sampler","baseline_analysis_status","fit_file","beta0_bias","beta1_bias","beta2_bias","beta0_rmse","beta1_rmse","beta2_rmse","beta0_coverage95","beta1_coverage95","beta2_coverage95","ess_per_sec_beta0","ess_per_sec_beta1","ess_per_sec_beta2","rhat","baseline_logrisk_bias","baseline_logrisk_rmse","baseline_logrisk_coverage95","loglambda_bias","loglambda_rmse","loglambda_coverage95","ppc_mean_bias","ppc_mean_rmse","ppc_coverage90","ppc_coverage95","observed_zero_prop","predicted_zero_prop","logkappa_eta_cor_mean","logkappa_eta_abs_cor_mean","logkappa_eta_cor_sd","logkappa_eta_slope_mean"
"S1","rep01","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep01_full_fit.rds",-0.00232498652603708,0.0151367078622834,0.00397318063721436,0.00995005486585386,0.0182835722973689,0.0107797548419418,1,1,1,0.271460556040994,0.185150258104459,0.256907084305177,NA,-0.00232498652603705,0.0243500024876197,0.986666666666667,0,0,1,0.668585555555553,61.2781468895859,0.91,0.96,0,0,-0.0204044761110731,0.0345290601748316,0.0387353214778777,-0.00732153566918227
"S1","rep02","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep02_full_fit.rds",-0.00147151810798096,-0.00786528429079525,0.00265783285050142,0.00958683841787132,0.0118669763524973,0.0103238264000864,1,1,1,0.430736626690708,0.197896666280887,0.113849992930393,NA,-0.00147151810798101,0.0282019780712059,0.928888888888889,0,0,1,0.857741666666667,71.1786337712125,0.914444444444444,0.96,0,0,0.000719727723712198,0.0255317070899123,0.0322033303330203,0.000428028345378985
"S1","rep03","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep03_full_fit.rds",0.000899719342338567,-0.00067660814580911,0.0103746675717843,0.00949022903231607,0.00958600821078795,0.0143484213173842,1,1,1,0.555481541667367,0.164559393263723,0.214683180965515,NA,0.000899719342338302,0.0240572254829572,0.971111111111111,0,0,1,-0.229338888888886,68.5493151823237,0.918888888888889,0.955555555555556,0,5.55555555555556e-07,0.013191636721007,0.0269429810508504,0.0318695183890928,0.00538217152556613
"S1","rep04","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep04_full_fit.rds",0.00411481547687798,0.00318799496459532,0.00628097606800571,0.0102366500763535,0.0099953987470504,0.0117408423772146,1,1,1,0.342253430562713,0.220355318622598,0.192777993003451,NA,0.00411481547687791,0.023675199661706,1,0,0,1,-0.75018888888889,63.7257097806991,0.905555555555556,0.96,0,2.77777777777778e-06,-0.00234634428165068,0.0269420185119216,0.0337712481079368,-0.000735319031483236
"S1","rep05","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep05_full_fit.rds",-0.00795068327028559,0.0107813273383458,0.00528628404605824,0.0120187776727174,0.014191400456513,0.00966424417504047,1,1,1,0.447283159722492,0.135500761944291,0.0875780612384721,NA,-0.00795068327028556,0.0231294862344111,0.994444444444444,0,0,1,0.12436333333334,99.038016546156,0.907777777777778,0.955555555555556,0,0,-0.00158116235878861,0.0271208036224751,0.0346252751645203,-0.000369626060359143
"S1","rep06","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep06_full_fit.rds",-0.0109873755574534,-0.0094174480269339,0.00612219126254021,0.0140428412539472,0.0125926648717626,0.0107767658108553,1,1,1,0.488377815117225,0.324273861007163,0.279696357880516,NA,-0.0109873755574537,0.0237218548935065,1,0,0,1,-0.0826216666666668,67.0827915894833,0.918888888888889,0.964444444444444,0,0,-0.00933800207268638,0.0263974121670575,0.0315823029326835,-0.00347203006923079
"S1","rep07","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep07_full_fit.rds",0.0117009288389003,-0.00532690495977267,0.0232677894690014,0.0152179966002454,0.0116671227226031,0.0249865769269122,1,1,0,0.377162547764603,0.169199217781454,0.23526493747459,NA,0.0117009288389006,0.0300776221814002,0.961111111111111,0,0,1,0.665998333333336,66.7418558246602,0.908888888888889,0.958888888888889,0,1.22222222222222e-05,0.00968741363255308,0.0294182484400314,0.0350086623429484,0.00346487345949603
"S1","rep08","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep08_full_fit.rds",0.0130445650399766,-0.00926514114967109,0.0065083008829448,0.0161681842412588,0.012868515418184,0.0114341655461041,1,1,1,0.334504871372069,0.163260882863795,0.234990318282597,NA,0.0130445650399766,0.0367134092327094,0.904444444444444,0,0,1,-1.61104555555556,79.1815802974228,0.901111111111111,0.96,0,2.77777777777778e-06,0.000814128540735423,0.0233398668876599,0.0292442400620548,0.000443944522548072
"S1","rep09","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep09_full_fit.rds",-0.00630177507891516,0.00863097566466131,-0.00499061501011128,0.0113093242246615,0.0131117774759427,0.0105055383051566,1,1,1,0.213077948266748,0.179234552205929,0.21863083827348,NA,-0.00630177507891475,0.0253298635015106,1,0,0,1,0.819908888888894,67.6298325945486,0.915555555555556,0.955555555555556,0,2.22222222222222e-06,-0.00205055271693385,0.0260519131409773,0.0321884063110888,-0.000556141660075905
"S1","rep10","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep10_full_fit.rds",0.000619473622609057,-0.00116368639727527,-0.0199841552101075,0.00902303659069714,0.00994239463901178,0.0219013648839802,1,1,0,0.4571015126937,0.174696041937345,0.198206932482353,NA,0.000619473622608772,0.0352063686410492,0.908888888888889,0,0,1,0.770406111111106,80.049999796608,0.911111111111111,0.955555555555556,0,0,0.00272035712910921,0.0260813887069355,0.0325024207610486,0.00115188532074619
"S1","rep11","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep11_full_fit.rds",-0.00733402961680385,0.0114265170789064,-0.00861574617112976,0.0116665864228808,0.0143940785044203,0.0116806721876465,1,1,1,0.561463293044187,0.221230680759924,0.30456862266044,NA,-0.00733402961680359,0.0294400437960453,0.922222222222222,0,0,1,-0.0533061111111133,57.9409016760685,0.92,0.966666666666667,0,0,-0.000392135504350684,0.0261788754651921,0.0326523252333222,5.86143772689353e-06
"S1","rep12","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep12_full_fit.rds",-0.00428829211631698,-0.00811725665922819,0.00279330377097492,0.00943982688119976,0.0121199677718559,0.0103821768413218,1,1,1,0.424958094252255,0.231938099065802,0.181206223416306,NA,-0.00428829211631676,0.0259607061913735,0.906666666666667,0,0,1,0.848091111111108,82.2969275656347,0.913333333333333,0.964444444444444,0,0,-0.00753516046317904,0.0261742184464478,0.0315817535363176,-0.00269476071350402
"S1","rep13","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep13_full_fit.rds",0.00856881647094854,0.00347860402665534,0.0125310234761921,0.0122961277263919,0.00974591872734796,0.0157578241576608,1,1,1,0.591658272578892,0.27035762395205,0.262490242062496,NA,0.00856881647094891,0.0414750214222589,0.782222222222222,0,0,1,2.04443333333333,69.9749796978931,0.92,0.963333333333333,0,5.55555555555556e-07,-0.0121439842518695,0.028112589655068,0.0325571512101893,-0.00444273339584835
"S1","rep14","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep14_full_fit.rds",-0.00238768100540909,0.00463909804453055,-4.01493881868609e-06,0.00906234901311975,0.00992671030379556,0.00824502812817389,1,1,1,0.400772266394816,0.0626491493294898,0.199074111835719,NA,-0.00238768100540956,0.0375019486304819,0.896666666666667,0,0,1,-0.123373888888889,83.0949299984411,0.913333333333333,0.957777777777778,0,0,0.00796253781450775,0.0254453042319104,0.0308584076645771,0.00276050402506442
"S1","rep15","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep15_full_fit.rds",0.000533786610584341,-0.00259385656277594,-0.00904712613081782,0.00905558992364264,0.0097147786595095,0.0123202854643994,1,1,1,0.568031909483864,0.311515757989334,0.318700222612621,NA,0.000533786610584289,0.0278437905692556,0.951111111111111,0,0,1,-0.459170555555558,61.9330864499407,0.907777777777778,0.958888888888889,0,0,0.0190127827240168,0.0292725267099416,0.0321036866929677,0.00658867087593993
"S1","rep16","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep16_full_fit.rds",-0.0229477790855848,0.00602139696049953,4.82292707881804e-07,0.0250787851269773,0.0116698348145051,0.00943712810302199,0,1,1,0.387116026793817,0.140079858352272,0.301872729111562,NA,-0.0229477790855848,0.0329823268162432,0.918888888888889,0,0,1,0.403164444444444,63.4843725320037,0.911111111111111,0.958888888888889,0,5.55555555555556e-07,-0.00401755795719369,0.0262570620830058,0.0327986206411052,-0.00148799126079374
"S1","rep17","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep17_full_fit.rds",-0.0168004442647134,-0.0150204436679715,0.0176640946114669,0.0192014420363291,0.0175125786238376,0.0195464493373817,1,1,0,0.681625109206592,0.196102046767391,0.244629739263009,NA,-0.0168004442647133,0.0424296943743227,0.786666666666667,0,0,1,-0.0666000000000031,64.8494498838228,0.914444444444444,0.955555555555556,0,0,0.0033144341658784,0.0239385814269785,0.0306107449804466,0.00138484865380868
"S1","rep18","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep18_full_fit.rds",0.00631295097900475,0.0152408263549767,-0.0108288044892486,0.0111059309763075,0.0175856023549281,0.0140608996238491,1,1,1,0.371109684725825,0.178374682286778,0.148727050908357,NA,0.00631295097900483,0.039217494572805,0.884444444444444,0,0,1,-1.09115166666667,89.1847714657874,0.914444444444444,0.958888888888889,0,0,0.00790499053732499,0.025455379529736,0.0304038797006595,0.00336152776609382
"S1","rep19","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S1_rep19_full_fit.rds",0.00202220816843957,0.00617559617859198,-0.0175541522668214,0.00988082171261397,0.0123955371076639,0.0200718614290203,1,1,1,0.561552308546854,0.173447026084061,0.220980147654998,NA,0.00202220816843924,0.0369914097558516,0.865555555555556,0,0,1,0.137450000000001,53.1090371305163,0.913333333333333,0.958888888888889,0,5.55555555555556e-07,-0.00984734445431108,0.0279030247197107,0.034197141210255,-0.00354551016393296
