"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta0",-1.5,-1.50232498652604,-0.00232498652603708,0.00995005486585386,1,94.1227042144295,0.271460556040994,NA,"S1","rep01","old_kappa_conditioned"
"beta1",0.5,0.515136707862283,0.0151367078622834,0.0182835722973689,1,64.1965935417873,0.185150258104459,NA,"S1","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.396026819362786,0.00397318063721436,0.0107797548419418,1,89.0766226198844,0.256907084305177,NA,"S1","rep01","old_kappa_conditioned"
"r_mean",15,15.9263125868625,0.926312586862528,1.28367122552301,1,1006.81263564458,2.90376185196003,NA,"S1","rep01","old_kappa_conditioned"
"beta0",-1.5,-1.50147151810798,-0.00147151810798096,0.00958683841787132,1,148.804859476338,0.430736626690708,NA,"S1","rep02","old_kappa_conditioned"
"beta1",0.5,0.492134715709205,-0.00786528429079525,0.0118669763524973,1,68.3665697133957,0.197896666280887,NA,"S1","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.397342167149499,0.00265783285050142,0.0103238264000864,1,39.3313016576927,0.113849992930393,NA,"S1","rep02","old_kappa_conditioned"
"r_mean",15,14.7102489782959,-0.289751021704127,0.819563721202597,1,1186.14377588138,3.43346024176425,NA,"S1","rep02","old_kappa_conditioned"
"beta0",-1.5,-1.49910028065766,0.000899719342338567,0.00949022903231607,1,192.522125600332,0.555481541667367,NA,"S1","rep03","old_kappa_conditioned"
"beta1",0.5,0.499323391854191,-0.00067660814580911,0.00958600821078795,1,57.0339818737023,0.164559393263723,NA,"S1","rep03","old_kappa_conditioned"
"beta2",-0.4,-0.389625332428216,0.0103746675717843,0.0143484213173842,1,74.4061849581162,0.214683180965515,NA,"S1","rep03","old_kappa_conditioned"
"r_mean",15,15.1946628978756,0.19466289787561,0.834977250041336,1,772.055767062646,2.22760228936721,NA,"S1","rep03","old_kappa_conditioned"
"beta0",-1.5,-1.49588518452312,0.00411481547687798,0.0102366500763535,1,119.451238814403,0.342253430562713,NA,"S1","rep04","old_kappa_conditioned"
"beta1",0.5,0.503187994964595,0.00318799496459532,0.0099953987470504,1,76.9070911737401,0.220355318622598,NA,"S1","rep04","old_kappa_conditioned"
"beta2",-0.4,-0.393719023931994,0.00628097606800571,0.0117408423772146,1,67.2822184501,0.192777993003451,NA,"S1","rep04","old_kappa_conditioned"
"r_mean",15,15.3937411732523,0.393741173252288,0.915405465674758,1,1137.6334380581,3.2595639087779,NA,"S1","rep04","old_kappa_conditioned"
"beta0",-1.5,-1.50795068327029,-0.00795068327028559,0.0120187776727174,1,156.548211336562,0.447283159722492,NA,"S1","rep05","old_kappa_conditioned"
"beta1",0.5,0.510781327338346,0.0107813273383458,0.014191400456513,1,47.4249956789808,0.135500761944291,NA,"S1","rep05","old_kappa_conditioned"
"beta2",-0.4,-0.394713715953942,0.00528628404605824,0.00966424417504047,1,30.6521462773446,0.0875780612384721,NA,"S1","rep05","old_kappa_conditioned"
"r_mean",15,16.6719295659164,1.6719295659164,1.87866946294579,0,965.934905602927,2.75982978646412,NA,"S1","rep05","old_kappa_conditioned"
"beta0",-1.5,-1.51098737555745,-0.0109873755574534,0.0140428412539472,1,170.882420753909,0.488377815117225,NA,"S1","rep06","old_kappa_conditioned"
"beta1",0.5,0.490582551973066,-0.0094174480269339,0.0125926648717626,1,113.462775418699,0.324273861007163,NA,"S1","rep06","old_kappa_conditioned"
"beta2",-0.4,-0.39387780873746,0.00612219126254021,0.0107767658108553,1,97.8651962296894,0.279696357880516,NA,"S1","rep06","old_kappa_conditioned"
"r_mean",15,16.3664866412149,1.36648664121487,1.61981850003625,1,786.726794337311,2.24844610239902,NA,"S1","rep06","old_kappa_conditioned"
"beta0",-1.5,-1.4882990711611,0.0117009288389003,0.0152179966002454,1,130.653632496236,0.377162547764603,NA,"S1","rep07","old_kappa_conditioned"
"beta1",0.5,0.494673095040227,-0.00532690495977267,0.0116671227226031,1,58.6126394301111,0.169199217781454,NA,"S1","rep07","old_kappa_conditioned"
"beta2",-0.4,-0.376732210530999,0.0232677894690014,0.0249865769269122,0,81.4985975204504,0.23526493747459,NA,"S1","rep07","old_kappa_conditioned"
"r_mean",15,16.041744422819,1.04174442281898,1.38431847674956,1,938.325840887357,2.70869900836959,NA,"S1","rep07","old_kappa_conditioned"
