"scenario","rep","sampler","baseline_analysis_status","fit_file","beta0_bias","beta1_bias","beta2_bias","beta0_rmse","beta1_rmse","beta2_rmse","beta0_coverage95","beta1_coverage95","beta2_coverage95","ess_per_sec_beta0","ess_per_sec_beta1","ess_per_sec_beta2","rhat","baseline_logrisk_bias","baseline_logrisk_rmse","baseline_logrisk_coverage95","loglambda_bias","loglambda_rmse","loglambda_coverage95","ppc_mean_bias","ppc_mean_rmse","ppc_coverage90","ppc_coverage95","observed_zero_prop","predicted_zero_prop","logkappa_eta_cor_mean","logkappa_eta_abs_cor_mean","logkappa_eta_cor_sd","logkappa_eta_slope_mean"
"S1","rep01","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S1_rep01_pilot_fit.rds",1.01617074639442,-0.397075754712336,0.354508319422098,1.02085393510274,0.397515641376984,0.355093058014435,0,0,0,0.498172379334772,0.62712139415249,0.544334171431855,NA,1.01617074639442,1.18133994153456,0.0255555555555556,0,0,1,234.020296296296,306.320178543164,0.873333333333333,0.913333333333333,0,0.00311111111111111,0.646540657690048,0.646540657690048,0.046573379754907,3.92313388635658
"S1","rep02","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S1_rep02_pilot_fit.rds",1.14750269982139,-0.418110945606045,0.363319240981755,1.15082733663414,0.418766424671431,0.363577898093154,0,0,0,0.524291469884602,0.499726813139033,0.641996681793057,NA,1.14750269982139,1.31419100497233,0.0155555555555556,0,0,1,313.737555555556,394.583953939048,0.881111111111111,0.925555555555556,0,0.00488888888888889,0.530350004028197,0.530350004028197,0.132403654791718,3.54015645148119
"S2","rep01","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S2_rep01_pilot_fit.rds",0.568540620144799,-0.410718763844261,0.224172436610487,0.592412789433747,0.413292203185587,0.23079174805675,0,0,0,0.496881045282468,0.464211193988555,0.462203778142337,NA,0.568540620144799,0.814198050800267,0.18,2.87636427022243e-17,0.108991081462854,0.746666666666667,139.543185185185,239.352591064694,0.851111111111111,0.885555555555556,0,0.000962962962962963,-0.122941119489834,0.129882760142645,0.106353870131298,-0.216295416269824
"S2","rep02","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S2_rep02_pilot_fit.rds",0.595536028286617,-0.334417280520505,0.341271091134804,0.613657541574845,0.337341231595419,0.342107766361796,0,0,0,0.540374589213669,0.533946777740569,0.464954848234645,NA,0.595536028286617,0.840493506941532,0.14,-3.13522356224875e-17,0.0714250673253358,0.771111111111111,130.958962962963,235.539612940579,0.854444444444444,0.904444444444444,0,0.00037037037037037,-0.00279352777134504,0.0319141445612852,0.0393340205015413,-0.0162769535852405
"S3","rep01","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S3_rep01_pilot_fit.rds",0.453414171270063,-0.361567414119628,0.248622946699152,0.478441655271987,0.363473067952881,0.253001088925141,0,0,0,0.401139371838027,0.45413701504828,0.38440121745247,NA,0.453414171270064,0.70503296648742,0.208888888888889,2.5473450509455e-17,0.146987073971024,0.635555555555556,99.9317777777778,179.405104748657,0.858888888888889,0.901111111111111,0,7.40740740740741e-05,-0.0269504930744558,0.168632499394511,0.187041059331395,-0.069002996531751
"S3","rep02","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S3_rep02_pilot_fit.rds",0.535741064345903,-0.358357980327167,0.316950073127957,0.5615830989063,0.359871705381896,0.319453059717901,0,0,0,0.396330625253984,0.448713728403036,0.473281758914822,NA,0.535741064345903,0.781806659663836,0.148888888888889,-2.59186962016224e-17,0.105847240125137,0.702222222222222,115.567407407407,203.460927665288,0.868888888888889,0.903333333333333,0,0.000518518518518519,0.0749313569201732,0.155177013958756,0.170015807020085,0.0988427941851763
"S4A","rep01","old_kappa_conditioned","analysis_failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4A","rep02","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S4A_rep02_pilot_fit.rds",-0.0733991236589837,-0.0613926558505611,0.0244350829482115,0.0771552224710746,0.0669658477165246,0.0373696789700461,0,0,1,1.11700789623889,0.875474073635152,1.54875862432291,NA,-0.0733991236589842,0.157734065988429,0.693333333333333,1.30759600678074e-17,0.183806478742806,0.928888888888889,0.0112592592592592,1.95467151735036,0.918888888888889,0.93,0.173333333333333,0.185777777777778,-0.00156356123504344,0.0433251881466787,0.0512623514001255,0.00014514660539376
"S4B","rep01","old_kappa_conditioned","analysis_ok","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S4B_rep01_pilot_fit.rds",-0.137599073069047,0.0175429548489989,-0.00153135654033104,0.144765750455707,0.0238450872698996,0.014736473443876,0,1,1,2.53121835978005,1.80510803991956,2.31530236826017,NA,-0.137599073069048,0.257660340493033,0.577777777777778,2.27410682877386e-16,0.645589046226623,0.903333333333333,0.0770370370370372,4.60811629654343,0.886666666666667,0.914444444444444,0.224444444444444,0.222814814814815,0.339877108821092,0.339877108821092,0.0616078936180485,0.15415435412356
"S4B","rep02","old_kappa_conditioned","analysis_ok_with_omega_warning","analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S4B_rep02_pilot_fit.rds",-0.00535647411313467,-0.0352227593951321,0.00943260272865953,0.0247196870986517,0.0371606376275364,0.0153801917459763,1,0,1,1.64403841544483,2.5320729237006,2.5320729237006,NA,-0.00535647411313462,0.0797039734998706,0.875555555555556,2.16185094517287e-17,0.14776697437733,0.934444444444444,-0.0643703703703704,5.59449508969683,0.866666666666667,0.901111111111111,0.105555555555556,0.113185185185185,0.0322225119055773,0.0422706263715983,0.0414764502930949,0.0138782835378162
