"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta0",-1.5,-0.483829253605581,1.01617074639442,1.02085393510274,0,2.79524522046411,0.498172379334772,NA,"S1","rep01","old_kappa_conditioned"
"beta1",0.5,0.102924245287664,-0.397075754712336,0.397515641376984,0,3.51877814261065,0.62712139415249,NA,"S1","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.0454916805779022,0.354508319422098,0.355093058014435,0,3.05425903592239,0.544334171431855,NA,"S1","rep01","old_kappa_conditioned"
"r_mean",15,1.45048422057634,-13.5495157794237,13.5513389189692,0,3.36461306362175,0.599645885510898,NA,"S1","rep01","old_kappa_conditioned"
"beta0",-1.5,-0.352497300178615,1.14750269982139,1.15082733663414,0,2.80600794682947,0.524291469884602,NA,"S1","rep02","old_kappa_conditioned"
"beta1",0.5,0.0818890543939552,-0.418110945606045,0.418766424671431,0,2.67453790392685,0.499726813139033,NA,"S1","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.0366807590182451,0.363319240981755,0.363577898093154,0,3.43596624096511,0.641996681793057,NA,"S1","rep02","old_kappa_conditioned"
"r_mean",15,1.10643558430083,-13.8935644156992,13.8940708459735,0,3.38100133830365,0.631726707454246,NA,"S1","rep02","old_kappa_conditioned"
"beta0",-1.55101809603453,-0.982477475889734,0.568540620144799,0.592412789433747,0,2.93408257240686,0.496881045282468,NA,"S2","rep01","old_kappa_conditioned"
"beta1",0.5,0.0892812361557388,-0.410718763844261,0.413292203185587,0,2.74116710051539,0.464211193988555,NA,"S2","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.175827563389513,0.224172436610487,0.23079174805675,0,2.72931330994341,0.462203778142337,NA,"S2","rep01","old_kappa_conditioned"
"r_mean",15,3.04715886630027,-11.9528411336997,11.9857959785042,0,2.98199941383153,0.504995667030893,NA,"S2","rep01","old_kappa_conditioned"
"beta0",-1.52214568450129,-0.926609656214669,0.595536028286617,0.613657541574845,0,3.21901142794306,0.540374589213669,NA,"S2","rep02","old_kappa_conditioned"
"beta1",0.5,0.165582719479495,-0.334417280520505,0.337341231595419,0,3.18072095499783,0.533946777740569,NA,"S2","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.0587289088651959,0.341271091134804,0.342107766361796,0,2.7697360309314,0.464954848234645,NA,"S2","rep02","old_kappa_conditioned"
"r_mean",15,2.489734000612,-12.510265999388,12.5295613396502,0,3.00187667584714,0.503924236335356,NA,"S2","rep02","old_kappa_conditioned"
"beta0",-1.55101809603453,-1.09760392476447,0.453414171270063,0.478441655271987,0,2.9295208325389,0.401139371838027,NA,"S3","rep01","old_kappa_conditioned"
"beta1",0.5,0.138432585880372,-0.361567414119628,0.363473067952881,0,3.31656262090415,0.45413701504828,NA,"S3","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.151377053300848,0.248622946699152,0.253001088925141,0,2.80728209106093,0.38440121745247,NA,"S3","rep01","old_kappa_conditioned"
"r_mean",15,3.98668312963429,-11.0133168703657,11.0483919487216,0,3.06335249053478,0.419464944615737,NA,"S3","rep01","old_kappa_conditioned"
"beta0",-1.52214568450129,-0.986404620155382,0.535741064345903,0.5615830989063,0,2.85516582434041,0.396330625253984,NA,"S3","rep02","old_kappa_conditioned"
"beta1",0.5,0.141642019672833,-0.358357980327167,0.359871705381896,0,3.23253369942759,0.448713728403036,NA,"S3","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.0830499268720429,0.316950073127957,0.319453059717901,0,3.40952179123516,0.473281758914822,NA,"S3","rep02","old_kappa_conditioned"
"r_mean",15,2.65452185075914,-12.3454781492409,12.3707691191335,0,3.46459029287649,0.480925915167059,NA,"S3","rep02","old_kappa_conditioned"
"beta0",-5.63506352666298,-5.70846265032196,-0.0733991236589837,0.0771552224710746,0,6.66183509314428,1.11700789623889,NA,"S4A","rep02","old_kappa_conditioned"
"beta1",0.5,0.438607344149439,-0.0613926558505611,0.0669658477165246,0,5.22132737514089,0.875474073635152,NA,"S4A","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.375564917051789,0.0244350829482115,0.0373696789700461,1,9.23679643542795,1.54875862432291,NA,"S4A","rep02","old_kappa_conditioned"
"r_mean",15,19.4469514020434,4.44695140204335,5.24230477473662,0,10.1806074315547,1.70700996505568,NA,"S4A","rep02","old_kappa_conditioned"
"beta0",-2.13511540131423,-2.27271447438328,-0.137599073069047,0.144765750455707,0,15,2.53121835978005,NA,"S4B","rep01","old_kappa_conditioned"
"beta1",0.5,0.517542954848999,0.0175429548489989,0.0238450872698996,1,10.697070244523,1.80510803991956,NA,"S4B","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.401531356540331,-0.00153135654033104,0.014736473443876,1,13.720481834258,2.31530236826017,NA,"S4B","rep01","old_kappa_conditioned"
"r_mean",15,14.1880520504807,-0.811947949519254,1.70572710116082,1,12.4284993378179,2.09728304722659,NA,"S4B","rep01","old_kappa_conditioned"
"beta0",-1.38506352666298,-1.39042000077611,-0.00535647411313467,0.0247196870986517,1,9.73928357309367,1.64403841544483,NA,"S4B","rep02","old_kappa_conditioned"
