"scenario","rep","status","finite_status","lambda_mode","gamma_mode","gamma_fixed","n_iter","n_burnin","n_thin","n_stored","beta_dim","beta0_mean","beta1_mean","beta2_mean","loglik_last","lambda_max","kappa_max","r_accept_mean","gamma_accept_mean","delta_accept_rate","elapsed_sec","fit_file","error","baseline_analysis_status"
"S1","rep01","ok","ok","fixed_one","none",NA,300,150,10,15,"15 x 2",-0.483829253605581,0.102924245287664,-0.0454916805779022,-3427.69934194937,1,2.33696550418281,0.297407407407407,NA,0.88,5.6372401714325,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S1_rep01_pilot_fit.rds","","analysis_ok"
"S1","rep02","ok","ok","fixed_one","none",NA,300,150,10,15,"15 x 2",-0.352497300178615,0.0818890543939552,-0.0366807590182451,-3506.21601754739,1,3.58691750752321,0.282222222222222,NA,0.91,5.37319207191467,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S1_rep02_pilot_fit.rds","","analysis_ok"
"S2","rep01","ok","ok","dynamic","fixed",0.8,300,150,10,15,"15 x 2",-0.982477475889734,0.0892812361557388,-0.175827563389513,-3438.66558786083,1.49076696741844,4.56230208355164,0.305925925925926,NA,0.833333333333333,5.92888498306274,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S2_rep01_pilot_fit.rds","","analysis_ok"
"S2","rep02","ok","ok","dynamic","fixed",0.8,300,150,10,15,"15 x 2",-0.926609656214669,0.165582719479495,-0.0587289088651959,-3544.87572534407,1.35098811918343,4.36287583112456,0.302222222222222,NA,0.903333333333333,5.98055100440979,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S2_rep02_pilot_fit.rds","","analysis_ok"
"S3","rep01","ok","ok","dynamic","learned",NA,300,150,10,15,"15 x 2",-1.09760392476447,0.138432585880372,-0.151377053300848,-3418.05583171095,2.13996949883592,4.44201791583364,0.295185185185185,0.784074074074074,0.826666666666667,7.32697296142578,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S3_rep01_pilot_fit.rds","","analysis_ok"
"S3","rep02","ok","ok","dynamic","learned",NA,300,150,10,15,"15 x 2",-0.986404620155382,0.141642019672833,-0.0830499268720429,-3495.82284116533,1.85957490173535,4.25179726558363,0.308148148148148,0.772592592592593,0.906666666666667,7.2283079624176,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S3_rep02_pilot_fit.rds","","analysis_ok"
"S4A","rep01","failed","not_available","dynamic","fixed",0.8,300,150,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0468039512634277,NA,"Current ESS log-likelihood is non-finite. cur_log_lik = -Inf","analysis_failed"
"S4A","rep02","ok","ok","dynamic","fixed",0.8,300,150,10,15,"15 x 2",-5.70846265032196,0.438607344149439,-0.375564917051789,-1579.78938044228,3.92345832260837,2.66004418768265,0.341111111111111,NA,0.893333333333333,5.98430609703064,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S4A_rep02_pilot_fit.rds","","analysis_ok"
"S4B","rep01","ok","ok","dynamic","fixed",0.8,300,150,10,15,"15 x 2",-2.27271447438328,0.517542954848999,-0.401531356540331,-1741.5144826506,45.9628023571831,12.247742305105,0.328518518518519,NA,0.873333333333333,5.94668006896973,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S4B_rep01_pilot_fit.rds","","analysis_ok"
"S4B","rep02","nonfinite_output","omega_nonfinite_957","dynamic","fixed",0.8,300,150,10,15,"15 x 2",-1.39042000077611,0.464777240604868,-0.39056739727134,-2001.67737149947,3.19351457953225,3.37176384006194,0.33,NA,0.87,5.94337511062622,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S4B_rep02_pilot_fit.rds","","analysis_ok_with_omega_warning"
"S4C","rep01","nonfinite_output","omega_nonfinite_27","dynamic","fixed",0.8,300,150,10,15,"15 x 2",-1.67487257614957,0.159397953060676,-0.0864987424951889,-3086.74902027741,3.11822972533733,6.91084577391017,0.298148148148148,NA,0.9,5.94756484031677,"analysis_collab_diagnostics/old_sampler_pilot_fits/old_aligned_S4C_rep01_pilot_fit.rds","","analysis_ok_with_omega_warning"
