"file","readable","ncol","columns"
"analysis_collab_diagnostics/collab_diagnostics_manifest_step1F.csv",TRUE,8,"scenario | rep | formal_label | fit_file | data_file | sampler_version | chain_id | fit_status"
"analysis_collab_diagnostics/current_revised_mcmc_efficiency_summary_step3.csv",TRUE,6,"scenario | parameter | median_ess_per_sec | min_ess_per_sec | median_ess | min_ess_per_sec_true"
"analysis_collab_diagnostics/current_revised_ppc_kappa_by_rep_step3.csv",TRUE,27,"scenario | rep | n_ppc_draws | observed_mean | yrep_mean | yrep_mean_diff | observed_zero_prop | yrep_zero_prop | yrep_zero_diff | observed_total | yrep_total | yrep_total_ratio | observed_max | yrep_max | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | has_kappa_samples | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap | mu_cap_count | invalid_mu_count"
"analysis_collab_diagnostics/current_revised_ppc_kappa_summary_step3.csv",TRUE,15,"scenario | yrep_mean_diff | yrep_zero_diff | yrep_total_ratio | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap_count | invalid_mu_count"
"analysis_collab_diagnostics/current_revised_recovery_summary_step3.csv",TRUE,5,"scenario | parameter | mean_bias | rmse | coverage"
"analysis_collab_diagnostics/old_sampler_full_fits/OLD7_full_batch_status_summary.csv",TRUE,3,"scenario | baseline_analysis_status | n"
"analysis_collab_diagnostics/old_sampler_full_metrics/OLD7_old_full_failure_warning_summary.csv",TRUE,3,"scenario | baseline_analysis_status | n"
"analysis_collab_diagnostics/old_sampler_full_metrics/OLD7_old_full_metrics_by_scenario.csv",TRUE,27,"scenario | beta0_bias | beta1_bias | beta2_bias | beta0_rmse | beta1_rmse | beta2_rmse | beta0_coverage95 | beta1_coverage95 | beta2_coverage95 | ess_per_sec_beta0 | ess_per_sec_beta1 | ess_per_sec_beta2 | baseline_logrisk_bias | baseline_logrisk_rmse | baseline_logrisk_coverage95 | loglambda_rmse | loglambda_coverage95 | ppc_mean_bias | ppc_mean_rmse | ppc_coverage90 | ppc_coverage95 | observed_zero_prop | predicted_zero_prop | logkappa_eta_cor_mean | logkappa_eta_abs_cor_mean | logkappa_eta_slope_mean"
"analysis_collab_diagnostics/old_sampler_pilot_fits/OLD6B_pilot_status_summary.csv",TRUE,3,"scenario | status | n"
"analysis_collab_diagnostics/old_sampler_pilot_metrics/OLD6C_old_pilot_failure_warning_summary.csv",TRUE,3,"scenario | baseline_analysis_status | n"
"analysis_collab_diagnostics/old_sampler_pilot_metrics/OLD6C_old_pilot_metrics_by_scenario.csv",TRUE,27,"scenario | beta0_bias | beta1_bias | beta2_bias | beta0_rmse | beta1_rmse | beta2_rmse | beta0_coverage95 | beta1_coverage95 | beta2_coverage95 | ess_per_sec_beta0 | ess_per_sec_beta1 | ess_per_sec_beta2 | baseline_logrisk_bias | baseline_logrisk_rmse | baseline_logrisk_coverage95 | loglambda_rmse | loglambda_coverage95 | ppc_mean_bias | ppc_mean_rmse | ppc_coverage90 | ppc_coverage95 | observed_zero_prop | predicted_zero_prop | logkappa_eta_cor_mean | logkappa_eta_abs_cor_mean | logkappa_eta_slope_mean"
"analysis_collab_diagnostics/table_mcmc_collaborator_step4A.csv",TRUE,7,"scenario | parameter | median_ess | median_ess_per_sec | min_ess_per_sec | rhat | rhat_note"
"analysis_collab_diagnostics/table_ppc_kappa_collaborator_step4A.csv",TRUE,17,"scenario | yrep_mean_diff | yrep_zero_diff | yrep_total_ratio | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap_count | invalid_mu_count | kappa_assoc_note | predictive_calibration_note"
"analysis_collab_diagnostics/table_recovery_collaborator_step4A.csv",TRUE,6,"scenario | parameter | mean_bias | rmse | coverage | quantity_type"
"analysis_collab_diagnostics/table_s4a_ppc_kappa_by_fit_subset_step4B.csv",TRUE,27,"scenario | fit_subset | n_reps | n_ppc_draws | observed_mean | yrep_mean | yrep_mean_diff | observed_zero_prop | yrep_zero_prop | yrep_zero_diff | observed_total | yrep_total | yrep_total_ratio | observed_max | yrep_max | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap | mu_cap_count | invalid_mu_count"
"analysis_s1_baseline_only/S1_BASELINE_VALIDATION_T100/tables/posterior_beta_summary.csv",TRUE,11,"scenario_id | rep_id | parameter | truth | mean | sd | q025 | q50 | q975 | bias | covered"
"analysis_s1_baseline_only/S1_BASELINE_VALIDATION_T100/tables/posterior_performance_diagnostics.csv",TRUE,26,"scenario_id | rep_id | TT | n1 | mean_count | zero_prop | lambda_truth_min | lambda_truth_max | lambda_fixed_in_fit | lambda_fixed_value | phi_rmse | phi_cor | r_rmse | r_mean_bias | beta0_bias | beta1_bias | beta2_bias | beta0_covered | beta1_covered | beta2_covered | phi_coverage | r_coverage | phi_accept_rate | r_accept_rate_mean | beta_mean_n_reject | elapsed_sec"
"analysis_s1_baseline_only/S1_BASELINE_VALIDATION_T100/tables/posterior_phi_summary.csv",TRUE,10,"scenario_id | rep_id | region | truth | mean | q025 | q50 | q975 | bias | covered"
"analysis_s1_baseline_only/S1_BASELINE_VALIDATION_T100/tables/posterior_r_summary.csv",TRUE,10,"scenario_id | rep_id | region | truth | mean | q025 | q50 | q975 | bias | covered"
"analysis_s1_baseline_only/S1_BASELINE_VALIDATION_T100/tables/s1_mcmc_scalar_diagnostic_flags.csv",TRUE,14,"rep_id | parameter | n_draw | mean | sd | q025 | q500 | q975 | ess_approx | mcse_approx | split_z_approx | high_mcse_ratio | large_split_z | low_ess"
"analysis_s1_baseline_only/S1_BASELINE_VALIDATION_T100/tables/s1_mcmc_scalar_diagnostics.csv",TRUE,11,"rep_id | parameter | n_draw | mean | sd | q025 | q500 | q975 | ess_approx | mcse_approx | split_z_approx"
"analysis_s2_dynamic_fixed_gamma/S2_DYNAMIC_FIXED_GAMMA_T100/tables/posterior_beta_summary.csv",TRUE,11,"scenario_id | rep_id | parameter | truth | post_mean | post_sd | q025 | q50 | q975 | bias | covered"
"analysis_s2_dynamic_fixed_gamma/S2_DYNAMIC_FIXED_GAMMA_T100/tables/posterior_lambda_path_recovery.csv",TRUE,21,"scenario_id | rep_id | TT | n1 | gamma_truth_mean | gamma_fixed_mean | lambda_truth_min | lambda_truth_max | lambda_post_mean_min | lambda_post_mean_max | lambda_rmse | lambda_mae | lambda_coverage_95 | log_lambda_rmse | log_lambda_mae | log_lambda_coverage_95 | cor_lambda | cor_log_lambda | rmse_delta_log_lambda | mae_delta_log_lambda | cor_delta_log_lambda"
"analysis_s2_dynamic_fixed_gamma/S2_DYNAMIC_FIXED_GAMMA_T100/tables/posterior_performance_diagnostics.csv",TRUE,35,"scenario_id | rep_id | TT | n1 | mean_count | zero_prop | dynamic_lambda_in_truth | lambda_sampled_in_fit | gamma_fixed_in_fit | gamma_truth_mean | gamma_fixed_mean | lambda_truth_min | lambda_truth_max | lambda_post_mean_min | lambda_post_mean_max | phi_rmse | phi_cor | r_rmse | r_mean_bias | beta0_bias | beta1_bias | beta2_bias | beta0_covered | beta1_covered | beta2_covered | phi_coverage | r_coverage | log_lambda_rmse | log_lambda_coverage_95 | cor_log_lambda | cor_delta_log_lambda | phi_accept_rate | r_accept_rate_mean | beta_mean_n_reject | elapsed_sec"
"analysis_s2_dynamic_fixed_gamma/S2_DYNAMIC_FIXED_GAMMA_T100/tables/posterior_phi_summary.csv",TRUE,10,"scenario_id | rep_id | region | truth | mean | q025 | q50 | q975 | bias | covered"
"analysis_s2_dynamic_fixed_gamma/S2_DYNAMIC_FIXED_GAMMA_T100/tables/posterior_r_summary.csv",TRUE,10,"scenario_id | rep_id | region | truth | mean | q025 | q50 | q975 | bias | covered"
