"name","file","exists","nrow","ncol","columns"
"recovery","analysis_collab_diagnostics/current_revised_recovery_summary_step3.csv",TRUE,60,5,"scenario | parameter | mean_bias | rmse | coverage"
"mcmc","analysis_collab_diagnostics/current_revised_mcmc_efficiency_summary_step3.csv",TRUE,68,6,"scenario | parameter | median_ess_per_sec | min_ess_per_sec | median_ess | min_ess_per_sec_true"
"ppc_kappa_by_rep","analysis_collab_diagnostics/current_revised_ppc_kappa_by_rep_step3.csv",TRUE,110,27,"scenario | rep | n_ppc_draws | observed_mean | yrep_mean | yrep_mean_diff | observed_zero_prop | yrep_zero_prop | yrep_zero_diff | observed_total | yrep_total | yrep_total_ratio | observed_max | yrep_max | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | has_kappa_samples | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap | mu_cap_count | invalid_mu_count"
"ppc_kappa_summary","analysis_collab_diagnostics/current_revised_ppc_kappa_summary_step3.csv",TRUE,8,15,"scenario | yrep_mean_diff | yrep_zero_diff | yrep_total_ratio | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap_count | invalid_mu_count"
"table_recovery","analysis_collab_diagnostics/table_recovery_collaborator_step4A.csv",TRUE,55,6,"scenario | parameter | mean_bias | rmse | coverage | quantity_type"
"table_mcmc","analysis_collab_diagnostics/table_mcmc_collaborator_step4A.csv",TRUE,68,7,"scenario | parameter | median_ess | median_ess_per_sec | min_ess_per_sec | rhat | rhat_note"
"table_ppc_kappa","analysis_collab_diagnostics/table_ppc_kappa_collaborator_step4A.csv",TRUE,8,17,"scenario | yrep_mean_diff | yrep_zero_diff | yrep_total_ratio | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap_count | invalid_mu_count | kappa_assoc_note | predictive_calibration_note"
"table_s4a_ppc_kappa","analysis_collab_diagnostics/table_s4a_ppc_kappa_by_fit_subset_step4B.csv",TRUE,3,27,"scenario | fit_subset | n_reps | n_ppc_draws | observed_mean | yrep_mean | yrep_mean_diff | observed_zero_prop | yrep_zero_prop | yrep_zero_diff | observed_total | yrep_total | yrep_total_ratio | observed_max | yrep_max | ppc_cell_95_coverage | ppp_mean | ppp_zero | ppp_total | ppp_max | drawwise_cor_logkappa_eta_mean | drawwise_abs_cor_logkappa_eta_mean | drawwise_slope_logkappa_eta_mean | postmean_cor_logkappa_eta | mu_cap | mu_cap_count | invalid_mu_count"
"old_scenario","analysis_collab_diagnostics/old_sampler_full_metrics/OLD7_old_full_metrics_by_scenario.csv",TRUE,8,27,"scenario | beta0_bias | beta1_bias | beta2_bias | beta0_rmse | beta1_rmse | beta2_rmse | beta0_coverage95 | beta1_coverage95 | beta2_coverage95 | ess_per_sec_beta0 | ess_per_sec_beta1 | ess_per_sec_beta2 | baseline_logrisk_bias | baseline_logrisk_rmse | baseline_logrisk_coverage95 | loglambda_rmse | loglambda_coverage95 | ppc_mean_bias | ppc_mean_rmse | ppc_coverage90 | ppc_coverage95 | observed_zero_prop | predicted_zero_prop | logkappa_eta_cor_mean | logkappa_eta_abs_cor_mean | logkappa_eta_slope_mean"
"old_by_rep","analysis_collab_diagnostics/old_sampler_full_metrics/OLD7_old_full_metrics_by_rep.csv",TRUE,110,34,"scenario | rep | sampler | baseline_analysis_status | fit_file | beta0_bias | beta1_bias | beta2_bias | beta0_rmse | beta1_rmse | beta2_rmse | beta0_coverage95 | beta1_coverage95 | beta2_coverage95 | ess_per_sec_beta0 | ess_per_sec_beta1 | ess_per_sec_beta2 | rhat | baseline_logrisk_bias | baseline_logrisk_rmse | baseline_logrisk_coverage95 | loglambda_bias | loglambda_rmse | loglambda_coverage95 | ppc_mean_bias | ppc_mean_rmse | ppc_coverage90 | ppc_coverage95 | observed_zero_prop | predicted_zero_prop | logkappa_eta_cor_mean | logkappa_eta_abs_cor_mean | logkappa_eta_cor_sd | logkappa_eta_slope_mean"
"old_failure","analysis_collab_diagnostics/old_sampler_full_metrics/OLD7_old_full_failure_warning_summary.csv",TRUE,14,3,"scenario | baseline_analysis_status | n"
