"scenario","sampler","beta0_bias","beta1_bias","beta2_bias","beta0_rmse","beta1_rmse","beta2_rmse","beta0_coverage95","beta1_coverage95","beta2_coverage95","ess_per_sec_beta0","ess_per_sec_beta1","ess_per_sec_beta2","baseline_logrisk_bias","baseline_logrisk_rmse","baseline_logrisk_coverage95","loglambda_rmse","loglambda_coverage95","ppc_mean_bias","ppc_mean_rmse","ppc_coverage90","ppc_coverage95","observed_zero_prop","predicted_zero_prop","logkappa_eta_cor_mean","logkappa_eta_abs_cor_mean","logkappa_eta_slope_mean"
"S1","old_kappa_conditioned",-0.00114599558953092,0.000750167547188132,0.00149613942386604,0.0124491728647861,0.012657795713239,0.0134270400199319,0.95,1,0.85,0.46928781515213,0.198537824357245,0.224565383857953,-0.00114599558953091,0.0308653844047776,0.925833333333333,0,1,0.152895083333333,69.9180034206565,0.912388888888889,0.959611111111111,0,1.16666666666667e-06,-0.000602270601740121,0.0268875951815019,-0.000116490781264747
"S2","old_kappa_conditioned",-0.000490284145758557,0.00339214259741964,-0.00121968401388663,0.0121591718507736,0.014824780164743,0.0124745030636304,1,0.95,1,0.94526261192992,0.164764839089352,0.177684667840313,-0.000490284145758487,0.0299300923837091,0.949833333333333,0.046892015329273,0.949055555555556,0.225262083333333,67.8620917089275,0.920833333333333,0.963777777777778,0,1.83333333333333e-06,-0.000331511428236741,0.0270088945840405,-1.42012266768855e-05
"S3","old_kappa_conditioned",-0.000389492607155028,0.00318552760346714,-0.0012633140529473,0.0124074375813375,0.0149673278770422,0.0119568505955748,1,0.95,1,0.784463968328828,0.157320662897304,0.159794954378785,-0.00038949260715497,0.0301312603974002,0.944944444444444,0.0489002733562133,0.905277777777778,0.126967583333333,68.1842351305733,0.919888888888889,0.963944444444444,0,1.58333333333333e-06,0.000733563358603138,0.0272725615803802,0.000370415761044357
"S4A","old_kappa_conditioned",-0.113129876268245,-0.0106054086887734,0.0162785423687054,0.126581381408173,0.0434831941643765,0.0384478252264498,0.333333333333333,0.888888888888889,1,4.48016498636998,1.338277676782,1.48989711656842,-0.113129876268245,0.28161800598388,0.893950617283951,0.494033967369077,0.987777777777778,0.0187779629629629,1.86847097246795,0.984320987654321,0.995185185185185,0.236666666666667,0.251634074074074,0.0247007358668657,0.0462528494450324,0.00937502502129638
"S4B","old_kappa_conditioned",-0.0465955507245192,0.00062720316403309,0.00015159953963489,0.0587667753718878,0.0251041933473698,0.0225733872578925,0.6,1,1,4.356245411493,0.856412999028538,1.07008663159546,-0.0465955507245192,0.113589488520593,0.922111111111111,0.208844894487833,0.989555555555556,0.0252457222222223,5.19863519426165,0.966,0.987444444444444,0.136222222222222,0.143798055555556,0.0197058667708221,0.0421604374239938,0.00657178995776327
"S4C","old_kappa_conditioned",-0.00622306160804573,-0.00374990968965789,-0.00493725708674059,0.0263233416292804,0.0277259723454527,0.0257612992002846,1,0.9,1,0.252004704308337,0.0574713913482041,0.0497182917650047,-0.00622306160804586,0.0585808872087544,0.945666666666667,0.0739975535827215,0.950777777777778,1.1608955,173.226067219609,0.912777777777778,0.958888888888889,0.00433333333333333,0.00437927777777778,-0.0126316856934603,0.0316767488134552,-0.00768342274595268
"S4D","old_kappa_conditioned",0.00173548500110998,0.00672935983860771,-0.00556298752657289,0.0255392567966973,0.0302557297097181,0.0257808736161892,1,0.9,1,2.79466509509909,0.390915303786451,0.533925611412268,0.00173548500111005,0.0567947403967654,0.958148148148148,0.05366435715171,0.936666666666667,1.08298,69.3890921273774,0.938888888888889,0.977037037037037,0.00481481481481482,0.00441648148148148,-0.00619892350423405,0.0501216832506385,-0.00133866007693922
"S4E","old_kappa_conditioned",-0.00109821459723807,-0.00267997599650279,0.0016848681386712,0.011615854647099,0.0148754070891723,0.0137536647702118,1,0.9,1,0.97807653843549,0.156850117469426,0.155514629858336,-0.00109821459723817,0.0322260830111389,0.925111111111111,0.056094537114048,0.937444444444444,0.506402222222223,71.4084360736679,0.926222222222222,0.964888888888889,0.000888888888888889,0.000690611111111111,-0.0040636907162575,0.0270718166252678,-0.00137634472388029
"S1","revised_kappa_collapsed",-0.00128897890099735,0.000691703479641418,0.0014689132276321,0.012512953657581,0.012520646212397,0.0136747465634036,0.9,1,0.9,28.8177064695784,17.1958345267559,17.8616379071586,-0.00128897890099733,0.0311636414373699,0.931555555555556,0,1,0.0676668333333335,69.9104485184878,0.912055555555556,0.958444444444444,0,7.77777777777778e-07,NA,NA,NA
"S2","revised_kappa_collapsed",-0.000376995450834928,0.00342229500839787,-0.00146062215818423,0.0122272423955801,0.014787290550984,0.0123882885401519,1,0.95,1,11.3770482010657,4.70222412205779,5.63352176599534,-0.000376995450834934,0.0297660522090534,0.952666666666667,0.0468642944668992,0.9495,0.22235561111111,67.8992441582718,0.920111111111111,0.963444444444444,0,1.38888888888889e-06,0.00085505172822935,0.0275642624594636,0.000441726795694098
"S3","revised_kappa_collapsed",-0.000286074719296192,0.00334813535030681,-0.00164327419755606,0.0123031640479461,0.0150336704489701,0.0124917511784246,1,0.95,1,11.8610251370388,4.53455470197148,6.15660317653532,-0.000286074719296185,0.0300384373049658,0.951388888888889,0.0476830139551559,0.930111111111111,0.179248388888889,68.086219326226,0.918944444444444,0.963444444444444,0,1.55555555555556e-06,0.00083013290359252,0.0275004760365795,0.000436448101423026
"S4A","revised_kappa_collapsed",-0.235223010721288,-0.00728091945743864,0.0147142676248488,0.247323244598155,0.0430506824582275,0.0371196766994432,0.3,0.9,1,14.7956789614236,5.94958885569009,7.23768190275449,-0.235223010721289,0.626640057745911,0.893666666666667,0.747966022267996,0.982888888888889,0.0168198888888889,1.83908700941622,0.984444444444444,0.994777777777778,0.248888888888889,0.263974,0.0277847268923514,0.0498317983722899,0.00966477858937367
"S4B","revised_kappa_collapsed",-0.046706680070858,0.000189472414621782,0.000119122936927252,0.0588640435000144,0.0250474505593612,0.0225682062853631,0.6,1,1,17.3175149042731,6.67731181037927,7.66046461522931,-0.046706680070858,0.113522043592714,0.924444444444444,0.209376760558404,0.989666666666667,0.022589,5.21136807307348,0.965777777777778,0.987,0.136222222222222,0.143722666666667,0.0200171654751243,0.0416625695081461,0.00690419442080444
