"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta0",-1.5,-1.50124984055817,-0.0012498405581709,0.00931707459456263,1,3130.98557018459,26.0106965033115,NA,"S1","rep01","revised_kappa_collapsed"
"beta1",0.5,0.513420495501924,0.0134204955019239,0.0164746976365074,1,1746.06293766329,14.5054367480087,NA,"S1","rep01","revised_kappa_collapsed"
"beta2",-0.4,-0.397003922879192,0.00299607712080785,0.00981055583770043,1,2424.70517088245,20.1432644437627,NA,"S1","rep01","revised_kappa_collapsed"
"r_mean",15,15.9545261110944,0.954526111094363,1.28993294670212,1,2839.11934401389,23.5860146712437,NA,"S1","rep01","revised_kappa_collapsed"
"beta0",-1.5,-1.50093082622995,-0.000930826229950998,0.00952173475466238,1,3668.308729974,31.1417281863374,NA,"S1","rep02","revised_kappa_collapsed"
"beta1",0.5,0.491250902482712,-0.00874909751728786,0.0129176116718199,1,2053.81718047525,17.4356688836393,NA,"S1","rep02","revised_kappa_collapsed"
"beta2",-0.4,-0.397442810006185,0.00255718999381455,0.0099263185143579,1,1855.39573751779,15.7511905319587,NA,"S1","rep02","revised_kappa_collapsed"
"r_mean",15,14.7468859437746,-0.253114056225357,0.816407485120939,1,3024.3597479717,25.6749897955569,NA,"S1","rep02","revised_kappa_collapsed"
"beta0",-1.5,-1.49976831558549,0.000231684414512712,0.00943222341145543,1,3574.30625574449,30.1835537854869,NA,"S1","rep03","revised_kappa_collapsed"
"beta1",0.5,0.500148703466035,0.000148703466035016,0.00963721886384817,1,2113.2891264114,17.845861951199,NA,"S1","rep03","revised_kappa_collapsed"
"beta2",-0.4,-0.387580096521707,0.0124199034782933,0.0157701307684277,1,1907.43687639915,16.1075239310245,NA,"S1","rep03","revised_kappa_collapsed"
"r_mean",15,15.1753414838975,0.175341483897478,0.832663762396953,1,2589.37647775532,21.8662248265918,NA,"S1","rep03","revised_kappa_collapsed"
"beta0",-1.5,-1.49591637708484,0.00408362291515574,0.0102903251105314,1,3722.74495441588,31.7131645006932,NA,"S1","rep04","revised_kappa_collapsed"
"beta1",0.5,0.503810878371793,0.00381087837179284,0.0102727190944289,1,1580.00301401161,13.4596637987528,NA,"S1","rep04","revised_kappa_collapsed"
"beta2",-0.4,-0.392238680750349,0.00776131924965084,0.0124708117971916,1,1926.05985962081,16.4076384265547,NA,"S1","rep04","revised_kappa_collapsed"
"r_mean",15,15.4222296790032,0.422229679003232,0.942970992057055,1,2720.83953733086,23.1781744073044,NA,"S1","rep04","revised_kappa_collapsed"
"beta0",-1.5,-1.5088952196013,-0.00889521960129569,0.0126376113317677,1,3078.86712686416,26.7014762925353,NA,"S1","rep05","revised_kappa_collapsed"
"beta1",0.5,0.510014615702027,0.0100146157020273,0.0134963257525035,1,1957.50776902207,16.9764868483402,NA,"S1","rep05","revised_kappa_collapsed"
"beta2",-0.4,-0.395024102199156,0.00497589780084357,0.00996610956960238,1,2200.07795757807,19.0801768979984,NA,"S1","rep05","revised_kappa_collapsed"
"r_mean",15,16.684275157432,1.68427515743201,1.89520113693224,0,2583.07458179746,22.4017152627056,NA,"S1","rep05","revised_kappa_collapsed"
"beta0",-1.5,-1.51084373174777,-0.0108437317477716,0.0140775450388929,1,3425.94337563908,29.6423424902775,NA,"S1","rep06","revised_kappa_collapsed"
"beta1",0.5,0.490124538535139,-0.00987546146486112,0.0133917630632697,1,1551.07388163755,13.4203803700192,NA,"S1","rep06","revised_kappa_collapsed"
"beta2",-0.4,-0.392527205748388,0.00747279425161201,0.0119123121033911,1,2281.37828972513,19.7392044173237,NA,"S1","rep06","revised_kappa_collapsed"
"r_mean",15,16.3660124416961,1.36601244169607,1.61923048775655,1,2953.94107918401,25.5584297708769,NA,"S1","rep06","revised_kappa_collapsed"
"beta0",-1.5,-1.48813200291216,0.0118679970878424,0.0151053080913391,1,3005.67210785783,25.6963136202311,NA,"S1","rep07","revised_kappa_collapsed"
"beta1",0.5,0.494469367205435,-0.00553063279456545,0.0109926128956891,1,1825.42368813808,15.6060467998374,NA,"S1","rep07","revised_kappa_collapsed"
"beta2",-0.4,-0.376216950805281,0.0237830491947194,0.0255218261502565,0,1994.75795609723,17.0537318100401,NA,"S1","rep07","revised_kappa_collapsed"
"r_mean",15,16.0576796874564,1.05767968745641,1.40903204809164,1,2988.8101740422,25.5521563322697,NA,"S1","rep07","revised_kappa_collapsed"
"beta0",-1.5,-1.486917892521,0.0130821074790031,0.0162940904799986,1,3077.5295893527,26.5960003920098,NA,"S1","rep08","revised_kappa_collapsed"
"beta1",0.5,0.489496362107687,-0.0105036378923127,0.0143268893043156,1,1919.23848495482,16.586052551636,NA,"S1","rep08","revised_kappa_collapsed"
"beta2",-0.4,-0.395133145213833,0.00486685478616744,0.0107837336188027,1,2340.40635039904,20.2257838325991,NA,"S1","rep08","revised_kappa_collapsed"
"r_mean",15,14.6745919376888,-0.325408062311174,0.867100145319505,1,3033.4791545087,26.2153166817922,NA,"S1","rep08","revised_kappa_collapsed"
"beta0",-1.5,-1.50698635851732,-0.00698635851731799,0.0117021135341972,1,3253.81899756565,28.0784843122372,NA,"S1","rep09","revised_kappa_collapsed"
"beta1",0.5,0.51045759461542,0.01045759461542,0.0140788902376754,1,2105.83383178239,18.1720686535168,NA,"S1","rep09","revised_kappa_collapsed"
"beta2",-0.4,-0.405792268833137,-0.00579226883313699,0.0110692356591804,1,1786.07244399301,15.4127218313916,NA,"S1","rep09","revised_kappa_collapsed"
"r_mean",15,15.6494089718035,0.649408971803529,1.09282735176969,1,2787.74702956475,24.0565659290457,NA,"S1","rep09","revised_kappa_collapsed"
"beta0",-1.5,-1.4990640192105,0.000935980789500412,0.00941652810716521,1,3806.47798912341,32.6969256134579,NA,"S1","rep10","revised_kappa_collapsed"
"beta1",0.5,0.500545952042023,0.000545952042023012,0.00959953894495451,1,1923.6263215047,16.5235860872042,NA,"S1","rep10","revised_kappa_collapsed"
"beta2",-0.4,-0.419095285462392,-0.0190952854623924,0.0212833109448519,0,1997.41028884636,17.1573764042715,NA,"S1","rep10","revised_kappa_collapsed"
"r_mean",15,15.3813454599591,0.381345459959142,0.895342897397268,1,2768.09769104082,23.7774353492556,NA,"S1","rep10","revised_kappa_collapsed"
"beta0",-1.5,-1.50790135744091,-0.00790135744090881,0.0122287336041705,1,3214.92345973544,27.817012993708,NA,"S1","rep11","revised_kappa_collapsed"
"beta1",0.5,0.511450823707342,0.011450823707342,0.0146765767847368,1,2166.67257758993,18.7470588332109,NA,"S1","rep11","revised_kappa_collapsed"
"beta2",-0.4,-0.408185534674855,-0.00818553467485461,0.0121201074108115,1,2356.80219806985,20.3921487364753,NA,"S1","rep11","revised_kappa_collapsed"
"r_mean",15,16.2916360436738,1.29163604367385,1.55320867092251,1,2823.43297182606,24.4296552150614,NA,"S1","rep11","revised_kappa_collapsed"
"beta0",-1.5,-1.5059900960853,-0.00599009608529744,0.0110577822486608,1,3154.68379188542,27.3996299323153,NA,"S1","rep12","revised_kappa_collapsed"
"beta1",0.5,0.491048360517828,-0.00895163948217204,0.0128231144933951,1,2125.848362284,18.4638024795468,NA,"S1","rep12","revised_kappa_collapsed"
"beta2",-0.4,-0.397133276900276,0.00286672309972441,0.0100081100661155,1,2067.29287385841,17.9552257665672,NA,"S1","rep12","revised_kappa_collapsed"
"r_mean",15,15.1598719107503,0.159871910750274,0.828856368830486,1,2723.16651809877,23.6517381018985,NA,"S1","rep12","revised_kappa_collapsed"
"beta0",-1.5,-1.49226222272588,0.00773777727411984,0.0118472470092906,1,2652.91967497761,22.8895322297938,NA,"S1","rep13","revised_kappa_collapsed"
"beta1",0.5,0.502542279758629,0.00254227975862897,0.00911391644932457,1,2189.57932549718,18.8918070205352,NA,"S1","rep13","revised_kappa_collapsed"
