"scenario","parameter","median_ess","median_ess_per_sec","min_ess_per_sec","rhat","rhat_note"
"S1","beta0",3485.2,29.902,22.89,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S1","beta1",2024.1,17.38,13.318,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S1","beta2",2055.4,17.861,15.668,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S1","loglik",1100.4,9.473,6.429,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S1","phi_mean",971.7,8.281,5.443,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S1","r_mean",2793.6,24.136,21.56,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","beta0",3587.3,12.638,2.46,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","beta1",1489.8,4.667,1.034,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","beta2",1799.4,5.669,1.181,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","kappa_mean",3560.6,12.518,2.416,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","lambda_mean",1241.7,3.586,0.976,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","loglik",4000,13.691,2.649,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","phi_mean",4000,13.161,2.477,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S2","r_mean",2697.5,9.564,1.692,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","beta0",3714.3,12.283,8.905,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","beta1",1460.1,4.901,2.118,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","beta2",1897.5,6.32,4.532,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","gamma_common",35.2,0.118,0.026,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","kappa_mean",3700.8,12.213,9.226,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","lambda_mean",56.3,0.187,0.031,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","loglik",3882.1,13.005,10.081,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","phi_mean",3989.5,13.276,11.92,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S3","r_mean",1891.6,6.354,1.603,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","beta0",3413.4,14.773,13.232,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","beta1",1310.9,5.673,5.059,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","beta2",1681.6,7.29,5.894,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","gamma_common",NA,NA,NA,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","kappa_mean",3837.3,16.479,14.51,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","lambda_mean",3965.1,17.047,14.42,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","loglik",3528.8,15.402,13.676,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","phi_mean",4000,17.187,15.32,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4A","r_mean",2783.5,11.821,11.288,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4B","beta0",3534.8,15.712,14.321,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4B","beta1",1437.5,6.45,4.982,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4B","beta2",1658.1,7.79,5.132,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4B","gamma_common",NA,NA,NA,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4B","kappa_mean",3894.1,17.251,16.382,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4B","lambda_mean",3785.8,16.717,15.926,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
