"scenario","parameter","mean_bias","rmse","coverage","quantity_type"
"S1","beta0",-0.0013,0.0091,0.9,"scalar_or_summary_parameter"
"S2","beta0",-4e-04,0.0083,1,"scalar_or_summary_parameter"
"S3","beta0",-3e-04,0.0084,1,"scalar_or_summary_parameter"
"S4A","beta0",-0.2352,0.4605,0.3,"scalar_or_summary_parameter"
"S4B","beta0",-0.0467,0.0677,0.6,"scalar_or_summary_parameter"
"S4C","beta0",-0.0049,0.019,1,"scalar_or_summary_parameter"
"S4D","beta0",0.0014,0.0182,1,"scalar_or_summary_parameter"
"S4E","beta0",-0.0011,0.007,1,"scalar_or_summary_parameter"
"S1","beta1",7e-04,0.0086,1,"scalar_or_summary_parameter"
"S2","beta1",0.0034,0.0117,0.95,"scalar_or_summary_parameter"
"S3","beta1",0.0033,0.0121,0.95,"scalar_or_summary_parameter"
"S4A","beta1",-0.0073,0.0317,0.9,"scalar_or_summary_parameter"
"S4B","beta1",2e-04,0.0156,1,"scalar_or_summary_parameter"
"S4C","beta1",-0.0053,0.0213,0.9,"scalar_or_summary_parameter"
"S4D","beta1",0.0065,0.0237,1,"scalar_or_summary_parameter"
"S4E","beta1",-0.0018,0.0115,0.9,"scalar_or_summary_parameter"
"S1","beta2",0.0015,0.011,0.9,"scalar_or_summary_parameter"
"S2","beta2",-0.0015,0.0082,1,"scalar_or_summary_parameter"
"S3","beta2",-0.0016,0.0084,1,"scalar_or_summary_parameter"
"S4A","beta2",0.0147,0.0264,1,"scalar_or_summary_parameter"
"S4B","beta2",1e-04,0.0139,1,"scalar_or_summary_parameter"
"S4C","beta2",-0.0051,0.0165,1,"scalar_or_summary_parameter"
"S4D","beta2",-0.0055,0.0183,1,"scalar_or_summary_parameter"
"S4E","beta2",0.0023,0.0093,1,"scalar_or_summary_parameter"
"S3","gamma_common",0.0127,0.0491,0.9,"scalar_or_summary_parameter"
"S2","log_kappa_vector",0,0.103,0.952,"vector_latent_or_spatial_summary"
"S3","log_kappa_vector",0,0.1033,0.95,"vector_latent_or_spatial_summary"
"S4A","log_kappa_vector",-0.0159,0.2511,0.965,"vector_latent_or_spatial_summary"
"S4B","log_kappa_vector",-0.0057,0.2282,0.955,"vector_latent_or_spatial_summary"
"S4C","log_kappa_vector",0.0065,0.1729,0.953,"vector_latent_or_spatial_summary"
"S4D","log_kappa_vector",0.0021,0.1227,0.954,"vector_latent_or_spatial_summary"
"S4E","log_kappa_vector",0.0013,0.1079,0.947,"vector_latent_or_spatial_summary"
"S2","log_lambda_vector",0,0.0473,0.95,"vector_latent_or_spatial_summary"
"S3","log_lambda_vector",0,0.0481,0.93,"vector_latent_or_spatial_summary"
"S4A","log_lambda_vector",0,1.3157,0.983,"vector_latent_or_spatial_summary"
"S4B","log_lambda_vector",0,0.261,0.99,"vector_latent_or_spatial_summary"
"S4C","log_lambda_vector",0,0.0768,0.95,"vector_latent_or_spatial_summary"
"S4D","log_lambda_vector",0,0.0564,0.933,"vector_latent_or_spatial_summary"
"S4E","log_lambda_vector",0,0.0583,0.937,"vector_latent_or_spatial_summary"
"S1","phi_vector",0,0.0271,0.933,"vector_latent_or_spatial_summary"
"S2","phi_vector",0,0.0262,0.95,"vector_latent_or_spatial_summary"
"S3","phi_vector",0,0.0262,0.956,"vector_latent_or_spatial_summary"
"S4A","phi_vector",0,1.195,0.722,"vector_latent_or_spatial_summary"
"S4B","phi_vector",0,0.121,0.889,"vector_latent_or_spatial_summary"
"S4C","phi_vector",0,0.0517,0.944,"vector_latent_or_spatial_summary"
"S4D","phi_vector",0,0.0517,0.978,"vector_latent_or_spatial_summary"
"S4E","phi_vector",0,0.0284,0.967,"vector_latent_or_spatial_summary"
"S1","r_mean",0.5342,1.0427,0.85,"scalar_or_summary_parameter"
"S2","r_mean",0.467,0.7855,1,"scalar_or_summary_parameter"
"S3","r_mean",0.4452,0.7457,1,"scalar_or_summary_parameter"
"S4A","r_mean",1.513,2.1125,1,"scalar_or_summary_parameter"
"S4B","r_mean",2.585,3.0801,1,"scalar_or_summary_parameter"
"S4C","r_mean",0.1941,0.2409,0.9,"scalar_or_summary_parameter"
"S4D","r_mean",0.535,1.6716,1,"scalar_or_summary_parameter"
"S4E","r_mean",0.2861,0.5848,1,"scalar_or_summary_parameter"
