"scenario","fit_subset","parameter","median_ess","median_ess_per_sec","min_ess_per_sec"
"S4A","numerical_instability","beta0",3355,14.182,13.232
"S4A","numerical_instability","beta1",1259.7,5.413,5.059
"S4A","numerical_instability","beta2",1696.6,7.29,6.884
"S4A","numerical_instability","gamma_common",NA,NA,NA
"S4A","numerical_instability","kappa_mean",3894.1,16.782,15.757
"S4A","numerical_instability","lambda_mean",3806.6,16.35,14.42
"S4A","numerical_instability","loglik",3525.6,15.209,13.975
"S4A","numerical_instability","phi_mean",4000,17.187,16.75
"S4A","numerical_instability","r_mean",2745,11.665,11.396
"S4A","stable_only","beta0",3423.8,14.81,13.756
"S4A","stable_only","beta1",1333.9,5.851,5.259
"S4A","stable_only","beta2",1620.8,7.123,5.894
"S4A","stable_only","gamma_common",NA,NA,NA
"S4A","stable_only","kappa_mean",3768.7,16.262,14.51
"S4A","stable_only","lambda_mean",3965.1,17.155,15.21
"S4A","stable_only","loglik",3528.8,15.402,13.676
"S4A","stable_only","phi_mean",3993.9,17.218,15.32
"S4A","stable_only","r_mean",2783.5,12.021,11.288
