"scenario_label","scenario_family","parameter","covariate","metric","n","cor_abs_bias_metric","cor_signed_bias_metric"
"S3 control T100","S3","beta1","x1","mean_lag1",3,0.456313610595852,-0.456313610595852
"S3 control T100","S3","beta1","x1","between_within_ratio",3,-0.661345350924712,0.661345350924712
"S3 control T100","S3","beta1","x1","abs_cor_xbar_phi_ident",3,0.455692162355825,-0.455692162355825
"S3 control T100","S3","beta1","x1","abs_cor_vec_x_log_lambda",3,-0.98553184646246,0.98553184646246
"S3 control T100","S3","beta1","x1","signal_sd_beta_x",3,0.566236031893141,-0.566236031893141
"S3 control T100","S3","beta1","x1","abs_cor_vec_x1_x2",3,0.96811289037038,-0.96811289037038
"S3 control T100","S3","beta1","x1","abs_cor_bar_x1_x2",3,0.897841770705944,-0.897841770705944
"S3 control T100","S3","beta2","x2","mean_lag1",3,-0.732886947214325,0.796403567502275
"S3 control T100","S3","beta2","x2","between_within_ratio",3,0.409855149184545,-0.497803661449859
"S3 control T100","S3","beta2","x2","abs_cor_xbar_phi_ident",3,0.963544242863065,-0.93246552221282
"S3 control T100","S3","beta2","x2","abs_cor_vec_x_log_lambda",3,0.672392118646752,-0.596125352359142
"S3 control T100","S3","beta2","x2","signal_sd_beta_x",3,-0.307065673320162,0.398816529033295
"S3 control T100","S3","beta2","x2","abs_cor_vec_x1_x2",3,0.121519079733271,-0.023048861422601
"S3 control T100","S3","beta2","x2","abs_cor_bar_x1_x2",3,0.318893459871982,-0.223878820996184
"S4A sparse counts","S4A","beta1","x1","mean_lag1",10,-0.634340481322709,-0.182336268362957
"S4A sparse counts","S4A","beta1","x1","between_within_ratio",10,0.209699459599603,0.397585982753641
"S4A sparse counts","S4A","beta1","x1","abs_cor_xbar_phi_ident",10,-0.277332672901678,-0.294154258854926
"S4A sparse counts","S4A","beta1","x1","abs_cor_vec_x_log_lambda",10,-0.00864438692241167,-0.467518521610847
"S4A sparse counts","S4A","beta1","x1","signal_sd_beta_x",10,-0.321143013753298,0.106351284669368
"S4A sparse counts","S4A","beta1","x1","abs_cor_vec_x1_x2",10,0.099267600270263,0.313370616344554
"S4A sparse counts","S4A","beta1","x1","abs_cor_bar_x1_x2",10,-0.159478071567406,0.0868391734759241
"S4A sparse counts","S4A","beta2","x2","mean_lag1",0,NA,NA
"S4A sparse counts","S4A","beta2","x2","between_within_ratio",0,NA,NA
"S4A sparse counts","S4A","beta2","x2","abs_cor_xbar_phi_ident",10,0.0744080784161605,0.0213355093230526
