"scenario_label","scenario_family","rep_id","parameter","covariate","beta_truth","beta_post_mean","beta_bias","abs_beta_bias","mean_lag1","between_within_ratio","abs_cor_xbar_phi_ident","abs_cor_vec_x_log_lambda","signal_sd_beta_x","abs_cor_vec_x1_x2","abs_cor_bar_x1_x2"
"S3 control T100","S3",1,"beta1","x1",0.5,0.488300553367956,-0.011699446632044,0.011699446632044,0.649648159106237,0.0554820882716417,0.328432789945698,0.0291349028257624,0.5,0.0495863243058485,0.203789206427155
"S3 control T100","S3",1,"beta2","x2",-0.4,-0.397738444098835,0.002261555901165,0.002261555901165,0.500702401548939,0.0164011863951924,0.19357117729303,0.033764274002003,0.4,0.0495863243058485,0.203789206427155
"S3 control T100","S3",2,"beta1","x1",0.5,0.487630122990576,-0.012369877009424,0.012369877009424,0.694444258363956,0.0173176646469896,0.0490189046625977,0.0539731311284611,0.5,0.0677029867280648,0.24781227149233
"S3 control T100","S3",2,"beta2","x2",-0.4,-0.414811847461428,-0.014811847461428,0.014811847461428,0.471020565051243,0.0313096568683279,0.282042254545331,0.0881397845321238,0.4,0.0677029867280648,0.24781227149233
"S3 control T100","S3",3,"beta1","x1",0.5,0.499536949760297,-0.000463050239703,0.000463050239703,0.654548489900541,0.0627185056460151,0.0491207795075936,0.219678659906931,0.5,0.00851927877930408,0.157011667839654
"S3 control T100","S3",3,"beta2","x2",-0.4,-0.4105316297387,-0.0105316297387,0.0105316297387,0.451410892465294,0.0764393179410891,0.230944627267345,0.025016963008635,0.4,0.00851927877930408,0.157011667839654
"S4A sparse counts","S4A",1,"beta1","x1",0.5,0.529680440712884,0.029680440712884,0.029680440712884,0.649648159106237,0.0554820882716417,0.169963243759613,0.14963056832275,0.5,0.05609249440084,0.257500879407353
"S4A sparse counts","S4A",1,"beta2","x2",-0.4,0.891325194941296,1.2913251949413,1.2913251949413,NA,NA,0.139267003308025,3.48205802519942e-16,0.399999999999993,0.05609249440084,0.257500879407353
"S4A sparse counts","S4A",2,"beta1","x1",0.5,0.501352370096431,0.00135237009643097,0.00135237009643097,0.694444258363956,0.0173176646469896,0.33766081247555,0.0283007985103829,0.5,0.0513204950614221,0.414753889867427
"S4A sparse counts","S4A",2,"beta2","x2",-0.4,-2.81681938009825,-2.41681938009825,2.41681938009825,NA,NA,0.251317482851566,3.33439448837226e-17,0.399999999999991,0.0513204950614221,0.414753889867427
"S4A sparse counts","S4A",3,"beta1","x1",0.5,0.53754843857527,0.03754843857527,0.03754843857527,0.654548489900541,0.0627185056460151,0.268075143955789,0.0470952006021242,0.5,0.0819544383423748,0.354948038035742
"S4A sparse counts","S4A",3,"beta2","x2",-0.4,-1.35193385237582,-0.95193385237582,0.95193385237582,NA,NA,0.234821125958516,9.72393040210626e-16,0.4,0.0819544383423748,0.354948038035742
"S4A sparse counts","S4A",4,"beta1","x1",0.5,0.57351225838649,0.07351225838649,0.07351225838649,0.623275499804601,0.0462283560656353,0.140792530399794,0.0130742145134696,0.5,0.0516692285390306,0.258822897817728
"S4A sparse counts","S4A",4,"beta2","x2",-0.4,3.40890090819705,3.80890090819705,3.80890090819705,NA,NA,0.14792906594974,6.86001867260052e-17,0.400000000000003,0.0516692285390306,0.258822897817728
"S4A sparse counts","S4A",5,"beta1","x1",0.5,0.528724882311778,0.0287248823117781,0.0287248823117781,0.705241634975949,0.073404663840994,0.35797818738212,0.00746217368340712,0.5,0.102233782085394,0.411136706003878
"S4A sparse counts","S4A",5,"beta2","x2",-0.4,4.14152540124212,4.54152540124212,4.54152540124212,NA,NA,0.46755844020025,2.83174757690516e-16,0.400000000000001,0.102233782085394,0.411136706003878
"S4A sparse counts","S4A",6,"beta1","x1",0.5,0.501539429437126,0.00153942943712604,0.00153942943712604,0.69460867927868,0.0312744486007675,0.361777274054503,0.0902072871044109,0.5,0.0502914600005505,0.30430339170071
"S4A sparse counts","S4A",6,"beta2","x2",-0.4,-3.41442245786674,-3.01442245786674,3.01442245786674,NA,NA,0.0799962262869339,1.2252794554467e-16,0.399999999999998,0.0502914600005505,0.30430339170071
"S4A sparse counts","S4A",7,"beta1","x1",0.5,0.525017959153336,0.025017959153336,0.025017959153336,0.754306844351223,0.0560944673982786,0.329715727743962,0.00779732325682643,0.5,0.0326974144682008,0.149319821021715
"S4A sparse counts","S4A",7,"beta2","x2",-0.4,-0.525955219611027,-0.125955219611027,0.125955219611027,NA,NA,0.315351574552877,1.13246501188915e-17,0.400000000000004,0.0326974144682008,0.149319821021715
"S4A sparse counts","S4A",8,"beta1","x1",0.5,0.513291271135326,0.013291271135326,0.013291271135326,0.695079454615249,0.0651478772013876,0.0234298886048113,0.0227903254434365,0.5,0.0330407642132313,0.140552327582818
"S4A sparse counts","S4A",8,"beta2","x2",-0.4,-2.98389923995544,-2.58389923995544,2.58389923995544,NA,NA,0.578980366231521,5.23213012708744e-16,0.399999999999995,0.0330407642132313,0.140552327582818
"S4A sparse counts","S4A",9,"beta1","x1",0.5,0.449869884477863,-0.050130115522137,0.050130115522137,0.65540945913053,0.0383423576925664,0.270466038014478,0.117067920449387,0.5,0.0423466586535273,0.232125786841959
"S4A sparse counts","S4A",9,"beta2","x2",-0.4,-0.171876814224983,0.228123185775017,0.228123185775017,NA,NA,0.39828437994353,1.33050938424524e-16,0.399999999999995,0.0423466586535273,0.232125786841959
"S4A sparse counts","S4A",10,"beta1","x1",0.5,0.52917954349476,0.02917954349476,0.02917954349476,0.695350645917464,0.0875815697692611,0.0835765287120631,0.0186327649795581,0.5,0.092031039528625,0.34084694839149
"S4A sparse counts","S4A",10,"beta2","x2",-0.4,0.307075709038211,0.707075709038211,0.707075709038211,NA,NA,0.208061887498249,4.65140756435683e-17,0.400000000000006,0.092031039528625,0.34084694839149
"S4B low exposure","S4B",1,"beta1","x1",0.5,0.499521936069019,-0.000478063930980988,0.000478063930980988,0.649648159106237,0.0554820882716417,0.169963243759613,0.14963056832275,0.5,0.05609249440084,0.257500879407353
"S4B low exposure","S4B",1,"beta2","x2",-0.4,-0.772947813804701,-0.372947813804701,0.372947813804701,NA,NA,0.139267003308025,3.48205802519942e-16,0.399999999999993,0.05609249440084,0.257500879407353
"S4B low exposure","S4B",2,"beta1","x1",0.5,0.496928382471074,-0.00307161752892599,0.00307161752892599,0.694444258363956,0.0173176646469896,0.33766081247555,0.0283007985103829,0.5,0.0513204950614221,0.414753889867427
"S4B low exposure","S4B",2,"beta2","x2",-0.4,-1.42537600185104,-1.02537600185104,1.02537600185104,NA,NA,0.251317482851566,3.33439448837226e-17,0.399999999999991,0.0513204950614221,0.414753889867427
"S4B low exposure","S4B",3,"beta1","x1",0.5,0.520452371619239,0.020452371619239,0.020452371619239,0.654548489900541,0.0627185056460151,0.268075143955789,0.0470952006021242,0.5,0.0819544383423748,0.354948038035742
"S4B low exposure","S4B",3,"beta2","x2",-0.4,2.66557411660691,3.06557411660691,3.06557411660691,NA,NA,0.234821125958516,9.72393040210626e-16,0.4,0.0819544383423748,0.354948038035742
"S4B low exposure","S4B",4,"beta1","x1",0.5,0.58584866530782,0.08584866530782,0.08584866530782,0.623275499804601,0.0462283560656353,0.140792530399794,0.0130742145134696,0.5,0.0516692285390306,0.258822897817728
"S4B low exposure","S4B",4,"beta2","x2",-0.4,-0.815229161574881,-0.415229161574881,0.415229161574881,NA,NA,0.14792906594974,6.86001867260052e-17,0.400000000000003,0.0516692285390306,0.258822897817728
"S4B low exposure","S4B",5,"beta1","x1",0.5,0.471957529306006,-0.028042470693994,0.028042470693994,0.705241634975949,0.073404663840994,0.35797818738212,0.00746217368340712,0.5,0.102233782085394,0.411136706003878
"S4B low exposure","S4B",5,"beta2","x2",-0.4,-2.25816188696685,-1.85816188696685,1.85816188696685,NA,NA,0.46755844020025,2.83174757690516e-16,0.400000000000001,0.102233782085394,0.411136706003878
"S4B low exposure","S4B",6,"beta1","x1",0.5,0.497224650140232,-0.00277534985976802,0.00277534985976802,0.69460867927868,0.0312744486007675,0.361777274054503,0.0902072871044109,0.5,0.0502914600005505,0.30430339170071
"S4B low exposure","S4B",6,"beta2","x2",-0.4,1.94118189032371,2.34118189032371,2.34118189032371,NA,NA,0.0799962262869339,1.2252794554467e-16,0.399999999999998,0.0502914600005505,0.30430339170071
"S4B low exposure","S4B",7,"beta1","x1",0.5,0.501857098139958,0.00185709813995805,0.00185709813995805,0.754306844351223,0.0560944673982786,0.329715727743962,0.00779732325682643,0.5,0.0326974144682008,0.149319821021715
"S4B low exposure","S4B",7,"beta2","x2",-0.4,-4.89428519848643,-4.49428519848643,4.49428519848643,NA,NA,0.315351574552877,1.13246501188915e-17,0.400000000000004,0.0326974144682008,0.149319821021715
"S4B low exposure","S4B",8,"beta1","x1",0.5,0.49093333626628,-0.00906666373372,0.00906666373372,0.695079454615249,0.0651478772013876,0.0234298886048113,0.0227903254434365,0.5,0.0330407642132313,0.140552327582818
"S4B low exposure","S4B",8,"beta2","x2",-0.4,-1.88263405035999,-1.48263405035999,1.48263405035999,NA,NA,0.578980366231521,5.23213012708744e-16,0.399999999999995,0.0330407642132313,0.140552327582818
"S4B low exposure","S4B",9,"beta1","x1",0.5,0.50707277783472,0.00707277783472005,0.00707277783472005,0.65540945913053,0.0383423576925664,0.270466038014478,0.117067920449387,0.5,0.0423466586535273,0.232125786841959
"S4B low exposure","S4B",9,"beta2","x2",-0.4,-0.762586689607348,-0.362586689607348,0.362586689607348,NA,NA,0.39828437994353,1.33050938424524e-16,0.399999999999995,0.0423466586535273,0.232125786841959
"S4B low exposure","S4B",10,"beta1","x1",0.5,0.482049987482409,-0.017950012517591,0.017950012517591,0.695350645917464,0.0875815697692611,0.0835765287120631,0.0186327649795581,0.5,0.092031039528625,0.34084694839149
"S4B low exposure","S4B",10,"beta2","x2",-0.4,-1.33536004073678,-0.93536004073678,0.93536004073678,NA,NA,0.208061887498249,4.65140756435683e-17,0.400000000000006,0.092031039528625,0.34084694839149
