"scenario_label","scenario_family","data_scenario_id","rep_id","data_file","TT","n1","n_cells","phi_source","beta0_truth","beta1_truth","beta2_truth","mean_count","zero_prop","count_cv","variance_to_mean","mean_lag1_x1","mean_lag1_x2","sd_lag1_x1","sd_lag1_x2","between_region_var_x1","between_region_var_x2","within_region_var_x1","within_region_var_x2","between_within_ratio_x1","between_within_ratio_x2","cor_x1bar_phi_ident","cor_x2bar_phi_ident","abs_cor_x1bar_phi_ident","abs_cor_x2bar_phi_ident","cor_x1bar_phi_raw","cor_x2bar_phi_raw","abs_cor_x1bar_phi_raw","abs_cor_x2bar_phi_raw","cor_vec_x1_log_lambda","cor_vec_x2_log_lambda","abs_cor_vec_x1_log_lambda","abs_cor_vec_x2_log_lambda","cor_x1bar_lambdabar_region","cor_x2bar_lambdabar_region","abs_cor_x1bar_lambdabar_region","abs_cor_x2bar_lambdabar_region","cor_xtime1_lambdabar_time","cor_xtime2_lambdabar_time","abs_cor_xtime1_lambdabar_time","abs_cor_xtime2_lambdabar_time","cor_vec_x1_x2","abs_cor_vec_x1_x2","cor_bar_x1_x2","abs_cor_bar_x1_x2","signal_sd_beta1_x1","signal_sd_beta2_x2","lag1_x1_minus_x2","abs_cor_x2phi_minus_x1phi","bw_ratio_x2_minus_x1","signal_sd_beta2_minus_beta1"
"S3 control T100","S3","DGP_DYNAMIC_T100",1,"./data_revised/DGP_DYNAMIC_T100/data_rep01.rds",100,9,900,"phi_star_ident",-1.55101809603453,0.5,-0.4,164.013333333334,0,0.83138640258792,113.366565511598,0.649648159106237,0.500702401548939,0.0689231137436822,0.0795125414022408,0.0533238843858794,0.0163082899292313,0.961100889440289,0.994335991084866,0.0554820882716417,0.0164011863951924,-0.328432789945698,-0.19357117729303,0.328432789945698,0.19357117729303,-0.325953415006792,-0.417084852694088,0.325953415006792,0.417084852694088,-0.0291349028257624,-0.033764274002003,0.0291349028257624,0.033764274002003,0.716871997393289,0.00219106298061843,0.716871997393289,0.00219106298061843,-0.470167870892628,0.272600081552609,0.470167870892628,0.272600081552609,0.0495863243058485,0.0495863243058485,0.203789206427155,0.203789206427155,0.5,0.4,0.148945757557297,-0.134861612652668,-0.0390809018764492,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",2,"./data_revised/DGP_DYNAMIC_T100/data_rep02.rds",100,9,900,"phi_star_ident",-1.52214568450129,0.5,-0.4,190.828888888889,0,0.847556592594039,137.08234789179,0.694444258363956,0.471020565051243,0.0650524437881938,0.0541235776548907,0.0172056246105562,0.0307269815111732,0.993530303379972,0.981389915590417,0.0173176646469896,0.0313096568683279,0.0490189046625977,0.282042254545331,0.0490189046625977,0.282042254545331,-0.0795331158877158,-0.0889216251246989,0.0795331158877158,0.0889216251246989,-0.0539731311284611,-0.0881397845321238,0.0539731311284611,0.0881397845321238,-0.00776595628889584,0.0664365580750952,0.00776595628889584,0.0664365580750952,-0.0966742005442879,-0.317081246099595,0.0966742005442879,0.317081246099595,-0.0677029867280648,0.0677029867280648,-0.24781227149233,0.24781227149233,0.5,0.4,0.223423693312713,0.233023349882734,0.0139919922213382,-0.0999999999999999
"S3 control T100","S3","DGP_DYNAMIC_T100",3,"./data_revised/DGP_DYNAMIC_T100/data_rep03.rds",100,9,900,"phi_star_ident",-1.40397869793906,0.5,-0.4,230.316666666667,0,0.894909519517125,184.452107700051,0.654548489900541,0.451410892465294,0.0635354531489234,0.103907345300685,0.0599080386610163,0.0721722857376128,0.955189190876754,0.944177521223242,0.0627185056460151,0.0764393179410891,0.0491207795075936,0.230944627267345,0.0491207795075936,0.230944627267345,-0.0439699492453111,0.151823824191875,0.0439699492453111,0.151823824191875,0.219678659906931,0.025016963008635,0.219678659906931,0.025016963008635,0.263154602386368,0.501730396640321,0.263154602386368,0.501730396640321,0.164589603269757,0.112514028173687,0.164589603269757,0.112514028173687,-0.00851927877930408,0.00851927877930408,0.157011667839654,0.157011667839654,0.5,0.4,0.203137597435247,0.181823847759751,0.013720812295074,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",4,"./data_revised/DGP_DYNAMIC_T100/data_rep04.rds",100,9,900,"phi_star_ident",-1.59011227919885,0.5,-0.4,160.464444444444,0,0.916577435378601,134.808457577822,0.623275499804601,0.478792173148008,0.100086238541143,0.0628711522456413,0.044784555554085,0.0555951461701569,0.968768075821248,0.959061597153619,0.0462283560656353,0.0579682747543607,-0.412839125019338,-0.310008261350074,0.412839125019338,0.310008261350074,-0.451141432007525,-0.12286304622523,0.451141432007525,0.12286304622523,0.112722442722293,0.0391234874525882,0.112722442722293,0.0391234874525882,0.333359457503385,-0.153079467705641,0.333359457503385,0.153079467705641,0.161517428120442,0.119373255593884,0.161517428120442,0.119373255593884,0.0235251841654059,0.0235251841654059,-0.116342190656856,0.116342190656856,0.5,0.4,0.144483326656593,-0.102830863669263,0.0117399186887254,-0.0999999999999998
"S3 control T100","S3","DGP_DYNAMIC_T100",5,"./data_revised/DGP_DYNAMIC_T100/data_rep05.rds",100,9,900,"phi_star_ident",-1.53963015075169,0.5,-0.4,281.008888888891,0,1.20084021010614,405.21965399914,0.705241634975949,0.491010886099061,0.0933624321302607,0.0648243889201706,0.0694841990717777,0.0372570211625769,0.946591067051154,0.9755268047923,0.073404663840994,0.0381916939437757,0.440771433554029,-0.803282261541408,0.440771433554029,0.803282261541408,0.422331899934108,-0.742368275643716,0.422331899934108,0.742368275643716,-0.0383679938877641,-0.000918441349096008,0.0383679938877641,0.000918441349096008,-0.240715506087371,0.274539002311262,0.240715506087371,0.274539002311262,-0.352127445934366,0.165693471945765,0.352127445934366,0.165693471945765,-0.0842284034582378,0.0842284034582378,-0.380374482082364,0.380374482082364,0.5,0.4,0.214230748876888,0.362510827987379,-0.0352129698972183,-0.0999999999999999
"S3 control T100","S3","DGP_DYNAMIC_T100",6,"./data_revised/DGP_DYNAMIC_T100/data_rep06.rds",100,9,900,"phi_star_ident",-1.44814607902023,0.5,-0.4,213.898888888889,0,0.856152764674068,156.787362884861,0.69460867927868,0.509936183848334,0.0396862996604514,0.0691916839599029,0.0306933722315359,0.0225246784640468,0.98142009227247,0.988754497450912,0.0312744486007675,0.0227808606910181,-0.390522973839263,0.277258841159912,0.390522973839263,0.277258841159912,-0.11850966806282,0.477413903871394,0.11850966806282,0.477413903871394,-0.0138700686609635,-0.00923467698098147,0.0138700686609635,0.00923467698098147,-0.0778930604927105,-0.194856454972796,0.0778930604927105,0.194856454972796,-0.214392338280549,-0.0351318409465591,0.214392338280549,0.0351318409465591,0.0272242567347917,0.0272242567347917,0.504761231417118,0.504761231417118,0.5,0.4,0.184672495430347,-0.113264132679351,-0.00849358790974943,-0.0999999999999996
"S3 control T100","S3","DGP_DYNAMIC_T100",7,"./data_revised/DGP_DYNAMIC_T100/data_rep07.rds",100,9,900,"phi_star_ident",-1.48655364988887,0.5,-0.4,205.130000000001,0,1.23023947280816,310.462031484198,0.754306844351223,0.433517572431339,0.0434024314960537,0.114461949869593,0.0538842209332385,0.0173042112120646,0.960597781429191,0.993441785668181,0.0560944673982786,0.0174184451084126,0.0553294680131857,0.223656843415887,0.0553294680131857,0.223656843415887,0.0399251469719274,0.00595189623922854,0.0399251469719274,0.00595189623922854,-0.0556211620127332,0.0128927689859534,0.0556211620127332,0.0128927689859534,-0.678774202875012,0.601830310736049,0.678774202875012,0.601830310736049,0.184289982618212,0.0114166779943871,0.184289982618212,0.0114166779943871,-0.0288166689895456,0.0288166689895456,-0.385984734298509,0.385984734298509,0.5,0.4,0.320789271919884,0.168327375402702,-0.038676022289866,-0.0999999999999997
"S3 control T100","S3","DGP_DYNAMIC_T100",8,"./data_revised/DGP_DYNAMIC_T100/data_rep08.rds",100,9,900,"phi_star_ident",-1.5147890397372,0.5,-0.4,174.394444444444,0,0.927059731024083,149.881516842946,0.695079454615249,0.485235053854419,0.0494459610693413,0.0900186951038113,0.0621003128607323,0.0201102164612022,0.953220818980263,0.990922364569067,0.0651478772013876,0.0202944420070161,-0.685631057517651,0.315313763489776,0.685631057517651,0.315313763489776,-0.616050078613583,0.0346679855688284,0.616050078613583,0.0346679855688284,0.0736074291165053,-0.00343720166555604,0.0736074291165053,0.00343720166555604,-0.317705263567383,-0.242494922447717,0.317705263567383,0.242494922447717,0.0529790352957307,-0.111560127980888,0.0529790352957307,0.111560127980888,-0.0180357730961644,0.0180357730961644,-0.111785999081839,0.111785999081839,0.5,0.4,0.209844400760831,-0.370317294027876,-0.0448534351943715,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",9,"./data_revised/DGP_DYNAMIC_T100/data_rep09.rds",100,9,900,"phi_star_ident",-1.65564478525192,0.5,-0.4,178.144444444445,0,0.874800467482947,136.329642553834,0.65540945913053,0.466240347271394,0.0714993074191363,0.124920576172906,0.0373991062168987,0.0237561039216883,0.97539923123062,0.987648840474354,0.0383423576925664,0.0240531886923277,0.311180993241572,-0.572065929116218,0.311180993241572,0.572065929116218,0.476207267172973,-0.656340037284878,0.476207267172973,0.656340037284878,-0.073824188887686,0.125956293377618,0.073824188887686,0.125956293377618,0.0395094220063407,-0.335801929883603,0.0395094220063407,0.335801929883603,-0.132429023448345,0.314527539745515,0.132429023448345,0.314527539745515,-0.0260694777152711,0.0260694777152711,-0.259023063831434,0.259023063831434,0.5,0.4,0.189169111859136,0.260884935874646,-0.0142891690002387,-0.1
"S3 control T100","S3","DGP_DYNAMIC_T100",10,"./data_revised/DGP_DYNAMIC_T100/data_rep10.rds",100,9,900,"phi_star_ident",-1.67500995209964,0.5,-0.4,188.225555555555,0,1.04281325551315,204.68766587278,0.695350645917464,0.488604066010629,0.0648213074397831,0.0667453288517894,0.0819255828323155,0.0392734459968376,0.935420352114644,0.973716322337296,0.0875815697692611,0.0403335602946104,-0.300787428543051,0.0786998014816523,0.300787428543051,0.0786998014816523,-0.245082165952962,0.405386286148705,0.245082165952962,0.405386286148705,0.227259391898235,-0.0322382889539019,0.227259391898235,0.0322382889539019,0.218099129572865,-0.143680764376018,0.218099129572865,0.143680764376018,0.300526005275666,-0.12946441000025,0.300526005275666,0.12946441000025,-0.0182305071978792,0.0182305071978792,-0.00922101660096343,0.00922101660096343,0.5,0.4,0.206746579906835,-0.222087627061399,-0.0472480094746507,-0.1
