"scenario_label","scenario_family","data_scenario_id","rep_id","covariate","mean_lag1","between_region_var","within_region_var","between_within_ratio","cor_xbar_phi_ident","abs_cor_xbar_phi_ident","cor_vec_x_log_lambda","abs_cor_vec_x_log_lambda","signal_sd_beta_x"
"S3 control T100","S3","DGP_DYNAMIC_T100",1,"x1",0.649648159106237,0.0533238843858794,0.961100889440289,0.0554820882716417,-0.328432789945698,0.328432789945698,-0.0291349028257624,0.0291349028257624,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",1,"x2",0.500702401548939,0.0163082899292313,0.994335991084866,0.0164011863951924,-0.19357117729303,0.19357117729303,-0.033764274002003,0.033764274002003,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",2,"x1",0.694444258363956,0.0172056246105562,0.993530303379972,0.0173176646469896,0.0490189046625977,0.0490189046625977,-0.0539731311284611,0.0539731311284611,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",2,"x2",0.471020565051243,0.0307269815111732,0.981389915590417,0.0313096568683279,0.282042254545331,0.282042254545331,-0.0881397845321238,0.0881397845321238,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",3,"x1",0.654548489900541,0.0599080386610163,0.955189190876754,0.0627185056460151,0.0491207795075936,0.0491207795075936,0.219678659906931,0.219678659906931,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",3,"x2",0.451410892465294,0.0721722857376128,0.944177521223242,0.0764393179410891,0.230944627267345,0.230944627267345,0.025016963008635,0.025016963008635,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",4,"x1",0.623275499804601,0.044784555554085,0.968768075821248,0.0462283560656353,-0.412839125019338,0.412839125019338,0.112722442722293,0.112722442722293,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",4,"x2",0.478792173148008,0.0555951461701569,0.959061597153619,0.0579682747543607,-0.310008261350074,0.310008261350074,0.0391234874525882,0.0391234874525882,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",5,"x1",0.705241634975949,0.0694841990717777,0.946591067051154,0.073404663840994,0.440771433554029,0.440771433554029,-0.0383679938877641,0.0383679938877641,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",5,"x2",0.491010886099061,0.0372570211625769,0.9755268047923,0.0381916939437757,-0.803282261541408,0.803282261541408,-0.000918441349096008,0.000918441349096008,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",6,"x1",0.69460867927868,0.0306933722315359,0.98142009227247,0.0312744486007675,-0.390522973839263,0.390522973839263,-0.0138700686609635,0.0138700686609635,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",6,"x2",0.509936183848334,0.0225246784640468,0.988754497450912,0.0227808606910181,0.277258841159912,0.277258841159912,-0.00923467698098147,0.00923467698098147,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",7,"x1",0.754306844351223,0.0538842209332385,0.960597781429191,0.0560944673982786,0.0553294680131857,0.0553294680131857,-0.0556211620127332,0.0556211620127332,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",7,"x2",0.433517572431339,0.0173042112120646,0.993441785668181,0.0174184451084126,0.223656843415887,0.223656843415887,0.0128927689859534,0.0128927689859534,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",8,"x1",0.695079454615249,0.0621003128607323,0.953220818980263,0.0651478772013876,-0.685631057517651,0.685631057517651,0.0736074291165053,0.0736074291165053,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",8,"x2",0.485235053854419,0.0201102164612022,0.990922364569067,0.0202944420070161,0.315313763489776,0.315313763489776,-0.00343720166555604,0.00343720166555604,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",9,"x1",0.65540945913053,0.0373991062168987,0.97539923123062,0.0383423576925664,0.311180993241572,0.311180993241572,-0.073824188887686,0.073824188887686,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",9,"x2",0.466240347271394,0.0237561039216883,0.987648840474354,0.0240531886923277,-0.572065929116218,0.572065929116218,0.125956293377618,0.125956293377618,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",10,"x1",0.695350645917464,0.0819255828323155,0.935420352114644,0.0875815697692611,-0.300787428543051,0.300787428543051,0.227259391898235,0.227259391898235,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",10,"x2",0.488604066010629,0.0392734459968376,0.973716322337296,0.0403335602946104,0.0786998014816523,0.0786998014816523,-0.0322382889539019,0.0322382889539019,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",11,"x1",0.688013467274198,0.0260506725573882,0.985588621721761,0.0264315881730445,0.202504162800487,0.202504162800487,-0.233232203737709,0.233232203737709,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",11,"x2",0.484669730048646,0.0108335313981757,0.999251599193559,0.0108416452942571,0.0542925182055824,0.0542925182055824,0.110442235863798,0.110442235863798,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",12,"x1",0.711758667291907,0.0445482967455134,0.968980204942301,0.0459744136343487,-0.594400621237285,0.594400621237285,-0.0259852794834886,0.0259852794834886,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",12,"x2",0.522334007656181,0.0303766288030196,0.981704485923215,0.0309427421781136,0.724515901724574,0.724515901724574,-0.0385101375441654,0.0385101375441654,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",13,"x1",0.633122608963132,0.0393864618991503,0.973614849024333,0.0404538426448813,-0.470924210647272,0.470924210647272,0.026636855077836,0.026636855077836,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",13,"x2",0.454793811950258,0.0244919168068314,0.986988177951218,0.0248148026024704,0.265018492305607,0.265018492305607,-0.0787535135338667,0.0787535135338667,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",14,"x1",0.670703014934784,0.0477607388091339,0.96609585741043,0.0494368529197031,-0.0597733684673973,0.0597733684673973,0.0706117498444134,0.0706117498444134,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",14,"x2",0.490729557538568,0.011365531201365,0.998773933825934,0.0113794832007958,0.248674557275343,0.248674557275343,0.00478706515003178,0.00478706515003178,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",15,"x1",0.67774476934427,0.0290407145409549,0.982903960008121,0.0295458312536608,0.0437550181443062,0.0437550181443062,0.0490271901872411,0.0490271901872411,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",15,"x2",0.422833118156583,0.0371621555019445,0.975611981591969,0.0380911224986235,0.117315290373656,0.117315290373656,0.0179347585045488,0.0179347585045488,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",16,"x1",0.669297776712139,0.0581802392306566,0.956740525943295,0.060810886183894,-0.8296583443246,0.8296583443246,0.102394615938959,0.102394615938959,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",16,"x2",0.488228562090261,0.0121573756465223,0.998062962382471,0.0121809706448795,0.314396651558794,0.314396651558794,0.0331221866012583,0.0331221866012583,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",17,"x1",0.683496309778581,0.00935783418243788,1.00057657985864,0.00935244175289405,0.0941312869327371,0.0941312869327371,-0.00452561391848628,0.00452561391848628,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",17,"x2",0.447919050055295,0.043570189442471,0.969858415764336,0.044924278362975,-0.0154738226869209,0.0154738226869209,0.00068173012227396,0.00068173012227396,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",18,"x1",0.668494246354386,0.035095922691442,0.977467185013296,0.0359049625701395,0.00500823800256683,0.00500823800256683,-0.0294835919897219,0.0294835919897219,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",18,"x2",0.476982000027276,0.0196392694642182,0.991345212602274,0.0198107270954234,-0.0623454617118415,0.0623454617118415,0.0125453584564662,0.0125453584564662,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",19,"x1",0.69512621328838,0.0570181206904835,0.957783954486659,0.0595312966179762,0.414250588574773,0.414250588574773,-0.00018385197912076,0.00018385197912076,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",19,"x2",0.478001463593929,0.0255934842380318,0.985999116284595,0.02595690383017,-0.53600026727676,0.53600026727676,-0.0762362805537484,0.0762362805537484,0.4
"S3 control T100","S3","DGP_DYNAMIC_T100",20,"x1",0.68901389741389,0.0459167644687979,0.967751502160453,0.0474468542454248,0.089029771188503,0.089029771188503,0.0973761910478102,0.0973761910478102,0.5
"S3 control T100","S3","DGP_DYNAMIC_T100",20,"x2",0.439635390195794,0.0331616237966096,0.979203929251079,0.0338659014797586,-0.0908732632952691,0.0908732632952691,-0.0077384516916956,0.0077384516916956,0.4
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",1,"x1",0.649648159106237,0.0533238843858794,0.961100889440289,0.0554820882716417,-0.169963243759613,0.169963243759613,0.14963056832275,0.14963056832275,0.5
