"scenario_label","scenario_family","data_scenario_id","rep_id","data_file","fit_summary_file","subset_label"
"S3 control T100","S3","DGP_DYNAMIC_T100",1,"./data_revised/DGP_DYNAMIC_T100/data_rep01.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",2,"./data_revised/DGP_DYNAMIC_T100/data_rep02.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",3,"./data_revised/DGP_DYNAMIC_T100/data_rep03.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",4,"./data_revised/DGP_DYNAMIC_T100/data_rep04.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",5,"./data_revised/DGP_DYNAMIC_T100/data_rep05.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",6,"./data_revised/DGP_DYNAMIC_T100/data_rep06.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",7,"./data_revised/DGP_DYNAMIC_T100/data_rep07.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",8,"./data_revised/DGP_DYNAMIC_T100/data_rep08.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",9,"./data_revised/DGP_DYNAMIC_T100/data_rep09.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",10,"./data_revised/DGP_DYNAMIC_T100/data_rep10.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",11,"./data_revised/DGP_DYNAMIC_T100/data_rep11.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",12,"./data_revised/DGP_DYNAMIC_T100/data_rep12.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",13,"./data_revised/DGP_DYNAMIC_T100/data_rep13.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",14,"./data_revised/DGP_DYNAMIC_T100/data_rep14.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",15,"./data_revised/DGP_DYNAMIC_T100/data_rep15.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
"S3 control T100","S3","DGP_DYNAMIC_T100",16,"./data_revised/DGP_DYNAMIC_T100/data_rep16.rds","./output_s3_control_fixed_gamma_stabilized/S3_CONTROL_FIXED_GAMMA_STABILIZED_T100/summary_S3_control_fixed_gamma_stabilized_all_reps.csv","S3 fixed-gamma control"
