"scenario_id","rep_id","TT","n1","gamma_truth_mean","gamma_fixed_mean","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,100,9,0.8,0.8,0.672003565894424,1.512122179452,0.773036498813027,1.31036671311142,0.0578423422472464,0.0453046191268424,0.907777777777778,0.0573048543347875,0.0450648281079726,0.907777777777778,0.874135287884737,0.87374417634088,0.0218824153403847,0.016652065910533,0.229713574848174
"S2_DYNAMIC_FIXED_GAMMA_T100",2,100,9,0.8,0.8,0.867134424629295,1.16408300862199,0.902056590597963,1.08372335579725,0.0452818470721485,0.0359623585935128,0.935555555555556,0.0453858673144512,0.0359533779937532,0.935555555555556,0.541840422366174,0.540696147826775,0.0191267814169854,0.0145830138477039,0.0953941568871271
"S2_DYNAMIC_FIXED_GAMMA_T100",3,100,9,0.8,0.8,0.77194753777953,1.17803573190334,0.905670923415493,1.13426036229099,0.0385726595624404,0.0312589366899571,0.983333333333333,0.0389485700856297,0.0313855065807461,0.983333333333333,0.789084251537935,0.78610623680667,0.0177136468811185,0.0136284648890161,0.14538822653194
"S2_DYNAMIC_FIXED_GAMMA_T100",4,100,9,0.8,0.8,0.681134707604779,1.38501022163585,0.766451840944715,1.37847311415334,0.0473534706122209,0.0365048340648707,0.947777777777778,0.0470379688786313,0.036503016676146,0.947777777777778,0.872789481274486,0.864958872804943,0.0210481188330264,0.0158803716693394,0.174426343170752
"S2_DYNAMIC_FIXED_GAMMA_T100",5,100,9,0.8,0.8,0.820762434234092,1.21437773334684,0.86120482461053,1.11849273631062,0.0465461787887531,0.0342445734001997,0.927777777777778,0.0471984856886868,0.0344427594640502,0.927777777777778,0.660686022862514,0.652124828959801,0.0185528168626866,0.0133985671415254,0.153449412353332
"S2_DYNAMIC_FIXED_GAMMA_T100",6,100,9,0.8,0.8,0.687019697752817,1.29212472395296,0.824581741903634,1.1710339694191,0.0410069477331579,0.0324901438644267,0.975555555555556,0.0408763274882136,0.0324392153038425,0.975555555555556,0.825936243640764,0.828697564786047,0.0171570968951477,0.0132612250079273,0.213701679806683
"S2_DYNAMIC_FIXED_GAMMA_T100",7,100,9,0.8,0.8,0.773283088022971,1.46034747956778,0.837185807680761,1.31493598444495,0.0516998044987671,0.0393602158689804,0.963333333333333,0.0506344908551931,0.0389703345486726,0.963333333333333,0.890786489057852,0.88736332598626,0.0229066117842324,0.0170180431711689,0.227622399653367
"S2_DYNAMIC_FIXED_GAMMA_T100",8,100,9,0.8,0.8,0.83253927762397,1.34519007743444,0.858689548313193,1.2244210295705,0.0498070994301692,0.0395564488235454,0.942222222222222,0.0499104440835855,0.0396563608488622,0.942222222222222,0.769148873281561,0.758075392222093,0.0198370733764494,0.0150459726394574,0.175862303741363
"S2_DYNAMIC_FIXED_GAMMA_T100",9,100,9,0.8,0.8,0.619037333121575,1.50217806132883,0.731069576771458,1.19446203427738,0.0486666625859565,0.0360044751567575,0.954444444444444,0.0475444828385449,0.0358229297664662,0.954444444444444,0.886473339877729,0.897630483924228,0.0238452473450258,0.0169912518478027,0.224661930409595
"S2_DYNAMIC_FIXED_GAMMA_T100",10,100,9,0.8,0.8,0.755548547412699,1.44251539876033,0.863991267304794,1.18631782312758,0.0547472988117487,0.0420331286653718,0.921111111111111,0.0543753910347445,0.0420358855487255,0.921111111111111,0.754024703670407,0.750640920712365,0.0200003284025889,0.0150644659299198,0.241982416341139
"S2_DYNAMIC_FIXED_GAMMA_T100",11,100,9,0.8,0.8,0.787981182766052,1.21979827329653,0.879441195294969,1.14578887499252,0.0385284457269277,0.0302979592017303,0.99,0.0383785799533562,0.0302026548513401,0.99,0.816553319151315,0.817177989967219,0.0189259974503092,0.0143339485784133,0.25203030915867
"S2_DYNAMIC_FIXED_GAMMA_T100",12,100,9,0.8,0.8,0.832220064060255,1.18981785751518,0.860093113233995,1.10412678768667,0.0455690471810469,0.0355141986813579,0.933333333333333,0.045135797438734,0.0353513329592789,0.933333333333333,0.658485166783336,0.665367140360003,0.0181477206583928,0.0138413633611246,0.0728579961710547
"S2_DYNAMIC_FIXED_GAMMA_T100",13,100,9,0.8,0.8,0.715009747783493,1.43439611206275,0.770786741190196,1.33958707316083,0.0487691346007661,0.0359518806543994,0.944444444444444,0.0491935717958201,0.0361240308422617,0.944444444444444,0.865325860927751,0.855473429177022,0.0211278992104859,0.0157337736065011,0.26038976263121
"S2_DYNAMIC_FIXED_GAMMA_T100",14,100,9,0.8,0.8,0.823726855889369,1.22754361720226,0.891441942610518,1.14909396684975,0.0379016980987952,0.0292385429234633,0.978888888888889,0.037900192538298,0.0292172817828539,0.978888888888889,0.712375160456415,0.714015634280825,0.0182693733867856,0.0136753732320487,0.158029057791911
"S2_DYNAMIC_FIXED_GAMMA_T100",15,100,9,0.8,0.8,0.727857750401355,1.33672673594383,0.808559094021676,1.23928299355358,0.0477351337668551,0.0386368831025534,0.916666666666667,0.0474547437142931,0.0386153905836512,0.916666666666667,0.911693570921008,0.913821062331315,0.0183004028978057,0.0134392632829167,0.212721493375697
"S2_DYNAMIC_FIXED_GAMMA_T100",16,100,9,0.8,0.8,0.793380694363827,1.25642432410104,0.816836541914639,1.15281683679378,0.0483023604077714,0.0372287824723796,0.953333333333333,0.0477252985552566,0.0370491703343003,0.953333333333333,0.739770407273046,0.742677382851747,0.0197088710926445,0.0150782178500161,0.18008790751513
"S2_DYNAMIC_FIXED_GAMMA_T100",17,100,9,0.8,0.8,0.70122192451184,1.4494184280606,0.827722833707405,1.19937760701571,0.0556995733330548,0.0437570743733951,0.89,0.0554808659847538,0.0438627365744648,0.89,0.850116740618924,0.847767067138935,0.0214619497853044,0.0157573830643699,0.143785164317264
"S2_DYNAMIC_FIXED_GAMMA_T100",18,100,9,0.8,0.8,0.827658788216116,1.2087814830121,0.848633907717433,1.1113356451719,0.034415687263022,0.0273244694839682,0.998888888888889,0.0343792112402926,0.0273261473550177,0.998888888888889,0.774919925061588,0.777997152560238,0.0176713197446335,0.01310003606482,0.179492471801186
"S2_DYNAMIC_FIXED_GAMMA_T100",19,100,9,0.8,0.8,0.751117483327103,1.42131247907287,0.787716426327713,1.24097606142007,0.0559813899677616,0.0434618836637596,0.954444444444444,0.0546304286285343,0.0429682910269465,0.954444444444444,0.773939433569684,0.768139110103842,0.0228066324590823,0.0176570878850711,0.188919803224472
"S2_DYNAMIC_FIXED_GAMMA_T100",20,100,9,0.8,0.8,0.748164498973869,1.32456430666866,0.823469022312954,1.28681753497166,0.0481871987983604,0.0384029172629749,0.971111111111111,0.047790316886177,0.0381877911978589,0.971111111111111,0.78934982405722,0.787350233204318,0.0233753611036528,0.0176434715926012,0.219709421224153
