"scenario_id","rep_id","file","TT","n1","mean_count","zero_prop","gamma_truth_mean","lambda_raw_min","lambda_raw_max","lambda_ident_min","lambda_ident_max","lambda_ident_log_rm_mean","coherent"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep01.rds",100,9,164.013333333333,0,0.8,0.571470973945725,1.51571874618498,0.672003565894424,1.512122179452,4.2751296330184e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",2,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep02.rds",100,9,190.828888888889,0,0.8,0.673241225015832,1.52029639884352,0.867134424629295,1.16408300862199,4.06156589842036e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",3,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep03.rds",100,9,230.316666666667,0,0.8,0.773090972642388,1.41757047453292,0.77194753777953,1.17803573190334,7.14089281533208e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",4,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep04.rds",100,9,160.464444444444,0,0.8,0.56737342846615,1.42707479150124,0.681134707604779,1.38501022163585,4.58660887048268e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",5,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep05.rds",100,9,281.008888888889,0,0.8,0.651373242930645,1.351764572744,0.820762434234092,1.21437773334684,3.84424359629105e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",6,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep06.rds",100,9,213.898888888889,0,0.8,0.665150586820576,1.6569221356215,0.687019697752817,1.29212472395296,4.02224549963156e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",7,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep07.rds",100,9,205.13,0,0.8,0.556057062117473,1.38324922732863,0.773283088022971,1.46034747956778,5.42949173275452e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",8,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep08.rds",100,9,174.394444444444,0,0.8,0.614573531748866,1.57507499868794,0.83253927762397,1.34519007743444,4.61376211155804e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",9,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep09.rds",100,9,178.144444444444,0,0.8,0.429230005900682,1.30625229328464,0.619037333121575,1.50217806132883,5.50562681864461e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",10,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep10.rds",100,9,188.225555555556,0,0.8,0.478939881471246,1.37057119924722,0.755548547412699,1.44251539876033,9.09843188444547e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",11,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep11.rds",100,9,202.09,0,0.8,0.57306326459706,1.67555799808356,0.787981182766052,1.21979827329653,7.41960505380569e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",12,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep12.rds",100,9,228.074444444444,0,0.8,0.575225586230797,1.33926928210304,0.832220064060255,1.18981785751518,8.62967105182596e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",13,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep13.rds",100,9,196.535555555556,0,0.8,0.543407401852388,1.40182872725166,0.715009747783493,1.43439611206275,4.9193866572909e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",14,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep14.rds",100,9,228.855555555556,0,0.8,0.453116455869529,1.31632009049224,0.823726855889369,1.22754361720226,5.1516468560189e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",15,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep15.rds",100,9,216.956666666667,0,0.8,0.533437145898318,1.62934471869381,0.727857750401355,1.33672673594383,5.4339249149709e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",16,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep16.rds",100,9,199.4,0,0.8,0.685372751854653,1.7027461185527,0.793380694363827,1.25642432410104,6.03336824944734e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",17,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep17.rds",100,9,173.68,0,0.8,0.397061781830986,1.30631040381426,0.70122192451184,1.4494184280606,3.23410280037943e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",18,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep18.rds",100,9,232.615555555556,0,0.8,0.745385728961725,1.35792690619755,0.827658788216116,1.2087814830121,6.23276507565822e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",19,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep19.rds",100,9,122.27,0,0.8,0.598074981347172,1.58812984716353,0.751117483327103,1.42131247907287,8.29467667390955e-17,TRUE
"S2_DYNAMIC_FIXED_GAMMA_T100",20,"./data_revised/S2_DYNAMIC_FIXED_GAMMA_T100/data_rep20.rds",100,9,149.482222222222,0,0.8,0.791129556402688,1.58589431116523,0.748164498973869,1.32456430666866,6.78806933502369e-17,TRUE
