"scenario_id","rep_id","n_stored","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","loglik_nb_mean"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,4000,0.2848,0.299972222222222,14.490475,225.36699999962,-4441.39422368715
"S2_DYNAMIC_FIXED_GAMMA_T100",2,4000,0.269325,0.317375,14.595075,225.321000000462,-4552.1009400087
"S2_DYNAMIC_FIXED_GAMMA_T100",3,4000,0.25695,0.308813888888889,14.45085,229.785000000149,-4719.11639864558
"S2_DYNAMIC_FIXED_GAMMA_T100",4,4000,0.230275,0.305575,14.4812,227.389999999665,-4431.71033459912
"S2_DYNAMIC_FIXED_GAMMA_T100",5,4000,0.253125,0.299055555555556,14.534975,226.774000000209,-4786.58200049969
"S2_DYNAMIC_FIXED_GAMMA_T100",6,4000,0.234875,0.3039,14.509375,227.202000000514,-4693.4768859932
"S2_DYNAMIC_FIXED_GAMMA_T100",7,4000,0.256625,0.304588888888889,14.4133,223.758999999613,-4468.04200241797
"S2_DYNAMIC_FIXED_GAMMA_T100",8,4000,0.2499,0.301344444444444,14.50525,223.564000000246,-4485.16919323517
"S2_DYNAMIC_FIXED_GAMMA_T100",9,4000,0.241225,0.305255555555556,14.420675,220.987999999896,-4488.85665446842
"S2_DYNAMIC_FIXED_GAMMA_T100",10,4000,0.26835,0.302866666666667,14.480925,233.082000000402,-4523.82467188943
"S2_DYNAMIC_FIXED_GAMMA_T100",11,4000,0.229525,0.302841666666667,14.513775,1510.23999999929,-4572.41688437297
"S2_DYNAMIC_FIXED_GAMMA_T100",12,4000,0.26265,0.304033333333333,14.529,342.702999999747,-4695.15942776879
"S2_DYNAMIC_FIXED_GAMMA_T100",13,4000,0.2594,0.301877777777778,14.5412,505.429999999702,-4514.79740853506
"S2_DYNAMIC_FIXED_GAMMA_T100",14,4000,0.253425,0.298377777777778,14.5931,504.957999999635,-4625.27018682307
"S2_DYNAMIC_FIXED_GAMMA_T100",15,4000,0.2647,0.307730555555556,14.558625,509.029000000097,-4659.97640723445
"S2_DYNAMIC_FIXED_GAMMA_T100",16,4000,0.274975,0.306863888888889,14.490375,506.490999999456,-4559.01651372536
"S2_DYNAMIC_FIXED_GAMMA_T100",17,4000,0.240575,0.306841666666667,14.4516,506.035000000149,-4508.66449175426
"S2_DYNAMIC_FIXED_GAMMA_T100",18,4000,0.260225,0.308672222222222,14.489,505.98900000006,-4773.15343808799
"S2_DYNAMIC_FIXED_GAMMA_T100",19,4000,0.2664,0.306994444444444,14.46575,508.578999999911,-4210.40929813139
"S2_DYNAMIC_FIXED_GAMMA_T100",20,4000,0.2343,0.3026,14.44815,1240.19600000046,-4362.54199497445
