"scenario_id","source_data_scenario_id","rep_id","data_file","fit_file","fit_exists"
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",1,"./data_revised/DGP_DYNAMIC_T100/data_rep01.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep01.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",2,"./data_revised/DGP_DYNAMIC_T100/data_rep02.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep02.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",3,"./data_revised/DGP_DYNAMIC_T100/data_rep03.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep03.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",4,"./data_revised/DGP_DYNAMIC_T100/data_rep04.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep04.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",5,"./data_revised/DGP_DYNAMIC_T100/data_rep05.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep05.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",6,"./data_revised/DGP_DYNAMIC_T100/data_rep06.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep06.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",7,"./data_revised/DGP_DYNAMIC_T100/data_rep07.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep07.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",8,"./data_revised/DGP_DYNAMIC_T100/data_rep08.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep08.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",9,"./data_revised/DGP_DYNAMIC_T100/data_rep09.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep09.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",10,"./data_revised/DGP_DYNAMIC_T100/data_rep10.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep10.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",11,"./data_revised/DGP_DYNAMIC_T100/data_rep11.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep11.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",12,"./data_revised/DGP_DYNAMIC_T100/data_rep12.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep12.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",13,"./data_revised/DGP_DYNAMIC_T100/data_rep13.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep13.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",14,"./data_revised/DGP_DYNAMIC_T100/data_rep14.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep14.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",15,"./data_revised/DGP_DYNAMIC_T100/data_rep15.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep15.rds",TRUE
"S3_DYNAMIC_LEARNED_GAMMA_T100","DGP_DYNAMIC_T100",16,"./data_revised/DGP_DYNAMIC_T100/data_rep16.rds","./output_s3_dynamic_learned_gamma/S3_DYNAMIC_LEARNED_GAMMA_T100/fit_S3_dynamic_learned_gamma_rep16.rds",TRUE
