"scenario_id","rep_id","TT","n1","gamma_truth_mean","gamma_learned_mean","gamma_learned_sd","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,100,9,0.8,0.765047877376571,0.0353050809283465,0.672003565894424,1.512122179452,0.762180204548529,1.33904505684357,0.0573978327592685,0.0452565671067982,0.941111111111111,0.0571268166244394,0.0451278809514963,0.941111111111111,0.873338019224027,0.872032316381782,0.0219513076193181,0.0166997392936181,0.220072767406317
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,100,9,0.8,0.872122834130554,0.0420962380210463,0.867134424629295,1.16408300862199,0.926060173747515,1.05863297282238,0.044374011686482,0.0351143966672231,0.868888888888889,0.0443805276142526,0.0351156542566519,0.868888888888889,0.538696353394351,0.538470877890826,0.0191097253420106,0.0145738151828128,0.0770892846418968
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,100,9,0.8,0.854311934185213,0.0411618630462739,0.77194753777953,1.17803573190334,0.926134633800849,1.09780865921083,0.041240555913391,0.033760038186331,0.938888888888889,0.0415332924258193,0.0338288038738124,0.938888888888889,0.801040390848076,0.798836987693506,0.0177239266128883,0.0136037409831444,0.152846572115142
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,100,9,0.8,0.804017641478168,0.0297753557172624,0.681134707604779,1.38501022163585,0.76981073542861,1.37218006721544,0.0479390559942676,0.0368929388671006,0.947777777777778,0.0475688537290377,0.0368624280056292,0.947777777777778,0.870041247576568,0.862190228189033,0.0210488709001907,0.0158792048718223,0.174324109161679
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,100,9,0.8,0.833599869619663,0.053432996630857,0.820762434234092,1.21437773334684,0.873215034936122,1.10235713281132,0.0467535290865465,0.0347187508068523,0.917777777777778,0.0473416857909373,0.0348997512177727,0.917777777777778,0.661640387350819,0.653230761095823,0.0185419694209887,0.0134022736597436,0.161366799668951
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,100,9,0.8,0.708905030803209,0.0395597287917276,0.687019697752817,1.29212472395296,0.78063847043558,1.22908841896401,0.0450064498887944,0.035576879624355,0.983333333333333,0.044663174913935,0.0353238605518894,0.983333333333333,0.824577675972314,0.826712054067919,0.0174327239876544,0.0135410816091123,0.200861899874743
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,100,9,0.8,0.772145236044272,0.0331783802300071,0.773283088022971,1.46034747956778,0.823501213229329,1.33225868127733,0.0517878985253372,0.0392081091234466,0.968888888888889,0.0508480536856011,0.0388184106110139,0.968888888888889,0.881305162053836,0.877674592245635,0.0229214120890398,0.0170047959597089,0.225019754030687
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,100,9,0.8,0.765293912385917,0.0369209647826531,0.83253927762397,1.34519007743444,0.851516566446923,1.2537852364673,0.0505025440351787,0.0400619941931243,0.958888888888889,0.0508500602757451,0.0402631736845948,0.958888888888889,0.769410764254877,0.757187842487117,0.0199517383423325,0.015132392268865,0.16859045176371
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,100,9,0.8,0.778609368191012,0.0368761885945183,0.619037333121575,1.50217806132883,0.720104508797926,1.21208349524102,0.0482689917060859,0.0358082717938069,0.97,0.0470420162997525,0.035519326306616,0.97,0.88475475307753,0.89604403231973,0.02380127972899,0.0169684038957479,0.229812610308544
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,100,9,0.8,0.874941950996038,0.0420201288344943,0.755548547412699,1.44251539876033,0.904615025551511,1.12034315624991,0.0609357452264944,0.0466795482715003,0.766666666666667,0.0603690496675458,0.0466281191042019,0.766666666666667,0.734779546286376,0.729856040101407,0.0201877396434428,0.0151881450792922,0.239438296063866
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,100,9,0.8,0.826833203443399,0.0431596924547845,0.787981182766052,1.21979827329653,0.89785723355287,1.12292127770657,0.040716911611542,0.0318048237388865,0.98,0.0405811974379258,0.0317017398009945,0.98,0.807131623507229,0.807744361948684,0.01898447339418,0.0143703427465101,0.252598715894757
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,100,9,0.8,0.900055972002047,0.0429642031423823,0.832220064060255,1.18981785751518,0.923831092505346,1.07059248512279,0.0483757917429396,0.0376652932059758,0.793333333333333,0.0481207633232972,0.0375558596737585,0.793333333333333,0.657490285214553,0.663508899313815,0.01809830491081,0.0138495412205682,0.0600913665223068
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,100,9,0.8,0.75092001888363,0.0428260778518481,0.715009747783493,1.43439611206275,0.75875045667801,1.39406382286976,0.0491739347821083,0.0368269760078397,0.97,0.0494529341407891,0.0369127565258685,0.97,0.870917225346211,0.861876547612929,0.0211337593704037,0.0157028678440927,0.257845225591943
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,100,9,0.8,0.860033899213674,0.0338300169409701,0.823726855889369,1.22754361720226,0.913127934374499,1.11450547445816,0.0368651531613453,0.0281874819141764,0.952222222222222,0.0369201391863997,0.0282307546688396,0.952222222222222,0.729749657782641,0.730614045903844,0.0182731785375023,0.0137416404084874,0.163482894589167
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,100,9,0.8,0.77794123532382,0.0332613802348126,0.727857750401355,1.33672673594383,0.805024877888471,1.25010745366595,0.0469224803161982,0.0377532117501315,0.952222222222222,0.046640368516434,0.0377544955204119,0.952222222222222,0.909890218974823,0.912070773314328,0.0183225167312683,0.0134501973157755,0.205565603049834
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,100,9,0.8,0.826432461494281,0.0335236674488812,0.793380694363827,1.25642432410104,0.833887064627001,1.13669440990287,0.0488763429066258,0.0377387577856071,0.931111111111111,0.0481790327895729,0.0375177925472547,0.931111111111111,0.737495739873645,0.74107009373676,0.0196961597040431,0.0150678239276229,0.185353384384962
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,100,9,0.8,0.793523152496112,0.0349982210711486,0.70122192451184,1.4494184280606,0.829967011402792,1.19726645212702,0.0558075178630416,0.0438249583582061,0.913333333333333,0.0556002426819763,0.0439560097571773,0.913333333333333,0.849134083396731,0.846687832642678,0.0214963180677093,0.0157609075098137,0.137885491466215
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,100,9,0.8,0.811599534655057,0.0395763002887821,0.827658788216116,1.2087814830121,0.857022008702495,1.10604914225674,0.0340069780487986,0.0269869535775777,0.997777777777778,0.0339977155732947,0.0269996021791002,0.997777777777778,0.778197859685989,0.780986745076862,0.017661128642577,0.0131118831145393,0.184422409416152
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,100,9,0.8,0.846256491423355,0.0428610249329127,0.751117483327103,1.42131247907287,0.823411321949691,1.19852697054573,0.0579114922766912,0.0436709419882793,0.903333333333333,0.0559739657231614,0.0431641091482687,0.903333333333333,0.76792713378714,0.762533305165105,0.02288355460887,0.0177169832181629,0.17972027814534
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,100,9,0.8,0.832147507733812,0.0383201918451375,0.748164498973869,1.32456430666866,0.838226733754587,1.25126351140177,0.0467514697432962,0.0372115473555296,0.946666666666667,0.0464703887032012,0.0371302652147455,0.946666666666667,0.792736225041375,0.790936556332532,0.023424666141314,0.0176515256798311,0.216844106820106
