"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_learned_mean","gamma_learned_sd","gamma_bias","gamma_covered","gamma_accept_rate","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","phi_rmse","phi_cor","r_rmse","r_mean_bias","beta0_bias","beta1_bias","beta2_bias","beta0_covered","beta1_covered","beta2_covered","phi_coverage","r_coverage","log_lambda_rmse","log_lambda_coverage_95","cor_log_lambda","cor_delta_log_lambda","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,100,9,164.013333333333,0,TRUE,TRUE,FALSE,TRUE,0.8,0.765047877376571,0.0353050809283465,-0.0349521226234291,1,0.3589,0.672003565894424,1.512122179452,0.762180204548529,1.33904505684357,0.0251377981921574,0.997725345904638,2.70188090425285,0.438262627385072,-0.00344221926729094,-0.01195181537707,0.00287889372343653,1,1,1,0.888888888888889,0.888888888888889,0.0571268166244394,0.941111111111111,0.872032316381782,0.220072767406317,0.237275,0.301863888888889,14.4954,299.036000000007
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,100,9,190.828888888889,0,TRUE,TRUE,FALSE,TRUE,0.8,0.872122834130554,0.0420962380210463,0.0721228341305535,1,0.33645,0.867134424629295,1.16408300862199,0.926060173747515,1.05863297282238,0.0211000026501234,0.996742077471375,3.14659607724918,1.41432575084465,-0.00191730448517502,-0.0129350444935478,-0.0162885240090947,1,1,1,1,0.888888888888889,0.0443805276142526,0.868888888888889,0.538470877890826,0.0770892846418968,0.255525,0.307397222222222,14.537675,298.198999999993
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,100,9,230.316666666667,0,TRUE,TRUE,FALSE,TRUE,0.8,0.854311934185213,0.0411618630462739,0.0543119341852134,1,0.332,0.77194753777953,1.17803573190334,0.926134633800849,1.09780865921083,0.0290629789420185,0.991920561072231,2.19888401987249,-0.231643594310349,0.00330367506300022,0.00204172641000677,-0.00999558494091085,1,1,1,0.888888888888889,1,0.0415332924258193,0.938888888888889,0.798836987693506,0.152846572115142,0.233,0.307163888888889,14.426875,298.645000000004
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,100,9,160.464444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.804017641478168,0.0297753557172624,0.00401764147816841,1,0.337875,0.681134707604779,1.38501022163585,0.76981073542861,1.37218006721544,0.0277005729555235,0.990973398438282,2.58831418637697,0.453608247706256,-0.00465191770456919,0.00567154482210486,-0.0121246074999936,1,1,1,0.888888888888889,1,0.0475688537290377,0.947777777777778,0.862190228189033,0.174324109161679,0.27165,0.310238888888889,14.47215,303.509999999995
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,100,9,281.008888888889,0,TRUE,TRUE,FALSE,TRUE,0.8,0.833599869619663,0.053432996630857,0.033599869619663,1,0.345675,0.820762434234092,1.21437773334684,0.873215034936122,1.10235713281132,0.0246760314325532,0.997998036813987,2.56434888783682,0.416461782588862,0.0117812836950799,-0.0109509451497998,0.00083265458411097,1,1,1,1,1,0.0473416857909373,0.917777777777778,0.653230761095823,0.161366799668951,0.2592,0.305641666666667,14.5255,305.505000000005
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,100,9,213.898888888889,0,TRUE,TRUE,FALSE,TRUE,0.8,0.708905030803209,0.0395597287917276,-0.0910949691967906,0,0.35985,0.687019697752817,1.29212472395296,0.78063847043558,1.22908841896401,0.0230522498292438,0.997647724971435,1.76244618043079,0.324021809065547,-0.0117834733358997,0.00442299712782745,-0.000141093947051973,1,1,1,1,1,0.044663174913935,0.983333333333333,0.826712054067919,0.200861899874743,0.2692,0.297708333333333,14.508325,301.275999999998
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,100,9,205.13,0,TRUE,TRUE,FALSE,TRUE,0.8,0.772145236044272,0.0331783802300071,-0.0278547639557277,1,0.36715,0.773283088022971,1.46034747956778,0.823501213229329,1.33225868127733,0.0164396864095573,0.999799600589096,1.03981824777654,-0.0992352260564108,0.00868547183346058,-0.000790546407251458,0.00862502009774974,1,1,1,1,1,0.0508480536856011,0.968888888888889,0.877674592245635,0.225019754030687,0.2538,0.304383333333333,14.438325,302.22600000001
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,100,9,174.394444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.765293912385917,0.0369209647826531,-0.0347060876140832,1,0.35445,0.83253927762397,1.34519007743444,0.851516566446923,1.2537852364673,0.0219964149571409,0.997699150577902,2.1456148224438,0.286549550750253,0.00195242681096364,0.017360020893134,0.00317325910169408,1,1,1,1,1,0.0508500602757451,0.958888888888889,0.757187842487117,0.16859045176371,0.27625,0.299519444444444,14.4935,303.338000000003
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,100,9,178.144444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.778609368191012,0.0368761885945183,-0.0213906318089884,1,0.343225,0.619037333121575,1.50217806132883,0.720104508797926,1.21208349524102,0.0269619678725672,0.998960279307152,2.66309466872188,-0.147764211778165,-0.00149401955661999,-0.0108671709005716,-0.00349293974879444,1,1,1,1,1,0.0470420162997525,0.97,0.89604403231973,0.229812610308544,0.250725,0.309363888888889,14.430325,299.506999999998
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,100,9,188.225555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.874941950996038,0.0420201288344943,0.0749419509960378,1,0.32035,0.755548547412699,1.44251539876033,0.904615025551511,1.12034315624991,0.0456128869793906,0.99591686103054,2.2536211630237,-0.24392692962145,0.00865755425201509,0.0321039292309684,0.00581084300233758,1,0,1,0.777777777777778,0.888888888888889,0.0603690496675458,0.766666666666667,0.729856040101407,0.239438296063866,0.23505,0.300447222222222,14.4482,298.805999999997
