"scenario_id","rep_id","parameter","n_draws","mean","sd","acf1","ess"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"beta0",4000,-1.55446031530182,0.00944214964682434,0.0678798078545154,3521.88432465437
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"beta1",4000,0.48804818462293,0.0107409808430529,0.42721854518783,1160.74902391078
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"beta2",4000,-0.397121106276563,0.00999814019066638,0.326901042391438,1977.56623396391
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"gamma_common",4000,0.765047877376571,0.0353050809283465,0.967117973580317,61.6883629245938
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"beta0",4000,-1.52406298898646,0.00887244961140178,0.0149084345923733,3884.19178316993
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"beta1",4000,0.487064955506452,0.00954939357954265,0.350654237516926,1546.28399159762
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"beta2",4000,-0.416288524009095,0.00929822222187026,0.305719800944414,1941.65640455983
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"gamma_common",4000,0.872122834130554,0.0420962380210463,0.991983120744314,23.0031414115225
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"beta0",4000,-1.40067502287606,0.00947397784754754,0.0276601294524896,3790.33207744682
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"beta1",4000,0.502041726410007,0.0102822839885471,0.363155125463919,646.717985158959
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"beta2",4000,-0.409995584940911,0.00951818189286454,0.321901382045177,1932.61911829954
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"gamma_common",4000,0.854311934185213,0.0411618630462739,0.989413031608675,7.85658177136418
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"beta0",4000,-1.59476419690342,0.00949693310419361,0.0240042239803404,3750.15666925612
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"beta1",4000,0.505671544822105,0.0100831365307702,0.36500068295033,1355.32776638797
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"beta2",4000,-0.412124607499994,0.00995836214685666,0.34007636154499,1564.14906945607
