"scenario_id","rep_id","n_stored","phi_accept_rate","r_accept_rate_mean","gamma_accept_rate","beta_mean_n_reject","elapsed_sec","loglik_nb_mean","gamma_mean","gamma_sd","gamma_acf1","gamma_ess"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,4000,0.237275,0.301863888888889,0.3589,14.4954,299.036000000007,-4437.98961942226,0.765047877376571,0.0353050809283465,0.967117973580317,61.6883629245938
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,4000,0.255525,0.307397222222222,0.33645,14.537675,298.198999999993,-4558.36259693181,0.872122834130554,0.0420962380210463,0.991983120744314,23.0031414115225
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,4000,0.233,0.307163888888889,0.332,14.426875,298.645000000004,-4723.28826262481,0.854311934185213,0.0411618630462739,0.989413031608675,7.85658177136418
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,4000,0.27165,0.310238888888889,0.337875,14.47215,303.509999999995,-4431.94172928598,0.804017641478168,0.0297753557172624,0.966558313861314,60.1986283060076
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,4000,0.2592,0.305641666666667,0.345675,14.5255,305.505000000005,-4789.67970026325,0.833599869619663,0.053432996630857,0.991551861852302,22.6651483536123
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,4000,0.2692,0.297708333333333,0.35985,14.508325,301.275999999998,-4682.10600094509,0.708905030803209,0.0395597287917276,0.964951361198477,85.7639199655996
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,4000,0.2538,0.304383333333333,0.36715,14.438325,302.22600000001,-4465.25711384552,0.772145236044272,0.0331783802300071,0.965790925089319,79.2287723412114
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,4000,0.27625,0.299519444444444,0.35445,14.4935,303.338000000003,-4481.03694015371,0.765293912385917,0.0369209647826531,0.969618563414201,41.6435846268279
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,4000,0.250725,0.309363888888889,0.343225,14.430325,299.506999999998,-4487.38057324457,0.778609368191012,0.0368761885945183,0.974838812558124,38.1624729081521
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,4000,0.23505,0.300447222222222,0.32035,14.4482,298.805999999997,-4529.77903754982,0.874941950996038,0.0420201288344943,0.992479639136535,10.674886785205
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,4000,0.256175,0.303955555555556,0.3332,14.5498,298.040999999997,-4575.5868073121,0.826833203443399,0.0431596924547845,0.98666235198112,32.1901457975397
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,4000,0.237425,0.308255555555556,0.3436,14.487525,297.547000000006,-4702.08280656858,0.900055972002047,0.0429642031423823,0.994036884745926,15.289401292893
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,4000,0.2446,0.307177777777778,0.377725,14.4979,298.194000000003,-4509.51485463192,0.75092001888363,0.0428260778518481,0.974674993082449,49.1616701018627
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,4000,0.25605,0.3034,0.359475,14.5623,297.497000000003,-4629.57580793097,0.860033899213674,0.0338300169409701,0.984506854062447,26.3254507044107
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,4000,0.244475,0.299288888888889,0.339575,14.585675,296.986000000004,-4657.91957241025,0.77794123532382,0.0332613802348126,0.968463805918969,44.2588118948186
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,4000,0.28025,0.304097222222222,0.3498,14.510825,297.303,-4561.53669089593,0.826432461494281,0.0335236674488812,0.978039055474079,31.6527459676502
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,4000,0.261725,0.311213888888889,0.335275,14.460325,297.679000000004,-4508.333698814,0.793523152496112,0.0349982210711486,0.975933975630455,43.1100794755109
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,4000,0.237625,0.311538888888889,0.3445,14.505,299.659,-4774.30093728615,0.811599534655057,0.0395763002887821,0.981622390103159,53.4222734487198
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,4000,0.2557,0.310066666666667,0.3343,14.42875,299.207999999999,-4215.32837645933,0.846256491423355,0.0428610249329127,0.989191261146344,26.2229505969569
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,4000,0.256675,0.302944444444444,0.325875,14.42955,297.584000000003,-4365.32956893098,0.832147507733812,0.0383201918451375,0.985093167596776,29.6951350480328
