"scenario","label","subset","parameter","truth","posterior_mean","across_rep_sd","mean_bias","mean_abs_bias","rmse_bias","coverage","mean_post_sd"
"S4A","Sparse counts","stable_plus_soft_warning","beta0",-6.38511540131423,-6.16957853092843,0.611040545728803,0.215536870385796,0.497508096295829,0.61845746512416,0.3,0.0640191633602645
"S4A","Sparse counts","stable_plus_soft_warning","beta1",0.5,0.492719080542561,0.0325032086860985,-0.00728091945743858,0.0272124873719446,0.0316831896365971,0.9,0.0306819346905864
"S4A","Sparse counts","stable_plus_soft_warning","beta2",-0.4,-0.385285732375151,0.0231195624272517,0.0147142676248488,0.0221779297266006,0.0264115963523696,1,0.0275133926227181
"S4B","Low/heterogeneous exposure","stable_plus_soft_warning","beta0",-1.68435552020715,-1.731062200278,0.258013370028583,-0.046706680070858,0.0474542216795975,0.0677270061678792,0.6,0.0282643106796786
"S4B","Low/heterogeneous exposure","stable_plus_soft_warning","beta1",0.5,0.500189472414622,0.0164600772514361,0.000189472414621782,0.0137490213023315,0.0156165498304466,1,0.0199134733136032
"S4B","Low/heterogeneous exposure","stable_plus_soft_warning","beta2",-0.4,-0.399880877063073,0.014624614608017,0.000119122936927257,0.0114207291293867,0.0138746390030092,1,0.0182702015231394
"S4C","Strong overdispersion","stable_plus_soft_warning","beta0",-1.68435552020715,-1.68924320515604,0.239750639424363,-0.00488768494889043,0.0159184355056258,0.0189612816316947,1,0.0196370144288739
"S4C","Strong overdispersion","stable_plus_soft_warning","beta1",0.5,0.494685878706483,0.0217590049550765,-0.00531412129351746,0.0130875653741186,0.0213154580549833,0.9,0.0210327949388212
"S4C","Strong overdispersion","stable_plus_soft_warning","beta2",-0.4,-0.405096085084882,0.0165190218114929,-0.00509608508488247,0.0126812220246268,0.0164790884650846,1,0.0200908220435204
"S4D","Short time series","stable_plus_soft_warning","beta0",-1.7119355169065,-1.71055626609857,0.215462661453194,0.00137925080792898,0.015202018994475,0.0182022942407691,1,0.019241169733234
"S4D","Short time series","stable_plus_soft_warning","beta1",0.5,0.506481273987264,0.0240576792325197,0.00648127398726361,0.0198310771480918,0.0237255484561961,1,0.0205217106486845
"S4D","Short time series","stable_plus_soft_warning","beta2",-0.4,-0.405494815691645,0.0183783338308957,-0.00549481569164508,0.0150640377215449,0.018280586381323,1,0.0191550793683354
"S4E","Spatial/covariate confounding","stable_plus_soft_warning","beta0",-1.56487028311527,-1.56592975245262,0.216997528844354,-0.00105946933734282,0.00526214549650077,0.00703873212781428,1,0.00954397294157939
"S4E","Spatial/covariate confounding","stable_plus_soft_warning","beta1",0.5,0.498187123711407,0.0119798133166231,-0.0018128762885924,0.00841668052360052,0.0115087295054131,0.9,0.0103416576322346
"S4E","Spatial/covariate confounding","stable_plus_soft_warning","beta2",-0.4,-0.397652555189357,0.00944232643300023,0.00234744481064333,0.00753068715693038,0.00926025230539755,1,0.0120880813997889
