"rep_id","scenario_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","covered","covered_95","fit_status","nonfailed","stable_fit"
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-5.92581758101154,-5.9784934042297,0.036531071764028,-6.05071443525872,-5.97826129272674,-5.90868832725634,-0.052675823218161,1,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.529680440712884,0.0332956467086312,0.46257558268467,0.529897259654883,0.594506915474834,0.0296804407128841,1,1,"stable",TRUE,TRUE
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,0.891325194941296,0.683997728370982,-0.664926396883882,0.938308733607075,1.9897564551462,1.2913251949413,1,1,"stable",TRUE,TRUE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-5.7156523234212,-5.8260780588999,0.0334785987894108,-5.89188309548143,-5.82585836335662,-5.76032310679333,-0.110425735478705,0,0,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.501352370096431,0.0251170291493513,0.453752124839259,0.501395699870721,0.549643580768633,0.00135237009643097,1,1,"soft_warning",TRUE,FALSE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,-2.81681938009825,1.15235147409887,-4.63256418560645,-2.74737281006913,-0.618036462903844,-2.41681938009825,0,0,"soft_warning",TRUE,FALSE
3,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-6.03194190506619,-6.1336440571224,0.039615005716799,-6.2125785174571,-6.13246023724733,-6.05809222929173,-0.101702152056209,0,0,"stable",TRUE,TRUE
3,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta1",0.5,0.53754843857527,0.0294290133984659,0.480237935121844,0.537897162800502,0.596292860332537,0.0375484385752698,1,1,"stable",TRUE,TRUE
3,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta2",-0.4,-1.35193385237582,0.737355729792502,-2.79243886890714,-1.40453368748419,0.147822193711087,-0.951933852375819,1,1,"stable",TRUE,TRUE
4,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100","beta0",-6.53036627476399,-7.42237535725345,0.185016584276863,-7.7853343550582,-7.42436503071329,-7.05278101619745,-0.892009082489464,0,0,"numerical_instability",FALSE,FALSE
