"rep_id","scenario_id","TT","n1","gamma_truth_mean","gamma_fixed_mean","gamma_fixed_sd","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","fit_status","nonfailed","stable_fit"
1,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.666221989997869,1.81516555879515,0.43539466660689,2.51334508874589,0.271879834455367,0.185393941171552,0.988888888888889,0.236402332420993,0.170851339623057,0.988888888888889,0.325949344064478,0.28026892715919,0.0585981663778263,0.0416833624919758,0.0511200114693879,"stable",TRUE,TRUE
2,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.641218927388333,1.623511272448,0.303010061977854,2.70421006174407,0.262186789172635,0.162123662068413,0.996666666666667,0.224876437493268,0.144307038491914,0.996666666666667,0.514944229487686,0.511666146184089,0.0550758042071787,0.0359958407193439,0.114842838740464,"soft_warning",TRUE,FALSE
3,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.66957094593915,1.44475245341837,0.441557294145875,3.54987257396643,0.302561508426479,0.188846650206186,0.995555555555556,0.236806661699205,0.168653394865704,0.995555555555556,0.370247060052087,0.385747609170754,0.056132500942462,0.0390788662061119,0.0877334054017033,"stable",TRUE,TRUE
4,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.148714873349531,4.92023393746212,0.351902623318501,20406.5472012546,1470.70017521552,195.587546892774,0.952222222222222,2.40641745895383,0.732797372277182,0.952222222222222,-0.254157345000659,-0.117713037535966,0.263826468226439,0.0920875202413713,-0.17264445401412,"numerical_instability",FALSE,FALSE
5,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.741994020858652,1.28535281026071,0.600469890636166,2.12083574256967,0.15566016197389,0.107814869683519,1,0.131500423649697,0.100472226966748,1,0.686855184379723,0.703498220979194,0.0351727284087026,0.0251428432556935,0.143067077992922,"soft_warning",TRUE,FALSE
6,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.761261087000651,1.29270978852057,0.536504216635468,1.85640762778304,0.208912065534869,0.148170975630376,1,0.188740630527095,0.140894346667669,1,0.381410745234447,0.386328750667701,0.0499400582277979,0.0366253253563419,0.0418645385883956,"stable",TRUE,TRUE
7,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,4.20716072856158e-281,1.02906146131891e+26,5.47312588826961e-05,106090373.029961,1.38608699351474e+25,3.13912344380439e+24,0.885555555555556,17.1640605283408,5.66343946876981,0.885555555555556,0.691070339235051,0.251536286055566,1.85915833909828,0.180600180757964,-0.00444962822956765,"numerical_instability",FALSE,FALSE
8,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.562307034891257,1.47304675861128,0.30424813577739,2.54300920342198,0.30349810630574,0.221318513301091,0.995555555555556,0.288941049809379,0.203717964232896,0.995555555555556,0.527872917807289,0.539731533753832,0.064332794529496,0.0457828565674699,0.0535638002564443,"stable",TRUE,TRUE
9,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.780774909435344,1.24258812596504,0.376891865190687,1.71499258938813,0.175798598660526,0.136438793994406,0.99,0.175376654168903,0.131109214142025,0.99,0.336509386374521,0.29764875155585,0.0426252211670377,0.0321094061700586,0.0800192068296313,"stable",TRUE,TRUE
10,"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",100,9,0.8,0.8,0,0.8155914724962,1.40511102208183,0.599041687257938,2.1344599460788,0.179252939360696,0.125032762083685,0.995555555555556,0.1635286567637,0.119282709968333,0.995555555555556,0.390406940553026,0.374709294348251,0.0378535294212924,0.0284398972053537,0.138365214349918,"stable",TRUE,TRUE
