"subset","parameter","n_reps","mean_bias","median_bias","rmse_bias","mean_abs_bias","coverage","mean_post_sd","mean_post_mean","sd_post_mean_across_reps"
"all_sampled_lambda","beta0",10,-4156.83802683311,-0.105348832299389,13144.6165303841,4156.83852265224,0.3,799.983028405122,-4163.41491783041,13146.6730309885
"all_sampled_lambda","beta1",10,0.0189716477781265,0.0268714207325573,0.0356247301106201,0.0289976708825539,0.8,0.0268993730199925,0.518971647778127,0.0317839577990958
"all_sampled_lambda","beta2",10,0.148392024928642,0.0510839830819951,2.44701926500958,1.9669980549101,0.4,0.670887183055134,-0.251607975071357,2.57463764230698
"stable_only","beta0",6,-0.074471668657121,-0.077188987637185,0.0872711886489069,0.0752980338743493,0.333333333333333,0.0340411625124767,-5.96191632848405,0.255280936510059
"stable_only","beta1",6,0.0101848346388715,0.0212354073150433,0.0311831037918558,0.0268948731462506,1,0.030564084229424,0.510184834638872,0.0322860051193547
"stable_only","beta2",6,-0.720621910073912,-0.361905333300401,1.77430611326057,1.46279660665875,0.666666666666667,0.628893845358316,-1.12062191007391,1.77613048381314
"stable_plus_soft_warning","beta0",8,-0.070133000337691,-0.077188987637185,0.0850778379437397,0.0707527742506122,0.375,0.0330168311300738,-5.9030658325836,0.247498568495352
"stable_plus_soft_warning","beta1",8,0.0113982825301798,0.0210080767235523,0.0288558129786382,0.0239308114107141,1,0.0293451987462773,0.51139828253018,0.0283395150280178
"stable_plus_soft_warning","beta2",8,-0.27487817991245,-0.361905333300401,2.38105654036892,1.96689055266161,0.5,0.673407666772426,-0.67487817991245,2.5284376281788
"numerical_instability","beta0",2,-20783.9096021642,-20783.9096021642,29392.2560996137,20783.9096021642,0,3999.78307470109,-20793.4623258217,29395.8996059758
"numerical_instability","beta1",2,0.0492651087699133,0.0492651087699133,0.0549087898850453,0.0492651087699133,0,0.0171160701148535,0.549265108769913,0.0342906478366527
"numerical_instability","beta2",2,1.84147284429301,1.84147284429301,2.69477186843447,1.96742806390404,0,0.660805248185967,1.44147284429301,2.78236345096653
