"scenario_id","rep_id","mean_count","zero_prop","exposure_mean_ratio","exposure_cv","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","fit_status","nonfailed","stable_fit"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",1,9.01222222222222,0.115555555555556,0.051100885077019,0.772886513957123,0.223508464364561,0.133445162929313,0.994444444444444,0.202897627561875,0.12832287269159,0.994444444444444,-0.0127539171299046,0.0215474003495702,0.0474199631569232,0.0316955894488503,-0.0932695970921857,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",2,11.8966666666667,0.153333333333333,0.0461456787296147,0.785272211231672,0.365661627787147,0.162983445961887,0.977777777777778,0.264760190107282,0.144772228649065,0.977777777777778,0.436145009979978,0.383002731761362,0.0616013083446085,0.0348093718238035,0.0669356100500867,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",3,8.39888888888889,0.13,0.0555929215485771,1.18511589009766,0.177468742395561,0.125649516937929,0.997777777777778,0.171582090911305,0.119862739246888,0.997777777777778,0.198550956562296,0.199877744030692,0.0410506340912929,0.029917342666593,0.118628827307796,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",4,5.90444444444444,0.187777777777778,0.0553186962035692,0.854245265689194,682.782705975075,187.29171406387,0.901111111111111,3.0085116067339,0.991033097688499,0.901111111111111,0.570874844101377,0.732735131151371,0.173888170390402,0.060010582112592,0.184071518451719,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",5,15.7822222222222,0.113333333333333,0.0494731736054185,0.850287624248096,0.435878041610252,0.164384519184513,1,0.293803476535292,0.130618128872062,1,0.414469807164959,0.546887769960379,0.0555403585083626,0.0302046653206645,0.0780685053252881,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",6,9.36,0.0722222222222222,0.0494606889370041,0.648279493233658,0.136786535787786,0.0944323798339321,0.992222222222222,0.136857070947983,0.0931005353143021,0.992222222222222,0.415278479237395,0.406705628159183,0.0352906197251955,0.0255972197053698,0.0417472049456979,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",7,7.08888888888889,0.165555555555556,0.0472034871191146,0.823174305631986,1.38608699351474e+25,3.13912344380439e+24,0.886666666666667,54.3101102113826,10.3007093383094,0.886666666666667,0.176664329326821,0.651837288242802,13.1055208498966,0.857279931968216,0.0362139238603263,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",8,7.54333333333333,0.191111111111111,0.0467254010217166,0.801431177341371,0.202747032906589,0.142410777426994,0.988888888888889,0.197257624533003,0.13877596677015,0.988888888888889,0.327048404003634,0.308458018626542,0.0490665359633711,0.0345703202383218,0.0385263219207791,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",9,9.33333333333333,0.0844444444444444,0.0508557399152359,0.872755737430909,0.119594786657489,0.0888012250746775,0.998888888888889,0.117349749223478,0.0864823505446393,0.998888888888889,0.538698907656007,0.535443094814067,0.0339029434769456,0.0246542537587091,0.0575745343510462,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",10,11.26,0.0388888888888889,0.0418030505047972,0.657284125303518,0.0966392865584839,0.0742898787602687,1,0.0923312346634071,0.0728878478414835,1,0.497871058989143,0.498173967690856,0.0268491329509731,0.019489893777296,0.179744279797873,"stable",TRUE,TRUE
