"scenario_id","rep_id","exposure_group","n_areas","mean_multiplier","mean_count","zero_prop","lambda_rmse","log_lambda_rmse","cor_log_lambda","phi_rmse","phi_mae","phi_cor","fit_status","nonfailed","stable_fit"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",1,"low_exposure",3,0.0315150478623236,4.01,0.13,0.16852146816886,0.156157346089038,0.388712935030691,0.34653895824546,0.341123579789759,0.614833723706331,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",2,"low_exposure",3,0.0123756076526874,1.49,0.446666666666667,0.622468492847415,0.396921933115261,0.438108855217173,1.3509958636974,1.23016303038745,0.647632887344816,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",3,"low_exposure",3,0.0131694290901779,1.76666666666667,0.27,0.262929568934834,0.244975033559126,0.111715033855179,3.05751459863908,2.86793968948961,0.227421226995067,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",4,"low_exposure",3,0.025417620598098,3.69333333333333,0.1,0.115055606596444,0.112676893785387,0.47617338347758,21947.1309848179,21947.1309792702,0.247566961547351,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",5,"low_exposure",3,0.00942658779766838,3.56,0.31,0.747395834919595,0.450494066159201,0.581467901982181,1.47080113256342,1.4591408821557,-0.343302194589798,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",6,"low_exposure",3,0.0332325503546135,3.57,0.1,0.172179135997702,0.174752006088501,-0.0671284551847278,0.853389683917931,0.852939984791269,0.998655074668302,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",7,"low_exposure",3,0.0248010855930132,5.11333333333333,0.2,0.157775372237362,0.153119009793792,0.333941281501692,7.73997212977093,6.49008575522591,-0.297204105516286,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",8,"low_exposure",3,0.0120611647307552,1.88,0.283333333333333,0.232512281366277,0.224938743870903,-0.122895992380938,1.58913225126121,1.47913246006044,0.9045879825194,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",9,"low_exposure",3,0.0248909590482418,3.26333333333333,0.216666666666667,0.160857785556474,0.153228796342536,0.380126810561858,0.494499704923054,0.445722231105276,0.923757382136781,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",10,"low_exposure",3,0.0210851741349249,6.06,0.08,0.120714848130227,0.114249804717256,0.382875688835506,0.949208250919702,0.9427830916822,-0.2509975537491,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",1,"middle_exposure",3,0.0449674129697634,4.37333333333333,0.216666666666667,0.339961943809703,0.302808612169929,-0.366120895334264,0.396756665025138,0.396104367956564,0.987753451893592,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",2,"middle_exposure",3,0.0604765984853016,13.2366666666667,0.01,0.0875121709493336,0.0880843031455375,0.373690869138534,0.486820117507285,0.484155561206305,0.998880281265699,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",3,"middle_exposure",3,0.0207135445816725,5.02333333333333,0.07,0.0982068415856864,0.0966323638912222,0.42341716129836,3.04137267924925,2.85800162021298,-0.782682914344431,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",4,"middle_exposure",3,0.0417858515652337,3.9,0.16,0.212243448871086,0.207006139342481,0.435312535160606,21947.0930351398,21947.0930297824,-0.675127535977172,"numerical_instability",FALSE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",5,"middle_exposure",3,0.0411012718718504,7.88,0.03,0.0989625139940615,0.098605495992187,0.555534705762041,2.02015479751706,2.00091873758902,-0.133834961789196,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",6,"middle_exposure",3,0.0313353706128136,5.76333333333333,0.116666666666667,0.142716153413716,0.137989599452168,0.59259017903655,3.94928365748644,2.81939869767703,0.219563835429145,"stable",TRUE,TRUE
