"scenario_id","rep_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","covered","covered_95","fit_status","nonfailed","stable_fit"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"beta0",-2.13511540131423,-2.29748575002967,0.0553299103641971,-2.41484772891509,-2.29579186820931,-2.19196809201774,-0.162370348715439,0,0,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"beta0",-1.38506352666298,-1.39632924836362,0.0217782221475669,-1.43947778749395,-1.39598226721831,-1.35424181114073,-0.0112657217006413,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"beta0",-1.461673476828,-1.51626198824335,0.0235074002674781,-1.56266039040227,-1.51675008454872,-1.46943815545651,-0.0545885114153488,0,0,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"beta0",-1.99893288975913,-2.01883767964062,0.0332427565363057,-2.08579579495799,-2.01883668315821,-1.95417606911022,-0.0199047898814926,1,1,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"beta0",-1.56369881057473,-1.66278952539241,0.0297322147705451,-1.72245936444377,-1.66168069729358,-1.60606687124077,-0.0990907148176872,0,0,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"beta0",-1.62820166799763,-1.62446395995393,0.0211416095045579,-1.66649794718921,-1.62413637449384,-1.58282960626842,0.00373770804369733,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",7,"beta0",-1.66316248304008,-1.69447051580017,0.0256142867040901,-1.74540086372903,-1.69391797757736,-1.64455189760128,-0.0313080327600972,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"beta0",-1.79725193697302,-1.80318428787068,0.0292069325932944,-1.86189542687444,-1.80287786842441,-1.74733365504711,-0.00593235089765787,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"beta0",-1.60166652979271,-1.67154387020844,0.0236443762300225,-1.71914224784918,-1.67151544152205,-1.62593749007808,-0.0698773404157329,0,0,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"beta0",-1.60878847912896,-1.62525517727714,0.0194453976787279,-1.66393093500814,-1.62519003776131,-1.5868381862397,-0.0164666981481807,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"beta1",0.5,0.510486842467723,0.0222089775831792,0.463367145618892,0.510848631047587,0.554715451368168,0.0104868424677234,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"beta1",0.5,0.482066961409403,0.0176741988911085,0.448007730134269,0.482433464170364,0.516712718453102,-0.0179330385905972,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"beta1",0.5,0.511273752728057,0.020652351843313,0.470949638629398,0.511495697038224,0.552515372889664,0.0112737527280574,1,1,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"beta1",0.5,0.487042659793603,0.0210822020146333,0.44672090873591,0.487087590139876,0.528649104324141,-0.0129573402063967,1,1,"soft_warning",TRUE,FALSE
