"scenario_id","rep_id","mean_count","zero_prop","exposure_mean_ratio","exposure_cv","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","fit_status","nonfailed","stable_fit"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,8.29444444444444,0.224444444444444,0.051100885077019,0.772886513957123,2.02359769499673,0.541707386534231,0.943333333333333,0.664688768786745,0.280031184526815,0.943333333333333,0.206794312536077,0.382820541583377,0.0925479468050155,0.0484482824648011,-0.0292992271867499,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,11.2677777777778,0.105555555555556,0.0461456787296147,0.785272211231672,0.15062239639208,0.103249143328909,1,0.141052354286578,0.0996994599250996,1,0.197399998803232,0.178752156981576,0.0361352494425079,0.0249687590295551,-0.0570587120556583,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,10.7044444444444,0.134444444444444,0.0555929215485771,1.18511589009766,0.169492453453296,0.106156963722029,0.99,0.143215142631815,0.100898897443704,0.99,0.364592609908702,0.41318967840656,0.0336351274989728,0.0248285607103986,0.122727050408925,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,6.49222222222222,0.131111111111111,0.0553186962035692,0.854245265689194,0.270981206928472,0.13253359190756,0.994444444444444,0.232710607974367,0.124068699288621,0.994444444444444,0.678672913811396,0.536040895367037,0.0614352901570693,0.0346165266370238,0.166475928248855,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",5,17.7111111111111,0.16,0.0494731736054185,0.850287624248096,0.222027150923002,0.131496196071531,0.996666666666667,0.196920175348885,0.120169374771204,0.996666666666667,0.340302155500314,0.401490915865965,0.0506033958856131,0.0312070399888071,0.00548598058254794,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",6,11.35,0.0733333333333333,0.0494606889370041,0.648279493233658,0.12966602160232,0.0914379571027628,0.994444444444444,0.129217610465875,0.0898371084106294,0.994444444444444,0.49909063970601,0.470111495793759,0.0328808311529733,0.0232433019992789,0.170432457193671,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",7,10.2788888888889,0.147777777777778,0.0472034871191146,0.823174305631986,0.146672808041597,0.108612037437472,1,0.135242419191842,0.102989567977018,1,0.60370771231332,0.582794577180233,0.0448642528833268,0.0310424117915963,0.0719127645759693,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",8,9.13888888888889,0.187777777777778,0.0467254010217166,0.801431177341371,0.213016560903524,0.128523794438744,0.981111111111111,0.194000562634605,0.12020695223131,0.981111111111111,0.583740372224153,0.600934179082052,0.0489154661591539,0.0324242764267001,0.158447123558426,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",9,9.35888888888889,0.113333333333333,0.0508557399152359,0.872755737430909,0.157983874496837,0.102277132708639,1,0.139598062418166,0.0965311572655282,1,0.521655743428875,0.55017227936192,0.0377129751697085,0.0264925591920934,0.0733115437230011,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",10,8.46777777777778,0.0844444444444444,0.0418030505047972,0.657284125303518,0.12222193957074,0.09366660629862,0.996666666666667,0.117121901845162,0.0925359520898636,0.996666666666667,0.661875444257458,0.661966624262715,0.0317668910488771,0.0230266132740543,0.0568685501971657,"stable",TRUE,TRUE
