"scenario_id","rep_id","exposure_group","n_areas","mean_multiplier","mean_count","zero_prop","lambda_rmse","log_lambda_rmse","cor_log_lambda","phi_rmse","phi_mae","phi_cor","fit_status","nonfailed","stable_fit"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"low_exposure",3,0.0315150478623236,2.98,0.333333333333333,0.394306646756763,0.306262235847961,0.657882106376736,0.0917121123485128,0.080084998577871,0.999684890937575,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"low_exposure",3,0.0123756076526874,1.95666666666667,0.293333333333333,0.229398522587613,0.208176477768326,-0.00973172611643508,0.104884094620239,0.0914168084916932,0.982537116883771,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"low_exposure",3,0.0131694290901779,1.58666666666667,0.33,0.263741279029294,0.212444985461562,0.320439105849456,0.102617950650399,0.09733541074106,0.999949658762792,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"low_exposure",3,0.025417620598098,5.19666666666667,0.0533333333333333,0.109457276807406,0.106448977519929,0.313588410097759,0.0320694462267628,0.0249312488906727,0.991844026362908,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"low_exposure",3,0.00942658779766838,1.39,0.44,0.366114506978697,0.318622657972865,0.47217831687076,0.182428083914309,0.153808057314161,0.974344815974679,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"low_exposure",3,0.0332325503546135,3.29,0.206666666666667,0.188389498129383,0.178668886703964,0.536345923703793,0.0441965576571009,0.0410846864141582,0.999996809999652,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",7,"low_exposure",3,0.0248010855930132,1.37333333333333,0.36,0.205289695686358,0.187453559893234,0.511862187640347,0.0734873936540326,0.0470002808011637,0.994675820569277,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"low_exposure",3,0.0120611647307552,1.34,0.43,0.322706079736342,0.281658917240777,0.676976856562455,0.115308697772119,0.0993920547737004,0.997789419414084,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"low_exposure",3,0.0248909590482418,2.13,0.3,0.244633382300583,0.210141971305578,0.57205323571273,0.231030327910926,0.158410894372528,0.806693488111724,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"low_exposure",3,0.0210851741349249,3.45,0.17,0.141417186928539,0.135268872110697,0.494909800309647,0.0623836046891767,0.0605508243171802,0.999506631355609,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"middle_exposure",3,0.0449674129697634,5.36333333333333,0.336666666666667,3.48210809804581,1.00775679475734,0.288191473889675,0.477018949898097,0.348632778372509,0.99992863313444,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"middle_exposure",3,0.0604765984853016,12.7466666666667,0.02,0.093638401986894,0.0909118413432059,0.365071841497869,0.0231753810398892,0.0214644119828598,0.97813931399615,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"middle_exposure",3,0.0207135445816725,5.49666666666667,0.0733333333333333,0.111365068412006,0.10959686168614,0.265324878740243,0.0342585341999395,0.0310990245177859,0.999453998135793,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"middle_exposure",3,0.0417858515652337,2.77333333333333,0.336666666666667,0.447160487999222,0.346395511232792,0.593746158685983,0.0841355596334442,0.0697716960208457,0.999504139067511,"soft_warning",TRUE,FALSE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"middle_exposure",3,0.0411012718718504,8.47333333333333,0.0333333333333333,0.089059965373135,0.0874581810628628,0.258509706083772,0.0543828271116336,0.0444453259739318,0.998500769186885,"stable",TRUE,TRUE
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"middle_exposure",3,0.0313353706128136,8.96,0.00666666666666667,0.0817659211117907,0.0842661652292152,0.351751592582668,0.0148711029571852,0.013128587791656,0.998255036325945,"stable",TRUE,TRUE
