"scenario_id","rep_id","TT_short","TT_ratio_to_reference","n_cells","lambda_rmse","log_lambda_rmse","cor_log_lambda","cor_delta_log_lambda","lambda_coverage_95","log_lambda_sd_truth","delta_log_lambda_sd_truth","lambda_raw_median","lambda_raw_max","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30",1,30,0.3,270,0.0609476859291578,0.0592037607110127,0.53816899494196,0.204647749320923,0.933333333333333,0.783455416687845,0.0317773974552846,1.15915838824795,1.6764080203374,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",2,30,0.3,270,0.0619150375392805,0.0574910443533582,0.676544857493234,0.21779662836791,0.925925925925926,0.24982907792684,0.0242140521654901,1.09984462867002,1.46782368284897,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",3,30,0.3,270,0.0563653352270331,0.055961277992262,0.296169592573767,0.177593231686217,0.885185185185185,0.710587429283607,0.0295634649007884,1.15806400181371,1.48111159902648,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",4,30,0.3,270,0.0372243627782629,0.0372557245308174,0.743297607222169,0.105986705196875,0.981481481481482,0.178536096857874,0.0207700080284375,1.16964854452715,1.76440566497658,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",5,30,0.3,270,0.0473721347540684,0.0474121093887374,0.544502972278757,0.319352877286591,0.87037037037037,0.28100201469946,0.0191124518495788,1.12730488787573,1.72820267916691,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",6,30,0.3,270,0.050286764153192,0.0499665474180783,0.197006588854379,-0.136223504868635,0.911111111111111,0.491591588762102,0.028138181132065,1.11889415784242,1.53517883088016,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",7,30,0.3,270,0.0479280172539637,0.0484934961972966,0.660276486472999,0.202140325673141,0.97037037037037,0.535657089658513,0.0256668194888008,1.21965176016873,1.41801855500315,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",8,30,0.3,270,0.0404720429661539,0.0403684948323675,0.573893475565971,0.127987829943759,0.966666666666667,0.249794832931519,0.0242465844564361,1.04205917288938,1.43195166114828,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",9,30,0.3,270,0.0389891004739978,0.0390214514413627,0.151312877183347,0.0322883288975406,0.97037037037037,0.274075429730592,0.0245875258191097,1.17070317286083,1.37728195715608,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",10,30,0.3,270,0.0676156134871117,0.0676430353061276,0.406990199982466,0.0802635356450673,0.922222222222222,1.17051815840808,0.0354846709958839,1.06154037078704,1.36418600003538,"stable",TRUE,TRUE
