"scenario_id","rep_id","TT_short","TT_reference","TT_ratio_to_reference","n_cells","mean_count","median_count","zero_prop","total_count","max_count","count_cv","variance_to_mean","q95_count","q99_count","beta0_star_ident","phi_ident_sd","log_lambda_sd_truth","delta_log_lambda_sd_truth","delta_log_lambda_abs_mean_truth","lambda_raw_median","lambda_raw_max","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30",1,30,100,0.3,270,180.192592592593,115,0,48652,1427,1.16270373107397,243.598755993175,523.75,1054.32,-1.68655237120595,0.808102909130279,0.783455416687845,0.0317773974552846,0.0211471105533957,1.15915838824795,1.6764080203374,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",2,30,100,0.3,270,208.085185185185,159.5,0,56183,984,0.826335393309712,142.086844920678,532,791.29,-1.48067932076567,0.295666406030626,0.24982907792684,0.0242140521654901,0.0169814527859018,1.09984462867002,1.46782368284897,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",3,30,100,0.3,270,177.937037037037,134.5,0,48043,1574,0.976533932140737,169.684054023166,441.649999999999,859.1,-1.66396785523235,0.597131436434456,0.710587429283607,0.0295634649007884,0.0205786279654215,1.15806400181371,1.48111159902648,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",4,30,100,0.3,270,222.97037037037,142.5,0,60202,1749,1.01217607439235,228.433234875054,652.849999999999,1019.1,-1.36802829840638,0.192035261527271,0.178536096857874,0.0207700080284375,0.015352748731856,1.16964854452715,1.76440566497658,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",5,30,100,0.3,270,243.203703703704,194.5,0,65665,1246,0.705014215350764,120.883195571076,539.099999999999,862.41,-1.4433484133027,0.332800612075615,0.28100201469946,0.0191124518495788,0.0140539244906553,1.12730488787573,1.72820267916691,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",6,30,100,0.3,270,224.011111111111,139,0,60483,1532,1.108182103754,275.100782013343,714.099999999998,1263.65,-1.6194029214327,0.48490205134367,0.491591588762102,0.028138181132065,0.0185791104174602,1.11889415784242,1.53517883088016,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",7,30,100,0.3,270,225.648148148148,106,0,60925,1709,1.34499233197214,408.198486773762,846.699999999999,1499.37,-1.52466887246553,0.869793960540378,0.535657089658513,0.0256668194888008,0.0185329073032249,1.21965176016873,1.41801855500315,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",8,30,100,0.3,270,188.488888888889,119.5,0,50892,1655,1.0916775783537,224.63350598556,574.349999999999,1097.34,-1.49283208386163,0.459285650051751,0.249794832931519,0.0242465844564361,0.0179450087034462,1.04205917288938,1.43195166114828,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",9,30,100,0.3,270,220.840740740741,153.5,0,59627,1482,0.894326709455162,176.632899394457,577.549999999999,912.38,-1.4569179028339,0.422165250800413,0.274075429730592,0.0245875258191097,0.0176034394440352,1.17070317286083,1.37728195715608,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30",10,30,100,0.3,270,157.896296296296,106.5,0,42632,907,0.994904296423587,156.291210818827,471.599999999999,700.42,-2.08327041168101,1.24513338718104,1.17051815840808,0.0354846709958839,0.0231839907697594,1.06154037078704,1.36418600003538,"stable",TRUE,TRUE
