"scenario_id","rep_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","abs_bias","covered","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",1,"beta0",-1.63700651766786,-1.64743373416273,0.0174698076417555,-1.68126277819707,-1.6473632747501,-1.61348087882204,-0.01042721649487,0.01042721649487,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",2,"beta0",-1.6790670388564,-1.70127497169195,0.0180362081313373,-1.73661895598261,-1.70151549975344,-1.66611808197304,-0.02220793283555,0.02220793283555,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",3,"beta0",-1.33085390067906,-1.32867887362088,0.0190622298444435,-1.36554051122468,-1.32856914118225,-1.29139009836022,0.00217502705817996,0.00217502705817996,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",4,"beta0",-1.63172232835732,-1.65335719424668,0.0179126550418532,-1.6875882125823,-1.65357577405338,-1.61807581192063,-0.0216348658893601,0.0216348658893601,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",5,"beta0",-1.70345106821141,-1.68445212368353,0.0167472287152279,-1.71770494266659,-1.68426010525738,-1.65168356162524,0.01899894452788,0.01899894452788,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",6,"beta0",-1.72461652830535,-1.70551585182396,0.0192376167006094,-1.74352398627941,-1.70605756894616,-1.6677386410847,0.0191006764813901,0.0191006764813901,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",7,"beta0",-2.1018943609622,-2.10392275295112,0.0272922865342969,-2.15795688170013,-2.1037084284168,-2.05218000872922,-0.00202839198892013,0.00202839198892013,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",8,"beta0",-1.88232533320233,-1.89514076692636,0.0188854692778106,-1.93293374870564,-1.89435656314016,-1.85997532216707,-0.01281543372403,0.01281543372403,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",9,"beta0",-1.92197728162427,-1.88590268030152,0.0205252250264129,-1.92514309518324,-1.8858785000892,-1.84408070920527,0.03607460132275,0.03607460132275,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",10,"beta0",-1.50644081119884,-1.49988371157702,0.0172429704185928,-1.53405461821157,-1.5000143255971,-1.46657238446518,0.00655709962182005,0.00655709962182005,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",1,"beta1",0.5,0.481651804610273,0.0191673316149491,0.444751287274154,0.481348872304488,0.518554215588103,-0.018348195389727,0.018348195389727,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",2,"beta1",0.5,0.501935962126676,0.0207336585085527,0.463160664984791,0.50188634498668,0.542800069265288,0.00193596212667602,0.00193596212667602,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",3,"beta1",0.5,0.51324614092966,0.020129321826704,0.474155863070838,0.513476210818086,0.553312893916905,0.01324614092966,0.01324614092966,1,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",4,"beta1",0.5,0.508573481461621,0.0202751453762867,0.468959193932931,0.508388315583848,0.547967920836534,0.00857348146162096,0.00857348146162096,1,"stable",TRUE,TRUE
