"scenario_id","rep_id","TT_short","TT_ratio_to_reference","n_cells","lambda_rmse","log_lambda_rmse","cor_log_lambda","cor_delta_log_lambda","lambda_coverage_95","log_lambda_sd_truth","delta_log_lambda_sd_truth","lambda_raw_median","lambda_raw_max","x2_mode","mean_x2_within_sd","min_x2_within_sd","mean_lag1_x2","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",1,30,0.3,270,0.0538550574838432,0.0537333860773421,0.240187892084957,0.0354818168634324,0.896296296296296,0.592532733841533,0.0267556729114781,1.15579170525834,1.54581972091587,"continuous_time",0.968441280201895,0.865316599167168,0.303608846639784,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",2,30,0.3,270,0.0484894150294816,0.0495072375391188,0.476178556050541,0.0595216350608243,0.914814814814815,0.892287830398588,0.0252158269116023,1.15441667551447,1.46329080958384,"continuous_time",0.958917218673873,0.587157969043721,0.410217829299142,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",3,30,0.3,270,0.0473177740806931,0.0456399215427255,0.349142588072636,0.12655201593205,0.922222222222222,0.160332593024325,0.0264801129135252,1.23030934030739,1.5366191415799,"continuous_time",0.96379624528203,0.697592624807334,0.446425895466591,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",4,30,0.3,270,0.0446629017593191,0.0447212281030099,0.378066815452133,0.199213667204688,0.922222222222222,0.361995432744799,0.0223876250385366,1.00548799377866,1.36693790726157,"continuous_time",0.968165353613314,0.873932828292156,0.473990032952982,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",5,30,0.3,270,0.0392671300712134,0.0391397246199426,0.516217526719263,0.0803270600122599,0.948148148148148,0.727582492150668,0.0231554982899326,1.19401933518972,1.49840795940893,"continuous_time",0.972350709642739,0.715171004215336,0.439842875894594,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",6,30,0.3,270,0.0351995057310146,0.0351607718541321,0.7553549054667,0.314879376721644,0.988888888888889,0.684846542560025,0.0256181926281951,1.14645581603112,1.41831279764585,"continuous_time",0.941697919634106,0.643721521049692,0.402199639356612,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",7,30,0.3,270,0.104560885128928,0.0987274268593502,0.968812211902023,0.510239115591029,0.966666666666667,1.70857355343357,0.0924759769171921,1.08496925793598,1.61249271121549,"continuous_time",0.998960164476897,0.850086928257052,0.421547404153151,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",8,30,0.3,270,0.0660819716520878,0.0666129719019681,0.725387078637081,0.456223434654295,0.914814814814815,1.0711736668757,0.0369355547475352,1.11646022880431,1.5956910911692,"continuous_time",0.969529245133164,0.759339554174127,0.419847034165247,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",9,30,0.3,270,0.063642818183935,0.0624024649376209,0.57714872303519,0.427749289717419,0.911111111111111,0.937786161426675,0.041911702905317,1.05533381873618,1.44601292465453,"continuous_time",0.951633534843582,0.829312516290793,0.484134796555879,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",10,30,0.3,270,0.0387686984456597,0.0392147031765955,0.336490244782878,0.0997302631648331,0.948148148148148,0.384645777171416,0.0221446428185784,1.17589417838648,1.42856130423437,"continuous_time",0.968355849890112,0.731966498587249,0.42427969453568,"stable",TRUE,TRUE
