"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","TT_short","TT_reference","TT_ratio_to_reference","n_cells","observed_mean_count","observed_median_count","observed_zero_prop","observed_total_count","observed_max_count","count_sd","count_cv","variance_to_mean","q95_count","q99_count","kappa_truth_cv","x2_mode","mean_x2_within_sd","min_x2_within_sd","mean_lag1_x2","beta0_star_ident","phi_ident_sd","lambda_raw_min","lambda_raw_median","lambda_raw_max","log_lambda_sd_truth","delta_log_lambda_sd_truth","delta_log_lambda_abs_mean_truth","r_region_coverage_95","r_region_rmse","r_region_mae","r_region_mean_sd","kappa_rmse","log_kappa_rmse","cor_kappa","cor_log_kappa","kappa_post_mean_cv","s4d_beta_guard_count","s4d_kappa_guard_count","s4d_lambda_input_guard_count","s4d_lambda_output_guard_count","median_count","total_count","max_count","kappa_cv_bias","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",1,30,9,169.977777777778,0.0037037037037037,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.864702195533005,1.25130654036288,-1.63700651766786,-1.64743373416273,0.0174698076417555,-1.68126277819707,-1.6473632747501,-1.61348087882204,-0.0104272164948698,1,0.5,0.481651804610273,0.0191673316149491,0.444751287274154,0.481348872304488,0.518554215588103,-0.0183481953897272,1,-0.4,-0.429027503066785,0.0181594206788036,-0.463725473594882,-0.428842548017239,-0.393414305092568,-0.0290275030667854,1,0.0553116296631551,0.997755413022699,1.09942918966352e-15,15,18.0871635668206,3.08716356682059,8.98157516018224,17.2458868506909,31.8841101510111,0.378274015004001,-1017.58035046756,-1300.51803842916,0.2777,0.306872222222222,13.300675,116.819000000134,0.0538550574838432,0.0378518477280177,0.896296296296296,0.0537333860773421,0.037918820674415,0.896296296296296,0.259436563924699,0.240187892084957,0.0271744051099126,0.0193592639890129,0.0354818168634324,0.864702195533005,1.25130654036288,0.873051053603782,1.13823890279032,"short_time_series",30,100,0.3,270,169.977777777778,125,0.0037037037037037,45894,1067,155.49799920618,0.914813696467264,142.251699447069,493,699.82,0.252439057783023,"continuous_time",0.968441280201895,0.865316599167168,0.303608846639784,-1.63700651766786,0.873892033610516,0.180977546015788,1.15579170525834,1.54581972091587,0.592532733841533,0.0267556729114781,0.0194327900839301,1,5.75439170569013,4.56222212891397,5.9045506767061,0.127564340305563,0.130079567900871,0.860388491286608,0.863385296929166,0.212370161074034,0,0,0,0,125,45894,1067,-0.040068896708989,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",2,30,9,180.344444444444,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.728423529026503,1.18891145551058,-1.6790670388564,-1.70127497169195,0.0180362081313373,-1.73661895598261,-1.70151549975344,-1.66611808197304,-0.0222079328355527,1,0.5,0.501935962126676,0.0207336585085527,0.463160664984791,0.50188634498668,0.542800069265288,0.00193596212667557,1,-0.4,-0.41502787408627,0.0190085961047204,-0.452712360792819,-0.41498819132867,-0.378304119569394,-0.0150278740862701,1,0.0305101592603797,0.99929615228091,-2.52884133386841e-16,15,14.9031528182697,-0.0968471817303467,7.73643363852988,14.3297176401555,25.5068313553527,0.387516759809284,-1030.75865351131,-1340.06658784236,0.254775,0.308188888888889,13.253675,116.674999999814,0.0484894150294816,0.0355528533878232,0.914814814814815,0.0495072375391188,0.0358717449524381,0.914814814814815,0.470945726265688,0.476178556050541,0.0252838115842664,0.0183604407795593,0.0595216350608243,0.728423529026503,1.18891145551058,0.910617633629609,1.06746794463419,"short_time_series",30,100,0.3,270,180.344444444444,121,0,48693,1005,174.853980149797,0.969555678238045,169.530669316758,542.5,839.23,0.250360383303607,"continuous_time",0.958917218673873,0.587157969043721,0.410217829299142,-1.6790670388564,0.820440636324468,0.0499555340611998,1.15441667551447,1.46329080958384,0.892287830398588,0.0252158269116023,0.0182858031622155,1,3.00830158629112,2.61616634890344,4.54910512111544,0.107905134527294,0.116564050326593,0.90471054866576,0.900706129118684,0.23162245950188,0,0,0,0,121,48693,1005,-0.018737923801727,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",3,30,9,262.07037037037,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.832827579594226,1.41821367161258,-1.33085390067906,-1.32867887362088,0.0190622298444435,-1.36554051122468,-1.32856914118225,-1.29139009836022,0.00217502705818018,1,0.5,0.51324614092966,0.020129321826704,0.474155863070838,0.513476210818086,0.553312893916905,0.0132461409296605,1,-0.4,-0.404365186044508,0.019935367619183,-0.442708416890927,-0.404331828860393,-0.364156744771768,-0.00436518604450764,1,0.0315354860387571,0.996228336284081,6.45702627169145e-17,15,13.3158204587267,-1.68417954127331,7.15050421277298,12.9088182433098,21.8590290491845,2.86228281563564,-1081.85630250395,-1454.42425077099,0.28095,0.315736111111111,13.199175,116.680999999866,0.0473177740806931,0.0320132229855638,0.922222222222222,0.0456399215427255,0.0319001436537012,0.922222222222222,0.327352635009151,0.349142588072636,0.0262232770374592,0.0167947822743961,0.12655201593205,0.832827579594226,1.41821367161258,0.905875701230964,1.04531785002198,"short_time_series",30,100,0.3,270,262.07037037037,178.5,0,70759,1969,298.223984976856,1.13795384253241,339.365129639741,799.349999999999,1745.24,0.271066544292323,"continuous_time",0.96379624528203,0.697592624807334,0.446425895466591,-1.33085390067906,0.378149887868421,0.794597914585854,1.23030934030739,1.5366191415799,0.160332593024325,0.0264801129135252,0.0169643447830762,0.777777777777778,4.57346882844269,3.6881705271603,3.76742428483457,0.0878840567738843,0.0933540567520257,0.946419104677746,0.944066142690412,0.265922017080002,0,0,0,0,178.5,70759,1969,-0.005144527212321,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",4,30,9,154.296296296296,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.883253305959705,1.14307717221333,-1.63172232835732,-1.65335719424668,0.0179126550418532,-1.6875882125823,-1.65357577405338,-1.61807581192063,-0.0216348658893593,1,0.5,0.508573481461621,0.0202751453762867,0.468959193932931,0.508388315583848,0.547967920836534,0.00857348146162085,1,-0.4,-0.431159121617993,0.0190329392636102,-0.468318153624525,-0.430965112864362,-0.393818169776792,-0.0311591216179928,1,0.0590316590254094,0.990476199106098,7.40148683083438e-17,15,15.0267552726864,0.0267552726864384,7.76368163783016,14.4430134932594,25.5972703444271,1.74582744647311,-1021.48268089121,-1323.1462704689,0.2597,0.305983333333333,13.22345,118.546999999788,0.0446629017593191,0.0355747461138196,0.922222222222222,0.0447212281030099,0.0355719477086702,0.922222222222222,0.388445388681393,0.378066815452133,0.0219016649140994,0.0167495480574387,0.199213667204688,0.883253305959705,1.14307717221333,0.960983324716378,1.07682398646085,"short_time_series",30,100,0.3,270,154.296296296296,109.5,0,41660,974,134.021807806208,0.868600290630731,116.411381211328,373.55,649.24,0.265057240895276,"continuous_time",0.968165353613314,0.873932828292156,0.473990032952982,-1.63172232835732,0.453344854329916,0.386147058165817,1.00548799377866,1.36693790726157,0.361995432744799,0.0223876250385366,0.0169054634687198,1,3.4232601114874,2.87832785557168,4.60257545872374,0.117822490166616,0.123021024671273,0.894214574059565,0.897443791818558,0.23757016957139,0,0,0,0,109.5,41660,974,-0.027487071323886,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",5,30,9,272.874074074074,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.809756386766894,1.17455500468238,-1.70345106821141,-1.68445212368353,0.0167472287152279,-1.71770494266659,-1.68426010525738,-1.65168356162524,0.0189989445278802,1,0.5,0.511885862090935,0.0184020501447881,0.475227302971677,0.511720421341647,0.548804497579833,0.0118858620909346,1,-0.4,-0.39455535889481,0.0173933148831313,-0.428139722643079,-0.394486609548012,-0.359861065276666,0.00544464110518983,1,0.0440609076819115,0.998680142498567,2.28212510617393e-16,15,18.5823440967628,3.58234409676284,9.49217751595622,17.7684901587155,32.2718730572553,0.426262013393122,-1061.87703474584,-1382.46561509784,0.28325,0.304208333333333,13.3358,119.768999999855,0.0392671300712134,0.028792249165603,0.948148148148148,0.0391397246199426,0.0287701424974333,0.948148148148148,0.505287577851775,0.516217526719263,0.0232971215662664,0.0166959397181978,0.0803270600122599,0.809756386766894,1.17455500468238,0.906325755622225,1.09685244810193,"short_time_series",30,100,0.3,270,272.874074074074,178,0,73676,1602,291.360759009176,1.06774804458002,311.099880699399,890.549999999999,1391.27,0.247073328516541,"continuous_time",0.972350709642739,0.715171004215336,0.439842875894594,-1.70345106821141,0.909886430433807,0.152307676588216,1.19401933518972,1.49840795940893,0.727582492150668,0.0231554982899326,0.0168058095916326,1,6.5297716263739,4.9240786850034,5.90819327895732,0.103875703511391,0.101211324595889,0.917133316377559,0.912534694419378,0.221079411995427,0,0,0,0,178,73676,1602,-0.025993916521114,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",6,30,9,217.725925925926,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.811414111282715,1.21134395649431,-1.72461652830535,-1.70551585182396,0.0192376167006094,-1.74352398627941,-1.70605756894616,-1.6677386410847,0.0191006764813944,1,0.5,0.525491958537676,0.0224040054495016,0.482547203529752,0.525055234357039,0.570299225288634,0.0254919585376756,1,-0.4,-0.398929767415534,0.0197311956918592,-0.438652399553363,-0.398757798293363,-0.359809640178005,0.00107023258446592,1,0.0320587281039806,0.999363688464019,4.18261104763297e-16,15,13.9916409458621,-1.00835905413788,7.40521436276056,13.4616293179869,23.6009102764776,0.324373488485633,-1033.22236823201,-1361.04088678058,0.254575,0.307566666666667,13.13215,117.304000000004,0.0351995057310146,0.0268631363271553,0.988888888888889,0.0351607718541321,0.0268068844208101,0.988888888888889,0.755183821096142,0.7553549054667,0.0245799150797591,0.017929763727039,0.314879376721644,0.811414111282715,1.21134395649431,0.939859143422151,1.09689654452042,"short_time_series",30,100,0.3,270,217.725925925926,136.5,0,58786,2286,265.679179581115,1.22024595119418,324.193943200447,739.899999999996,1202.37,0.263673544911266,"continuous_time",0.941697919634106,0.643721521049692,0.402199639356612,-1.72461652830535,0.845580497966404,0.194613223850334,1.14645581603112,1.41831279764585,0.684846542560025,0.0256181926281951,0.0181155172611987,0.888888888888889,4.32670058248895,3.75227486808974,4.18115391421611,0.113265201287716,0.107397657710382,0.90731783453393,0.921029371833286,0.247813209324133,0,0,0,0,136.5,58786,2286,-0.015860335587133,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",7,30,9,131.248148148148,0.037037037037037,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.0844162119746356,3.51526278016612,-2.1018943609622,-2.10392275295112,0.0272922865342969,-2.15795688170013,-2.1037084284168,-2.05218000872922,-0.0020283919889259,1,0.5,0.53114179467501,0.0216899172582205,0.488434073856785,0.531005048476652,0.573951445938308,0.0311417946750103,1,-0.4,-0.395969086056655,0.0200275103140333,-0.436096942160159,-0.395673295474751,-0.355887015170373,0.00403091394334493,1,0.0879853401680914,0.99923577584233,3.39234813079909e-17,15,15.4416801861197,0.441680186119708,7.33167329842154,14.5732337985305,28.4118248695922,0.126341479590149,-941.916736711708,-1205.21051632128,0.251375,0.30545,13.14765,119.229999999981,0.104560885128928,0.0527297972511757,0.966666666666667,0.0987274268593502,0.0504958934065677,0.966666666666667,0.965697883188599,0.968812211902023,0.0805231451701845,0.0374239623414726,0.510239115591029,0.0844162119746356,3.51526278016612,0.259960982988713,2.5943836559033,"short_time_series",30,100,0.3,270,131.248148148148,89,0.037037037037037,35437,773,127.362760515288,0.970396628922533,123.592393454303,385.65,573.96,0.271819605720266,"continuous_time",0.998960164476897,0.850086928257052,0.421547404153151,-2.1018943609622,1.77775899793108,0.000433644727638038,1.08496925793598,1.61249271121549,1.70857355343357,0.0924759769171921,0.0395310935324325,0.888888888888889,3.81941226461747,2.8471049259952,5.4935955599865,0.152563073894972,0.154072519137526,0.822915885480548,0.843868099589903,0.220866331075748,0,0,0,0,89,35437,773,-0.050953274644518,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",8,30,9,139.237037037037,0.00740740740740741,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.66034378115103,1.3745136880081,-1.88232533320233,-1.89514076692636,0.0188854692778106,-1.93293374870564,-1.89435656314016,-1.85997532216707,-0.0128154337240363,1,0.5,0.539286555855199,0.0210929045947512,0.497261129077289,0.539479673649782,0.579654670981557,0.0392865558551989,1,-0.4,-0.380399023130937,0.0192084953367958,-0.418054770955489,-0.380301806079438,-0.343347071382077,0.0196009768690635,1,0.0490658432397348,0.998706858094094,6.26042427774741e-16,15,16.0278709839556,1.02787098395557,7.95110700563942,15.2299855804179,28.6492244490939,0.148620599115987,-983.615405751202,-1254.02354987098,0.245825,0.306305555555556,13.20885,119.296000000089,0.0660819716520878,0.0435605132172097,0.914814814814815,0.0666129719019681,0.0437880058889823,0.914814814814815,0.715379857580342,0.725387078637081,0.0339805992229781,0.0216775207178279,0.456223434654295,0.66034378115103,1.3745136880081,0.894255788361098,1.24248595751475,"short_time_series",30,100,0.3,270,139.237037037037,102,0.00740740740740741,37594,960,138.193749416554,0.992507111306846,137.158279034086,425.099999999999,621.8,0.237821934796557,"continuous_time",0.969529245133164,0.759339554174127,0.419847034165247,-1.88232533320233,1.00568474774232,0.0284476793136075,1.11646022880431,1.5956910911692,1.0711736668757,0.0369355547475352,0.0230978836654603,1,3.30858512167719,2.76650661729534,5.35371578516065,0.130679776390069,0.135168498249819,0.838037769708035,0.842701142235347,0.220560478132218,0,0,0,0,102,37594,960,-0.017261456664339,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",9,30,9,237.322222222222,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.61657955884332,1.40049314082075,-1.92197728162427,-1.88590268030152,0.0205252250264129,-1.92514309518324,-1.8858785000892,-1.84408070920527,0.0360746013227486,1,0.5,0.459007192473072,0.0223519221630444,0.415756147701256,0.458660772458467,0.503571768746392,-0.0409928075269282,1,-0.4,-0.423214582250394,0.020713383623554,-0.46318828878263,-0.42341108675177,-0.382613810895014,-0.0232145822503938,1,0.0566502307838668,0.999079844109655,-4.62592926927149e-17,15,14.5056852483973,-0.49431475160269,7.26149234105895,13.8087840268298,25.6028223041077,0.215841475028929,-1000.16167752621,-1305.85202588631,0.23805,0.309080555555556,13.13355,118.06100000022,0.063642818183935,0.0419372056568656,0.911111111111111,0.0624024649376209,0.0414817773522427,0.911111111111111,0.564467080065927,0.57714872303519,0.0384079791633869,0.0235893580563565,0.427749289717419,0.61657955884332,1.40049314082075,0.876534173928841,1.09702939123148,"short_time_series",30,100,0.3,270,237.322222222222,98,0,64077,1944,312.789565273112,1.31799526544221,412.255166109687,873.3,1337.91,0.286164695884746,"continuous_time",0.951633534843582,0.829312516290793,0.484134796555879,-1.92197728162427,1.09874161411444,0.0420420358730587,1.05533381873618,1.44601292465453,0.937786161426675,0.041911702905317,0.0247601795101572,0.888888888888889,4.93270440116957,4.08170778242646,4.76367924375314,0.143900478941868,0.148850216485193,0.869485310884655,0.850892177976267,0.248227826835608,0,0,0,0,98,64077,1944,-0.037936869049138,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",10,30,9,256.574074074074,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.854361708993345,1.11990885571258,-1.50644081119884,-1.49988371157702,0.0172429704185928,-1.53405461821157,-1.5000143255971,-1.46657238446518,0.00655709962181517,1,0.5,0.492591987112514,0.0189708495500466,0.456239443318837,0.492171550007041,0.530778047072573,-0.00740801288748627,1,-0.4,-0.382300654352565,0.0183405701676627,-0.41826201602885,-0.382578286482045,-0.346740316583322,0.0176993456474351,1,0.043435598580543,0.997216329646304,-3.1302121388737e-16,15,15.4677067701584,0.467706770158438,8.2239690053313,14.9417789815076,25.7828054664963,1.01144927296163,-1063.20334722351,-1396.27157983797,0.242625,0.303363888888889,13.28825,118.021999999881,0.0387686984456597,0.0306357107850248,0.948148148148148,0.0392147031765955,0.0308167396260675,0.948148148148148,0.34550711614209,0.336490244782878,0.0220392746804121,0.0161275958774705,0.0997302631648331,0.854361708993345,1.11990885571258,0.922193599394197,1.07332019573178,"short_time_series",30,100,0.3,270,256.574074074074,149,0,69275,2079,297.766169197671,1.16054659954343,345.571515121432,822.949999999999,1365.64,0.249437070117007,"continuous_time",0.968355849890112,0.731966498587249,0.42427969453568,-1.50644081119884,0.599587948250454,0.363899355111019,1.17589417838648,1.42856130423437,0.384645777171416,0.0221446428185784,0.0162976272529906,1,1.75012347255691,1.51731008983752,4.48607627338388,0.104122577070773,0.103225142972479,0.908858919157813,0.912971270083902,0.229750295213579,0,0,0,0,149,69275,2079,-0.019686774903428,"stable",TRUE,TRUE
