"scenario_id","rep_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","covered","fit_status","nonfailed","stable_fit"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"beta0",-1.99632149193617,-1.99780409313584,0.0111799665675908,-2.02065796122348,-1.99828469136418,-1.97557343389906,-0.00148260119967469,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"beta0",-1.33184447569743,-1.33227818266057,0.00878919526855233,-1.34867159462698,-1.33228977314129,-1.31495114669926,-0.000433706963138158,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"beta0",-1.43851204127288,-1.44024268814869,0.0090054029244013,-1.45798726118104,-1.44017259231554,-1.42267109954184,-0.00173064687580515,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"beta0",-1.88130591428129,-1.88976474767785,0.0102654517033523,-1.90967682800561,-1.88979162772731,-1.86964001659927,-0.00845883339656006,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"beta0",-1.38547448133322,-1.38099829821734,0.0090668106201106,-1.39872361399607,-1.381022699441,-1.36330411906424,0.00447618311588416,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"beta0",-1.52084679461396,-1.52751868522126,0.00938577547250385,-1.54575725136873,-1.52750283841521,-1.50890320558823,-0.00667189060730489,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",7,"beta0",-1.4686767948915,-1.45220449604395,0.00938786138346387,-1.46984218708583,-1.45230331192458,-1.43369331315223,0.0164722988475474,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"beta0",-1.63654057040218,-1.63647567156982,0.00975870565960499,-1.65552838320926,-1.63645920660396,-1.61717382061251,6.48988323581623e-05,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"beta0",-1.49566118427602,-1.50168677287748,0.00937035818450983,-1.52043128005703,-1.5017569235266,-1.48321240798196,-0.00602558860145219,1,"stable",TRUE,TRUE
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"beta0",-1.49351908244808,-1.50032388897337,0.00923020163170398,-1.51839065672037,-1.50017773111707,-1.48223946417247,-0.00680480652528281,1,"stable",TRUE,TRUE
