symbol,r_name,type,dimension,support,role,description
β₀,beta0,scalar,1,"(-∞, ∞)",regression,"Global intercept in the log-linear predictor"
β,beta,vector,"p = 2","(-∞, ∞)",regression,"Regression coefficients for covariates x1 (continuous) and x2 (binary)"
φ,phi,vector,n1 = 9,"(-∞, ∞); Σφ = 0",spatial,"ICAR spatial random effect at coarsest level; sum-to-zero constrained"
τ_φ,tau_phi,scalar,1,"(0, ∞)",spatial,"ICAR precision; larger → stronger spatial smoothing"
r,r (or r_1j),vector,n1 = 9,"(0, ∞)",overdispersion,"Negative binomial size parameter; smaller → more overdispersion; r → ∞ gives Poisson"
κ,kappa,matrix,"T × n1","(0, ∞)",overdispersion,"NB random effect; κ ~ Ga(r, r) so E(κ) = 1; iid across time"
λ̃,lambda_tilde,matrix,"T × n1","(0, ∞)",dynamic,"Residual risk process; evolves via Beta-discounted Gamma"
γ,gamma (or gamma_j),vector,n1 = 9,"(0, 1)",dynamic,"Coarse-level discount factor; smaller → faster adaptation (shorter memory)"
ω,omega,array,"T × n1 × K","simplex ΔK-1",splitting,"Split proportions at each internal node; rows sum to 1"
δ,delta (or delta_lj),scalar,1,"(0, 1)",splitting,"Dirichlet discount factor; smaller → faster split-proportion adaptation"
ξ,xi,matrix,"T × n1","(0, ∞)",derived,"Effective offset without λ̃ and κ: ξ = e · exp(β₀ + x'β + φ)"
ψ,psi,matrix,"T × n1","(0, ∞)",derived,"Product λ̃ · κ; the scientifically relevant combined risk multiplier"
μ,mu,matrix,"T × n1","(0, ∞)",derived,"Full Poisson mean: μ = ξ · λ̃ · κ"
e,e,matrix,"T × n1","(0, ∞)",input,"Known exposure (population) at coarsest level"
x₁,x1,matrix,"T × n1","(-∞, ∞)",input,"Continuous covariate; AR(1) across time with ρ = 0.95"
x₂,x2,matrix,"T × n1","{0, 1}",input,"Binary covariate; time-constant within each region"
y_coarse,y_coarse,matrix,"T × n1","{0,1,2,...}",observed,"Observed count at coarsest level (l = 1)"
y_fine,y_fine,array,"T × n1 × K","{0,1,2,...}",observed,"Observed counts at level 2; y_fine[t,j,] sums to y_coarse[t,j]"
a₀,A0,scalar,1,"(0, ∞)",hyperparameter,"Initial Gamma filter shape for λ̃"
b₀,B0,scalar,1,"(0, ∞)",hyperparameter,"Initial Gamma filter rate for λ̃"
c₀,C0,vector,"K = 3","(0, ∞)",hyperparameter,"Initial Dirichlet concentration for ω"
