"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
1,-8.12843470699964,0.526572231342017,-0.430529452658273,1.97754711920912e-10,1.01951882943542,997092.439239947,5.1365547617779e-16,0.0193306663146774,0,0,0,-8.12843470699964,-8.10910404068496,-8.12843470699964,1.01951882943542,997092.439239943,1.81521464526213e-16
2,-7.88073479180756,0.50738907806939,-0.402450916012967,1.4628216487017e-10,1.0371015138366,75885.7396827867,4.6364147089485e-16,0.0364296066086758,0,0,0,-7.88073479180756,-7.84430518519888,-7.88073479180756,1.0371015138366,75885.7396827864,3.9957235051544e-16
3,-7.67823192307193,0.527847539535499,-0.418705140218953,5.26967949006379e-11,1.04488538655551,455443.100638934,3.16105166733552e-18,0.043905489258279,0.0255555555555556,0,0,-7.67823192307193,-7.63432643381365,-7.67823192307193,1.04488538655551,455443.100638933,4.83255410996561e-17
4,-7.55728715480147,0.47640092004664,-0.440654391376551,3.06246803694972e-10,1.02837109744946,87796.434663154,3.74515233640219e-16,0.0279760908506668,0,0,0,-7.55728715480147,-7.52931106395081,-7.55728715480147,1.02837109744946,87796.4346631537,2.88380430646384e-16
5,-7.84589328182965,0.539133807589233,-0.405536802379576,6.2771395350325e-11,1.0652912618738,32237.8145653965,1.70357555223038e-16,0.0632480293384281,0.0177777777777778,0,0,-7.84589328182965,-7.78264525249123,-7.84589328182965,1.0652912618738,32237.8145653965,7.04991620636974e-17
6,-7.7742946848867,0.503736202630318,-0.433257267109448,8.07084768896367e-11,1.04621119059157,935658.736888544,1.467884455961e-16,0.0451747213191585,0.0255555555555556,0,0,-7.7742946848867,-7.72911996356754,-7.7742946848867,1.04621119059157,935658.736888543,1.76299946863523e-16
7,-7.36441156904004,0.525683334502953,-0.410477004820216,1.99923663889352e-09,1.03196524335833,30439.2746378261,7.44466217068091e-17,0.0314649460918161,0,0,0,-7.36441156904004,-7.33294662294823,-7.36441156904004,1.03196524335833,30439.2746378261,1.11839549966754e-16
8,-7.69227969231357,0.508435853238511,-0.388483572496698,2.15222576765091e-11,1.03017021479846,351499.921939352,-1.50065145495167e-16,0.0297236605139624,0.0144444444444444,0,0,-7.69227969231357,-7.66255603179961,-7.69227969231357,1.03017021479846,351499.921939352,6.72571566341497e-17
9,-7.64229191191806,0.508436641232058,-0.386803935488235,2.32471871637649e-10,1.05627220330819,18102.0536422127,-4.31753398465339e-18,0.0547445443581526,0,0,0,-7.64229191191806,-7.58754736755991,-7.64229191191806,1.05627220330819,18102.0536422127,4.93952872431751e-17
10,-7.88531690427524,0.568056037849834,-0.422473939521391,2.12223247717434e-10,1.03412417431626,640847.101138435,4.57303947795948e-16,0.0335540068661276,0,0,0,-7.88531690427524,-7.85176289740911,-7.88531690427524,1.03412417431626,640847.101138433,3.92741394961149e-17
11,-7.34141723180381,0.564507454731372,-0.422125472901386,6.12713747177105e-10,1.04029025249943,12124.8990424619,-7.70988211545248e-17,0.0394995684542693,0,0,0,-7.34141723180381,-7.30191766334954,-7.34141723180381,1.04029025249943,12124.8990424619,5.93352527605223e-17
12,-7.85578509920234,0.547173425155956,-0.387768105736028,1.07255413579519e-10,1.03816039691549,315657.018339235,3.95362754880403e-16,0.0374497554215399,0,0,0,-7.85578509920234,-7.8183353437808,-7.85578509920234,1.03816039691549,315657.018339234,2.76052329143776e-16
13,-7.88825681339133,0.538785012010237,-0.42659812550261,2.03152654498504e-10,1.04146832777274,2516952.87368297,3.11525496756973e-16,0.0406315354715327,0,0,0,-7.88825681339133,-7.8476252779198,-7.88825681339133,1.04146832777274,2516952.87368296,2.24257341092166e-16
14,-7.66422916281638,0.450705376717043,-0.358552674676913,1.72766185879701e-11,1.05049535109974,152591.010426785,4.18939574389457e-16,0.0492616896858747,0.02,0,0,-7.66422916281638,-7.6149674731305,-7.66422916281638,1.05049535109974,152591.010426785,1.29171364962291e-16
15,-7.73339263167518,0.465421551240085,-0.361232661442191,2.0105753626594e-10,1.05994333319859,22223.4557245483,7.21644966006352e-18,0.0582150527408184,0,0,0,-7.73339263167518,-7.67517757893437,-7.73339263167518,1.05994333319859,22223.4557245483,1.25763597067261e-16
16,-7.63602525260531,0.522663813460578,-0.437852229588485,1.8923624361741e-11,1.0242082049912,59086.8750190645,6.3436910045943e-17,0.0239197552642519,0.0122222222222222,0,0,-7.63602525260531,-7.61210549734106,-7.63602525260531,1.0242082049912,59086.8750190645,1.04037149265916e-16
17,-7.93196833599213,0.576639924410562,-0.374703963384394,1.90433578052214e-11,1.04136077956849,210385.038485896,2.62444387210002e-16,0.0405282921214446,0.02,0,0,-7.93196833599213,-7.89144004387068,-7.93196833599213,1.04136077956849,210385.038485895,1.99562588676372e-16
18,-7.99781762219111,0.496602208682097,-0.401681027722325,2.56138251514328e-11,1.02809994188241,347716.580371037,1.99631977615411e-16,0.0277117589583973,0.0177777777777778,0,0,-7.99781762219111,-7.97010586323271,-7.99781762219111,1.02809994188241,347716.580371036,7.41054594232003e-17
