"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
1,-7.87773291029227,0.440606468259132,-0.395565588059874,4.5508041032323e-09,1.04817582956143,702062.1193415,5.79413060740484e-16,0.0470511682177936,0,0,0,-7.87773291029227,-7.83068174207447,-7.87773291029227,1.04817582956143,702062.119341497,2.28636554133743e-16
2,-7.86006096128354,0.449627070781274,-0.397953550939062,1.90130934532664e-09,1.06195144806505,640718.044134755,4.33449572530738e-17,0.0601082000575932,0,0,0,-7.86006096128354,-7.79995276122595,-7.86006096128354,1.06195144806505,640718.044134755,7.16710641452462e-17
3,-7.98235997455387,0.453747105863349,-0.398563287775986,6.13468761903843e-11,1.0506518349206,971487.361381166,8.86944838561653e-17,0.0494106164095256,0.0266666666666667,0,0,-7.98235997455387,-7.93294935814434,-7.98235997455387,1.0506518349206,971487.361381165,7.88566742768479e-17
4,-7.78196114221683,0.495644791856354,-0.410049462949845,6.54959058620131e-09,1.0344785510073,195444.539962672,7.65252059251351e-16,0.033897223675807,0,0,0,-7.78196114221683,-7.74806391854103,-7.78196114221683,1.0344785510073,195444.539962671,7.27967069341023e-17
5,-8.51791332424942,0.482445834861374,-0.426498589202054,1.34782421069689e-09,1.01934283064614,455634.625424924,-4.78382765499595e-16,0.0191560660960008,0,0,0,-8.51791332424942,-8.49875725815342,-8.51791332424942,1.01934283064614,455634.625424926,7.68197234219454e-16
6,-7.94370427600876,0.500675892572261,-0.388368713987206,5.14871124289537e-10,1.02238417754488,1282411.11976932,1.63973772831443e-16,0.022137014010672,0,0,0,-7.94370427600876,-7.92156726199809,-7.94370427600876,1.02238417754488,1282411.11976931,6.7492308038671e-17
7,-7.89298803816563,0.562058315628245,-0.403890774076464,2.64323250915849e-10,1.03696633413985,148995.242630195,1.29587698596525e-16,0.0362992163094871,0,0,0,-7.89298803816563,-7.85668882185615,-7.89298803816563,1.03696633413985,148995.242630195,1.58769843337329e-16
8,-8.10173294282703,0.547188395720129,-0.429756178144171,6.24498671908589e-10,1.05272203412373,344439.212048696,-1.75785312232316e-17,0.0513792069239356,0,0,0,-8.10173294282703,-8.05035373590309,-8.10173294282703,1.05272203412373,344439.212048696,5.63438184997267e-17
9,-7.8709295664169,0.494723071876021,-0.413114275272115,2.53488504964543e-10,1.04673233474099,951451.038316293,-2.40949235872121e-16,0.0456732494242878,0,0,0,-7.8709295664169,-7.82525631699261,-7.8709295664169,1.04673233474099,951451.038316295,1.41622824578747e-16
10,-7.68974131461384,0.528817713369983,-0.425765463370566,8.88240236500233e-12,1.01865369167132,15599.8912676034,1.59131966862939e-16,0.0184815840013984,0.0177777777777778,0,0,-7.68974131461384,-7.67125973061244,-7.68974131461384,1.01865369167132,15599.8912676034,6.02912781428384e-17
11,-7.84777499811578,0.506645629399785,-0.434262341676004,1.2950236421232e-10,1.03489519024867,9823.05818455755,1.85037170770859e-16,0.0343001299058838,0,0,0,-7.84777499811578,-7.81347486820989,-7.84777499811578,1.03489519024867,9823.05818455753,1.57512891618694e-16
12,-7.83433899396481,0.444622917276343,-0.413136991976971,4.44414804722743e-11,1.05852057419376,225488.380407369,-2.90415839524864e-16,0.0568711515975686,0.0255555555555556,0,0,-7.83433899396481,-7.77746784236724,-7.83433899396481,1.05852057419376,225488.380407369,6.48246888267244e-17
13,-7.67665184983586,0.536709174685507,-0.432234355823867,6.69129531165913e-10,1.03105843791748,183164.640989818,-1.10405511893279e-17,0.0305858477059411,0,0,0,-7.67665184983586,-7.64606600212992,-7.67665184983586,1.03105843791748,183164.640989818,1.00203410384007e-16
14,-7.89769952137366,0.545174329269399,-0.391634922131611,2.07363022604477e-10,1.044504777302,950243.354157178,2.76908126058591e-16,0.0435422498311959,0,0,0,-7.89769952137366,-7.85415727154246,-7.89769952137366,1.044504777302,950243.354157175,2.09092002971071e-16
15,-7.24488571598301,0.491368064469401,-0.36073008673914,7.29133492120563e-11,1.0328682429948,6816.82277158898,-1.21014309684142e-16,0.0323389066423507,0.01,0,0,-7.24488571598301,-7.21254680934066,-7.24488571598301,1.0328682429948,6816.82277158898,4.66987559732956e-17
16,-7.75343150770243,0.512360324714908,-0.411011629446865,5.59268587751916e-11,1.0560669204603,681800.278599044,2.31512340162807e-16,0.0545503231544366,0.0255555555555556,0,0,-7.75343150770243,-7.69888118454799,-7.75343150770243,1.0560669204603,681800.278599043,1.19333555382973e-16
17,-7.8485769002138,0.510026229912212,-0.404420616625997,5.19111978200767e-10,1.03602637684267,1116137.93079942,1.38222766565832e-16,0.0353925676471982,0,0,0,-7.8485769002138,-7.8131843325666,-7.8485769002138,1.03602637684267,1116137.93079942,1.57682509025234e-16
18,-8.05008984320079,0.515157872791932,-0.403391426637349,1.22213413106834e-09,1.05582951763017,938493.428101027,3.17878439620106e-16,0.0543267137742531,0,0,0,-8.05008984320079,-7.99576312942654,-8.05008984320079,1.05582951763017,938493.428101024,4.74512404677638e-16
19,-7.93623770372715,0.496852201726719,-0.426416443589175,4.37772526598845e-10,1.02995056902908,3070056.09872236,-7.54026470891252e-18,0.0295108034263971,0,0,0,-7.93623770372715,-7.90672690030075,-7.93623770372715,1.02995056902908,3070056.09872236,5.401543410086e-17
20,-7.81012854015895,0.512467748435432,-0.427445751978691,1.24013542913927e-12,1.07013331242526,44892.6027240103,1.92808731943236e-16,0.0677832317644641,0.0144444444444444,0,0,-7.81012854015895,-7.74234530839449,-7.81012854015895,1.07013331242526,44892.6027240102,5.75773996381991e-17
21,-7.3584093298766,0.55331330668749,-0.458287163218906,1.78583664154626e-11,1.06681247465465,8006.61171826234,4.41745405686965e-16,0.0646752067603722,0.0188888888888889,0,0,-7.3584093298766,-7.29373412311622,-7.3584093298766,1.06681247465465,8006.6117182623,1.50878538058347e-16
22,-7.74183119224226,0.552971164900105,-0.427412605461563,5.95961514690519e-11,1.03533740327046,390290.770402706,1.20890951570295e-16,0.03472736439917,0.0155555555555556,0,0,-7.74183119224226,-7.70710382784309,-7.74183119224226,1.03533740327046,390290.770402706,1.51607121918257e-16
