"quantity","part","mean","sd","q025","q50","q975"
"beta0_raw","all",-7.77578176927209,0.237515463747305,-8.23344836596614,-7.77609243984268,-7.29547048291605
"beta0_raw","first_half",-7.77294055627978,0.242361405225597,-8.24538482484106,-7.77351773870576,-7.26306412640757
"beta0_raw","second_half",-7.7786229822644,0.232594514433203,-8.22560781419089,-7.77824817773686,-7.32519105156425
"beta0_ident","all",-7.77578176927209,0.237515463747305,-8.23344836596614,-7.77609243984268,-7.29547048291605
"beta0_ident","first_half",-7.77294055627978,0.242361405225597,-8.24538482484106,-7.77351773870576,-7.26306412640757
"beta0_ident","second_half",-7.7786229822644,0.232594514433203,-8.22560781419089,-7.77824817773686,-7.32519105156425
"beta0_plus_mean_log_lambda","all",-7.77578176927209,0.237515463747305,-8.23344836596614,-7.77609243984268,-7.29547048291605
"beta0_plus_mean_log_lambda","first_half",-7.77294055627978,0.242361405225597,-8.24538482484106,-7.77351773870576,-7.26306412640757
"beta0_plus_mean_log_lambda","second_half",-7.7786229822644,0.232594514433203,-8.22560781419089,-7.77824817773686,-7.32519105156425
"log_lambda_max","all",11.9029936074253,1.72164923795746,8.16148496424771,12.0399690417881,14.8300070744014
"log_lambda_max","first_half",11.8685903885793,1.78552694855012,7.90003599984847,12.0424671398323,14.857534105717
"log_lambda_max","second_half",11.9373968262713,1.65504082893802,8.50193415707385,12.0394303431364,14.8025319361186
"prop_at_upper","all",0,0,0,0,0
"prop_at_upper","first_half",0,0,0,0,0
"prop_at_upper","second_half",0,0,0,0,0
"beta1","all",0.519287437085508,0.0349020546592753,0.451283854430984,0.519353187510702,0.587210260840624
"beta1","first_half",0.51802516608232,0.0358145728023689,0.449060461673966,0.518038405531757,0.587141575061512
"beta1","second_half",0.520549708088697,0.0339270444478471,0.453873603444417,0.520687186451064,0.587210260840624
"beta2","all",-0.400562536168505,0.0319376731655741,-0.464002228219344,-0.400841193817953,-0.336861108203252
"beta2","first_half",-0.400238032614542,0.032376404811221,-0.464692149420443,-0.400422616056956,-0.336371089668863
"beta2","second_half",-0.400887039722468,0.0314975855917344,-0.462524567428458,-0.401284605316675,-0.337444208678457
