"quantity","part","mean","sd","q025","q50","q975"
"beta0_raw","all",-7.75902938363723,0.227820471754184,-8.18431485699264,-7.76020471465672,-7.31576360835622
"beta0_raw","first_half",-7.76971213987846,0.224173765069852,-8.16456359877991,-7.77993809265393,-7.33488370932834
"beta0_raw","second_half",-7.74834662739599,0.231140152618884,-8.20469609481757,-7.7433605950434,-7.30701664403215
"beta0_ident","all",-7.75902938363723,0.227820471754184,-8.18431485699264,-7.76020471465672,-7.31576360835622
"beta0_ident","first_half",-7.76971213987846,0.224173765069852,-8.16456359877991,-7.77993809265393,-7.33488370932834
"beta0_ident","second_half",-7.74834662739599,0.231140152618884,-8.20469609481757,-7.7433605950434,-7.30701664403215
"beta0_plus_mean_log_lambda","all",-7.75902938363723,0.227820471754184,-8.18431485699264,-7.76020471465672,-7.31576360835622
"beta0_plus_mean_log_lambda","first_half",-7.76971213987846,0.224173765069852,-8.16456359877991,-7.77993809265393,-7.33488370932834
"beta0_plus_mean_log_lambda","second_half",-7.74834662739599,0.231140152618884,-8.20469609481757,-7.7433605950434,-7.30701664403215
"log_lambda_max","all",11.7999705888705,1.7221226959654,7.91595858093933,11.991937265492,14.7722099289209
"log_lambda_max","first_half",11.9037358212769,1.70827847950079,7.85216444337434,12.1275406420557,14.9584393468931
"log_lambda_max","second_half",11.696205356464,1.73134730601205,7.9490169943641,11.7997089340879,14.6240449599718
"prop_at_upper","all",0,0,0,0,0
"prop_at_upper","first_half",0,0,0,0,0
"prop_at_upper","second_half",0,0,0,0,0
"beta1","all",0.520111011805195,0.0362123864349943,0.449802440788998,0.520585324435891,0.593544339982794
"beta1","first_half",0.51739592924964,0.0377635797279249,0.442654209922554,0.517426855971894,0.593846204253913
"beta1","second_half",0.522826094360749,0.0344157078401389,0.457054480134876,0.522963678711858,0.593494748796191
"beta2","all",-0.401213930620382,0.032324702342895,-0.464846485326171,-0.402157852375067,-0.337425657300539
"beta2","first_half",-0.400683444224175,0.0322228103776175,-0.462584302472977,-0.401634246862806,-0.337440942605898
"beta2","second_half",-0.401744417016588,0.0324498575592232,-0.465452822812646,-0.403769019541765,-0.337200155565928
