"rep","lambda_rmse","log_lambda_rmse","cor_log_lambda","cor_delta_log_lambda","lambda_coverage_95","log_lambda_coverage_95","lambda_mean_min","lambda_mean_median","lambda_mean_max","log_lambda_mean_min","log_lambda_mean_median","log_lambda_mean_max","lambda_stored_min","lambda_stored_max","log_lambda_min_stored","log_lambda_max_stored","stored_prop_at_lower_mean","stored_prop_at_lower_max","stored_prop_at_upper_mean","stored_prop_at_upper_max","stored_log_lambda_max_mean","stored_log_lambda_max_q975","stored_log_lambda_min_mean","stored_log_lambda_min_q025"
1,22901.4303450573,3.85758698121959,0.0751863289783521,0.0192289684667426,0.923333333333333,0.923333333333333,0.156264574550485,1.07043226847229,292605.347021194,-22.9278611872964,0.0173788924373747,11.2199571882193,4.66485282776594e-14,9440361.36285936,-30.6961350162895,16.0605048173529,9.77777777777781e-05,0.0177777777777778,0,0,11.9029936074253,14.8300070744014,-22.9609655407644,-26.9033745306946
2,0.190874007676558,0.174741512082379,0.379744068136505,0.0471243193176291,0.987777777777778,0.987777777777778,0.692990329221463,1.04254988779527,1.98592935926791,-0.432621409897256,0.0212366155714573,0.656414189100824,0.12639291064489,5.33769007676999,-2.06835988551247,1.6747929894935,0,0,0,0,0.975926695467884,1.29978695866895,-1.10001700763445,-1.49790360123593
3,0.180896189693579,0.180475277645181,0.125917369061974,0.0403336837192717,0.995555555555556,0.995555555555556,0.44705110431415,1.03379853654305,1.79150235427146,-0.933301520877473,0.00851296177516347,0.555222855884019,0.0562575963858014,6.59110464370854,-2.87781420015692,1.88572095870203,0,0,0,0,0.936534977284214,1.26658709112001,-1.35357596932615,-1.95508262787835
4,1.12491662755252,0.574984946250765,0.522501741230394,0.151018755497746,0.995555555555556,0.995555555555556,0.392543665150598,1.07915343040797,10.3124284574952,-8.8922627049328,0.0369300627239623,1.77114212364964,1.55358523036312e-11,214.079729169538,-24.8878707111426,5.36634851184909,0,0,0,0,2.99491136939085,4.24803954059272,-10.0724845964654,-23.1706502524311
5,0.181725469736378,0.169506376037436,0.0575633252374678,-0.032781498660556,0.991111111111111,0.991111111111111,0.646582578701286,1.03688186646235,1.86383746932424,-0.480178052006983,0.0167958130148209,0.560568383161406,0.116662665216609,6.61472149474349,-2.14846871189833,1.88929769460101,0,0,0,0,1.04611377306852,1.45370785667972,-1.12776474934167,-1.55497922337931
6,0.272383434497001,0.208052057626983,0.26183530685643,0.0228936344523644,0.997777777777778,0.997777777777778,0.592481364994728,1.0426886070283,2.78348948740131,-0.825914477405186,0.013141945192182,0.861675948765152,0.0151908837802455,26.0021205354502,-4.1870597823523,3.2581780937515,0,0,0,0,1.69437347926235,2.35826247089596,-2.00575686298999,-2.98933507672763
7,0.285733982359213,0.257006232774966,0.416065147468821,0.0531720977263412,0.995555555555556,0.995555555555556,0.474943885766711,1.04482125109595,2.4181057399414,-1.48392328073583,0.0108859459725982,0.761783101645037,7.16708900888262e-06,18.6426060963375,-11.8460109817632,2.92544961151993,0,0,0,0,1.46413472088332,1.92996165037811,-2.50545029250748,-5.85296273989448
8,3.19327385470101,1.18357958061687,0.304171085021258,-0.0120117613309717,0.975555555555556,0.975555555555556,0.139339731628939,1.06658569256018,20.4222148910692,-15.8405006216199,0.030554394233742,2.51495544504809,5.11701276932766e-12,1121.48309993089,-25.9984502906372,7.02240728468122,0,0,0,0,3.5428501010208,5.2076273551547,-16.5603397225911,-24.342383922615
9,0.209315593955225,0.193546274857166,0.13157627687663,0.0483039692474516,0.996666666666667,0.996666666666667,0.614338335037781,1.03807866140681,2.00282828871053,-0.533407038288392,0.00680529936335124,0.582780261693009,0.0348100455777774,9.84778986425295,-3.35784926782964,2.28724705074354,0,0,0,0,1.14982638985715,1.64307327663827,-1.25592168919965,-1.79996120742585
10,0.574191099067246,0.680180983568633,0.46385062148634,0.12333677907689,0.97,0.97,0.0847127319259773,1.03346778255756,4.40450133289968,-10.6609628920691,0.0117479169920186,1.31790400403374,1.71161066025303e-11,43.1943788938598,-24.7910011891549,3.76571036858627,0,0,0,0,1.85400772701725,2.84410156425204,-11.3153365711135,-23.1878021968799
