"scenario_id","data_scenario_id","rep_id","data_file","fit_file","fit_exists","fit_status","n_beta_guard","n_kappa_guard","n_lambda_input_guard","n_lambda_output_guard"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",1,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep01.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep01.rds",TRUE,"skipped_existing",0,3,0,800224
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",2,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep02.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep02.rds",TRUE,"fit_completed",0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",3,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep03.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep03.rds",TRUE,"fit_completed",0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",4,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep04.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep04.rds",TRUE,"fit_completed",0,0,0,10836
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",5,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep05.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep05.rds",TRUE,"fit_completed",0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",6,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep06.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep06.rds",TRUE,"fit_completed",0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",7,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep07.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep07.rds",TRUE,"fit_completed",0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",8,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep08.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep08.rds",TRUE,"fit_completed",0,0,0,76431
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",9,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep09.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep09.rds",TRUE,"fit_completed",0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",10,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep10.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep10.rds",TRUE,"fit_completed",0,0,0,14970
