"rep","parameter","truth","mean","sd","q025","q50","q975","bias","abs_bias","covered_95"
1,"r_mean",15,14.4117056295512,3.21110827703536,9.02708924138596,14.0457917937707,21.6666218680011,-0.588294370448779,0.588294370448779,1
2,"r_mean",15,17.8513452478809,3.42804913110104,12.0131265648568,17.5604638022873,25.4274818287128,2.85134524788086,2.85134524788086,1
3,"r_mean",15,16.4182355260203,3.25895299438837,11.0030800385471,16.1338803422488,23.734232833637,1.41823552602034,1.41823552602034,1
4,"r_mean",15,16.0405098905249,3.4104281896689,10.3748255216307,15.7353176105401,23.6452230854827,1.04050989052488,1.04050989052488,1
5,"r_mean",15,16.8212084833046,3.17992559552755,11.6867772806927,16.4532434225095,23.9540442153731,1.82120848330462,1.82120848330462,1
6,"r_mean",15,16.8263016965021,3.31922508896081,11.4065616123369,16.4579780734261,24.2517124433028,1.82630169650211,1.82630169650211,1
7,"r_mean",15,18.3036531493212,3.57429099648816,12.2887573948209,18.0163025903991,26.1277798954839,3.30365314932118,3.30365314932118,1
8,"r_mean",15,15.5392476008677,3.2662604375979,10.0627043543395,15.2927084771546,22.766205217058,0.53924760086767,0.53924760086767,1
9,"r_mean",15,18.7980133201685,3.59188698127554,12.7396233246031,18.4981967065528,26.8202190434195,3.79801332016853,3.79801332016853,1
10,"r_mean",15,14.1197632709732,3.03266110337734,9.16194705570502,13.7500115278221,21.0347225927778,-0.880236729026795,0.880236729026795,1
