"rep","scenario_id","stress_type","TT","n1","mean_count","median_count","zero_prop","total_count","max_count","x2_mode","x2_ar","x2_innov_sd","x2_mean","x2_sd","x2_empirical_ar1_mean","x2_empirical_ar1_median","x2_binary_like_prop","sparse_beta0_shift","expected_count_multiplier","beta0_reference_truth","beta0_sparse_truth","beta0_star_ident_truth","beta1_truth","beta2_truth","r_truth_mean","lambda_truth_min","lambda_truth_median","lambda_truth_max","fit_file","data_file","n_iter","n_stored","fit_status_label","gamma_fixed_in_fit","gamma_mean","gamma_sd","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered_95","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered_95","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered_95","r_mean","r_sd","r_q025","r_q50","r_q975","r_bias","r_covered_95","beta_guard","kappa_guard","lambda_input_guard","lambda_output_guard","beta_guard_rate_all_iter","kappa_guard_rate_all_iter","lambda_input_guard_rate_all_iter","lambda_output_guard_rate_all_iter","lambda_rmse","log_lambda_rmse","cor_log_lambda","cor_delta_log_lambda","lambda_coverage_95","log_lambda_coverage_95","lambda_mean_min","lambda_mean_median","lambda_mean_max","log_lambda_mean_min","log_lambda_mean_median","log_lambda_mean_max","lambda_stored_min","lambda_stored_max","log_lambda_min_stored","log_lambda_max_stored","stored_prop_at_lower_mean","stored_prop_at_lower_max","stored_prop_at_upper_mean","stored_prop_at_upper_max","stored_log_lambda_max_mean","stored_log_lambda_max_q975","stored_log_lambda_min_mean","stored_log_lambda_min_q025"
1,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,2.22555555555556,1,0.358888888888889,2003,19,"continuous_time",0.5,0.8,4.44089209850063e-17,1,0.500702401548939,0.521452615502433,0,-4.25,0.0142642339089993,-1.5,-5.75,-6.38511540131423,0.5,-0.4,15,0.258601708347133,0.998241490670351,2.09912711965495,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep01.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep01.rds",40000,4000,"numerical_instability",TRUE,0.8,0,-7.77578176927209,0.237515463747305,-8.23344836596614,-7.77609243984268,-7.29547048291605,-1.39066636795787,0,0.519287437085508,0.0349020546592753,0.451283854430984,0.519353187510702,0.587210260840624,0.0192874370855084,1,-0.400562536168505,0.0319376731655741,-0.464002228219344,-0.400841193817953,-0.336861108203252,-0.000562536168505268,1,14.4117056295512,3.21110827703536,9.02708924138596,14.0457917937707,21.6666218680011,-0.588294370448779,1,0,3,0,800224,0,8.33333333333333e-08,0,0.0222284444444444,22901.4303450573,3.85758698121959,0.0751863289783521,0.0192289684667426,0.923333333333333,0.923333333333333,0.156264574550485,1.07043226847229,292605.347021194,-22.9278611872964,0.0173788924373747,11.2199571882193,4.66485282776594e-14,9440361.36285936,-30.6961350162895,16.0605048173529,9.77777777777781e-05,0.0177777777777778,0,0,11.9029936074253,14.8300070744014,-22.9609655407644,-26.9033745306946
2,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,3.13,2,0.173333333333333,2817,30,"continuous_time",0.5,0.8,9.76996261670138e-17,1,0.471020565051243,0.452272363151258,0,-4.25,0.0142642339089993,-1.5,-5.75,-5.63506352666298,0.5,-0.4,15,0.75293698671582,1.00050209411309,1.23171288561439,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep02.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep02.rds",40000,4000,"stable",TRUE,0.8,0,-5.71152027220363,0.0266823562080167,-5.7639766701245,-5.71180356200252,-5.65945259598764,-0.0764567455406553,0,0.455878209639341,0.0281801922041577,0.400416636103703,0.455900912678622,0.50952240616796,-0.0441217903606592,1,-0.369722218190925,0.0250820182356212,-0.418409468826333,-0.369360243619684,-0.321106329317031,0.0302777818090747,1,17.8513452478809,3.42804913110104,12.0131265648568,17.5604638022873,25.4274818287128,2.85134524788086,1,0,0,0,0,0,0,0,0,0.190874007676558,0.174741512082379,0.379744068136505,0.0471243193176291,0.987777777777778,0.987777777777778,0.692990329221463,1.04254988779527,1.98592935926791,-0.432621409897256,0.0212366155714573,0.656414189100824,0.12639291064489,5.33769007676999,-2.06835988551247,1.6747929894935,0,0,0,0,0.975926695467884,1.29978695866895,-1.10001700763445,-1.49790360123593
3,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,2.91111111111111,2,0.175555555555556,2620,22,"continuous_time",0.5,0.8,-4.61359345788676e-17,1,0.451410892465294,0.452369002080297,0,-4.25,0.0142642339089993,-1.5,-5.75,-5.711673476828,0.5,-0.4,15,0.782412894359852,1.00002499061911,1.27651777505022,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep03.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep03.rds",40000,4000,"stable",TRUE,0.8,0,-5.76828940152923,0.0271677306028507,-5.82363177662861,-5.76803503159153,-5.71677593082786,-0.0566159247012274,0,0.443775504269557,0.0281308862421735,0.388880258397477,0.443824643054577,0.499503737270636,-0.056224495730443,0,-0.362670533049631,0.0277097781329446,-0.417839429012932,-0.362424799089298,-0.309432946490838,0.0373294669503687,1,16.4182355260203,3.25895299438837,11.0030800385471,16.1338803422488,23.734232833637,1.41823552602034,1,0,0,0,0,0,0,0,0,0.180896189693579,0.180475277645181,0.125917369061974,0.0403336837192717,0.995555555555556,0.995555555555556,0.44705110431415,1.03379853654305,1.79150235427146,-0.933301520877473,0.00851296177516347,0.555222855884019,0.0562575963858014,6.59110464370854,-2.87781420015692,1.88572095870203,0,0,0,0,0.936534977284214,1.26658709112001,-1.35357596932615,-1.95508262787835
4,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,1.95777777777778,1,0.312222222222222,1762,16,"continuous_time",0.5,0.8,4.51490696680897e-17,1,0.478792173148008,0.460121702400557,0,-4.25,0.0142642339089993,-1.5,-5.75,-6.24893288975913,0.5,-0.4,15,0.368683096446175,1.00758969391781,2.48743034067827,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep04.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep04.rds",40000,4000,"numerical_instability",TRUE,0.8,0,-6.38291093944675,0.068631335435491,-6.52351000761784,-6.37861203790006,-6.253670964731,-0.133978049687625,0,0.473723035833918,0.0335767203019863,0.408712922488348,0.474195236603794,0.540505006947403,-0.0262769641660822,1,-0.349307999033627,0.0322240149686979,-0.412536103529031,-0.348960824159565,-0.285400209667751,0.0506920009663727,1,16.0405098905249,3.4104281896689,10.3748255216307,15.7353176105401,23.6452230854827,1.04050989052488,1,0,0,0,10836,0,0,0,0.000301,1.12491662755252,0.574984946250765,0.522501741230394,0.151018755497746,0.995555555555556,0.995555555555556,0.392543665150598,1.07915343040797,10.3124284574952,-8.8922627049328,0.0369300627239623,1.77114212364964,1.55358523036312e-11,214.079729169538,-24.8878707111426,5.36634851184909,0,0,0,0,2.99491136939085,4.24803954059272,-10.0724845964654,-23.1706502524311
5,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,4.36444444444444,3,0.173333333333333,3928,61,"continuous_time",0.5,0.8,-4.97441594088994e-17,1,0.491010886099061,0.504819942274288,0,-4.25,0.0142642339089993,-1.5,-5.75,-5.81369881057473,0.5,-0.4,15,0.812411870772345,1.00363767332967,1.1854649268604,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep05.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep05.rds",40000,4000,"stable",TRUE,0.8,0,-5.81949065635036,0.0264681117894265,-5.87245493346994,-5.81920018278233,-5.76741139175133,-0.00579184577563918,1,0.526014342046323,0.0272994663591889,0.474260035720217,0.526007179318289,0.579119681460233,0.026014342046323,1,-0.376156429092456,0.0225615820731783,-0.420036837104697,-0.375957432377202,-0.333404566858944,0.0238435709075442,1,16.8212084833046,3.17992559552755,11.6867772806927,16.4532434225095,23.9540442153731,1.82120848330462,1,0,0,0,0,0,0,0,0,0.181725469736378,0.169506376037436,0.0575633252374678,-0.032781498660556,0.991111111111111,0.991111111111111,0.646582578701286,1.03688186646235,1.86383746932424,-0.480178052006983,0.0167958130148209,0.560568383161406,0.116662665216609,6.61472149474349,-2.14846871189833,1.88929769460101,0,0,0,0,1.04611377306852,1.45370785667972,-1.12776474934167,-1.55497922337931
6,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,2.89333333333333,2,0.233333333333333,2604,35,"continuous_time",0.5,0.8,-1.92438657601694e-17,1,0.509936183848334,0.512177790831771,0,-4.25,0.0142642339089993,-1.5,-5.75,-5.87820166799763,0.5,-0.4,15,0.671701905629369,1.00369731826595,1.39404054630323,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep06.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep06.rds",40000,4000,"stable",TRUE,0.8,0,-5.99604600046818,0.0363056996423786,-6.07012581396262,-5.99572707198258,-5.92557036914222,-0.117844332470548,0,0.480949828918636,0.0292249491280753,0.423273886237454,0.481472397474383,0.536497241499992,-0.0190501710813641,1,-0.380424215608149,0.0268730761039985,-0.432418963612558,-0.380481348797881,-0.328236993792257,0.0195757843918508,1,16.8263016965021,3.31922508896081,11.4065616123369,16.4579780734261,24.2517124433028,1.82630169650211,1,0,0,0,0,0,0,0,0,0.272383434497001,0.208052057626983,0.26183530685643,0.0228936344523644,0.997777777777778,0.997777777777778,0.592481364994728,1.0426886070283,2.78348948740131,-0.825914477405186,0.013141945192182,0.861675948765152,0.0151908837802455,26.0021205354502,-4.1870597823523,3.2581780937515,0,0,0,0,1.69437347926235,2.35826247089596,-2.00575686298999,-2.98933507672763
7,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,2.97555555555556,1,0.308888888888889,2678,45,"continuous_time",0.5,0.8,-2.368475785867e-17,1,0.433517572431339,0.411979807479757,0,-4.25,0.0142642339089993,-1.5,-5.75,-5.91316248304008,0.5,-0.4,15,0.664451469586054,1.00843301525104,1.45936769052892,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep07.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep07.rds",40000,4000,"stable",TRUE,0.8,0,-5.98341039788324,0.0392861429918496,-6.06101737837162,-5.98316932660325,-5.90818540347507,-0.0702479148431587,1,0.505794664865331,0.031489080555796,0.445175743606257,0.505709134095954,0.566545981339027,0.00579466486533109,1,-0.379034061325962,0.0260006758205505,-0.429205810473883,-0.378716178426963,-0.328016214500313,0.0209659386740385,1,18.3036531493212,3.57429099648816,12.2887573948209,18.0163025903991,26.1277798954839,3.30365314932118,1,0,0,0,0,0,0,0,0,0.285733982359213,0.257006232774966,0.416065147468821,0.0531720977263412,0.995555555555556,0.995555555555556,0.474943885766711,1.04482125109595,2.4181057399414,-1.48392328073583,0.0108859459725982,0.761783101645037,7.16708900888262e-06,18.6426060963375,-11.8460109817632,2.92544961151993,0,0,0,0,1.46413472088332,1.92996165037811,-2.50545029250748,-5.85296273989448
8,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,2.62,1,0.312222222222222,2358,47,"continuous_time",0.5,0.8,-5.42775700927854e-18,1,0.485235053854419,0.52204721430941,0,-4.25,0.0142642339089993,-1.5,-5.75,-6.04725193697302,0.5,-0.4,15,0.51553310740229,0.996248166967459,2.20549534575597,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep08.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep08.rds",40000,4000,"numerical_instability",TRUE,0.8,0,-6.40430516290653,0.094266255271548,-6.59413928585271,-6.40027304249406,-6.22969519038681,-0.357053225933508,0,0.492825875512667,0.0331138693494296,0.426805838908626,0.492565553370531,0.558637245811609,-0.00717412448733318,1,-0.421952003811744,0.029260699879021,-0.481353504706597,-0.421855187666648,-0.366973140647026,-0.021952003811744,1,15.5392476008677,3.2662604375979,10.0627043543395,15.2927084771546,22.766205217058,0.53924760086767,1,0,0,0,76431,0,0,0,0.00212308333333333,3.19327385470101,1.18357958061687,0.304171085021258,-0.0120117613309717,0.975555555555556,0.975555555555556,0.139339731628939,1.06658569256018,20.4222148910692,-15.8405006216199,0.030554394233742,2.51495544504809,5.11701276932766e-12,1121.48309993089,-25.9984502906372,7.02240728468122,0,0,0,0,3.5428501010208,5.2076273551547,-16.5603397225911,-24.342383922615
9,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,2.86888888888889,2,0.217777777777778,2582,25,"continuous_time",0.5,0.8,-5.9211894646675e-17,1,0.466240347271394,0.469724236734233,0,-4.25,0.0142642339089993,-1.5,-5.75,-5.8516665297927,0.5,-0.4,15,0.731822629805188,0.993923746232133,1.31998233744889,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep09.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep09.rds",40000,4000,"stable",TRUE,0.8,0,-5.88240016669362,0.0299199577430224,-5.94190833554095,-5.8822828872399,-5.82579996627959,-0.0307336369009166,1,0.548561395575368,0.0281612520356856,0.494959183552486,0.547907316405287,0.605113464591646,0.0485613955753678,1,-0.398223556942003,0.0266219827561744,-0.450980477619892,-0.397889268268227,-0.347225388667715,0.00177644305799746,1,18.7980133201685,3.59188698127554,12.7396233246031,18.4981967065528,26.8202190434195,3.79801332016853,1,0,0,0,0,0,0,0,0,0.209315593955225,0.193546274857166,0.13157627687663,0.0483039692474516,0.996666666666667,0.996666666666667,0.614338335037781,1.03807866140681,2.00282828871053,-0.533407038288392,0.00680529936335124,0.582780261693009,0.0348100455777774,9.84778986425295,-3.35784926782964,2.28724705074354,0,0,0,0,1.14982638985715,1.64307327663827,-1.25592168919965,-1.79996120742585
10,"S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100","observation_sparse_counts",100,9,3.10777777777778,2,0.223333333333333,2797,41,"continuous_time",0.5,0.8,-1.25825276124184e-16,1,0.488604066010629,0.501570299783497,0,-4.25,0.0142642339089993,-1.5,-5.75,-5.85878847912896,0.5,-0.4,15,0.672952675047904,0.999322478714037,1.70989759174562,"/Users/chenghanyu/Dropbox/academia/research/msstnb-code/output_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/fits/fit_rep10.rds","/Users/chenghanyu/Dropbox/academia/research/msstnb-code/data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep10.rds",40000,4000,"numerical_instability",TRUE,0.8,0,-5.9716305425307,0.0539485801707567,-6.08478284046847,-5.96703808941591,-5.87866280212702,-0.11284206340174,0,0.480380511678965,0.0327408760700957,0.416830457089156,0.480986784247956,0.542709369170998,-0.019619488321035,1,-0.41480377052851,0.02686242509142,-0.467937326633336,-0.414546154678285,-0.360152597120341,-0.0148037705285102,1,14.1197632709732,3.03266110337734,9.16194705570502,13.7500115278221,21.0347225927778,-0.880236729026795,1,0,0,0,14970,0,0,0,0.000415833333333333,0.574191099067246,0.680180983568633,0.46385062148634,0.12333677907689,0.97,0.97,0.0847127319259773,1.03346778255756,4.40450133289968,-10.6609628920691,0.0117479169920186,1.31790400403374,1.71161066025303e-11,43.1943788938598,-24.7910011891549,3.76571036858627,0,0,0,0,1.85400772701725,2.84410156425204,-11.3153365711135,-23.1878021968799
