"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","sparse_beta0_shift","expected_count_multiplier","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","s4a_beta_guard_count","s4a_kappa_guard_count","s4a_lambda_input_guard_count","s4a_lambda_output_guard_count","fit_status"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,100,9,2.38555555555556,0.272222222222222,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.666221989997869,1.81516555879515,-5.92581758101154,-5.9784934042297,0.036531071764028,-6.05053557443709,-5.97826129272674,-5.90875613406418,-0.052675823218161,1,0.5,0.529680440712884,0.0332956467086312,0.462669345813962,0.529897259654883,0.594344139349582,0.0296804407128841,1,-0.4,0.891325194941296,0.683997728370982,-0.663743772540718,0.938308733607075,1.98774343710734,1.2913251949413,1,1.31003810849927,0.609701853900163,2.46716227694479e-16,15,14.1438736664037,-0.856126333596324,3.9334977549796,11.7107518941615,38.5099553173466,0.158693578421954,-1390.54984534599,-1471.67676286593,0.255525,0.311252777777778,12.4949,229.895000000019,0.271879834455367,0.185393941171552,0.988888888888889,0.236402332420993,0.170851339623057,0.988888888888889,0.325949344064478,0.28026892715919,0.0585981663778263,0.0416833624919758,0.0511200114693879,0.666221989997869,1.81516555879515,0.43539466660689,2.51334508874589,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.38555555555556,0.272222222222222,2147,19,0,0,0,0,"stable"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",2,100,9,3.58444444444444,0.203333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.641218927388333,1.623511272448,-5.7156523234212,-5.8260780588999,0.0334785987894108,-5.89187830853374,-5.82585836335662,-5.7603832890539,-0.110425735478705,0,0.5,0.501352370096431,0.0251170291493513,0.453812086438492,0.501395699870721,0.54953452238001,0.00135237009643097,1,-0.4,-2.81681938009825,1.15235147409887,-4.63055649509964,-2.74737281006913,-0.618606530343581,-2.41681938009825,0,2.36848790591625,0.0927598386941789,2.368475785867e-15,15,20.6961028134249,5.69610281342488,6.93647548778154,18.0412986247206,48.9009260212531,0.109294515993098,-1510.93562132632,-1580.54030105914,0.263575,0.308763888888889,12.77935,226.165999999968,0.262186789172635,0.162123662068413,0.996666666666667,0.224876437493268,0.144307038491914,0.996666666666667,0.514944229487686,0.511666146184088,0.0550758042071787,0.0359958407193439,0.114842838740464,0.641218927388333,1.623511272448,0.303010061977854,2.70421006174407,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,3.58444444444444,0.203333333333333,3226,54,11,0,0,0,"soft_warning"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",3,100,9,2.59777777777778,0.26,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.66957094593915,1.44475245341837,-6.03194190506619,-6.1336440571224,0.039615005716799,-6.21257574010908,-6.13246023724733,-6.05823457701011,-0.101702152056209,0,0.5,0.53754843857527,0.0294290133984659,0.480257702125988,0.537897162800502,0.596136287179554,0.0375484385752698,1,-0.4,-1.35193385237582,0.737355729792502,-2.79141848995797,-1.40453368748419,0.147706328561248,-0.951933852375819,1,0.941029501353223,0.797806155433516,9.86864910777917e-17,15,17.3061798611154,2.30617986111536,5.12531793528242,14.6981635661001,44.324639243593,0.0784756041484896,-1394.7515702329,-1460.67167602757,0.25125,0.311841666666667,12.570925,226.652000000002,0.302561508426479,0.188846650206186,0.995555555555556,0.236806661699205,0.168653394865704,0.995555555555556,0.370247060052087,0.385747609170754,0.056132500942462,0.0390788662061119,0.0877334054017033,0.66957094593915,1.44475245341837,0.441557294145875,3.54987257396643,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.59777777777778,0.26,2338,20,0,0,0,0,"stable"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",4,100,9,1.96444444444444,0.356666666666667,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.148714873349531,4.92023393746212,-6.53036627476399,-7.42237535725345,0.185016584276863,-7.78424307008469,-7.42436503071329,-7.05312241804459,-0.892009082489464,0,0.5,0.57351225838649,0.0342321402297069,0.508915612903269,0.5732967539574,0.639747907337288,0.0735122583864902,0,-0.4,3.40890090819705,1.32161049637193,0.990992688765414,4.04988001235572,4.96011240995946,3.80890090819705,0,4.10890987370793,0.684611969860391,5.13169753604517e-15,15,13.9689849940383,-1.03101500596167,3.70893698541104,11.5252188075932,38.0597005533295,0.00702289100353331,-1222.46580576149,-1298.55920464919,0.3023,0.313544444444444,12.16305,225.994000000181,1470.70017521552,195.587546892774,0.952222222222222,2.40641745895383,0.732797372277182,0.952222222222222,-0.254157345000659,-0.117713037535965,0.263826468226439,0.0920875202413713,-0.17264445401412,0.148714873349531,4.92023393746212,0.351902623318501,20406.5472012546,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,1.96444444444444,0.356666666666667,1768,23,92,1,0,313692,"numerical_instability"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",5,100,9,4.86555555555556,0.14,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.741994020858652,1.28535281026071,-5.6231423755845,-5.62695063086459,0.0264090751763193,-5.67988354963093,-5.62630427934427,-5.57576010294307,-0.00380825528009687,1,0.5,0.528724882311778,0.0262600554443231,0.47708902528567,0.529015084437283,0.579012974940438,0.0287248823117782,1,-0.4,4.14152540124212,0.461546787930641,3.2480484984155,4.09416818138189,4.95581831989298,4.54152540124212,0,4.53880043258716,0.548791002415445,1.97372982155583e-16,15,14.1045484049295,-0.895451595070488,5.23187703435141,12.1770182333521,33.9852983986032,0.00937332337967866,-1727.50245257749,-1864.4874762117,0.285125,0.307863888888889,12.932575,227.945000000065,0.15566016197389,0.107814869683519,1,0.131500423649697,0.100472226966748,1,0.686855184379723,0.703498220979194,0.0351727284087026,0.0251428432556935,0.143067077992922,0.741994020858652,1.28535281026071,0.600469890636166,2.12083574256967,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,4.86555555555556,0.14,4379,41,47,0,0,0,"soft_warning"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",6,100,9,2.36111111111111,0.248888888888889,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.761261087000651,1.29270978852057,-6.0011894022961,-6.11018491483866,0.032647493060944,-6.17654578347324,-6.10926464862678,-6.0475788176463,-0.108995512542569,0,0.5,0.501539429437126,0.0319002104891845,0.439296329748456,0.501784665785561,0.563234595935036,0.00153942943712593,1,-0.4,-3.41442245786674,0.548769551152974,-4.36273940230183,-3.43263775697554,-2.37725833672721,-3.01442245786674,0,2.97425758160571,0.081748426318829,1.87504333047804e-15,15,17.3191992467975,2.31919924679746,4.94184529981783,14.6606057405855,45.2054853462456,0.024202576885259,-1400.65001836337,-1461.30577134265,0.30275,0.304266666666667,12.314875,224.996000000043,0.208912065534869,0.148170975630376,1,0.188740630527095,0.140894346667669,1,0.381410745234447,0.386328750667701,0.0499400582277979,0.0366253253563419,0.0418645385883956,0.761261087000651,1.29270978852057,0.536504216635468,1.85640762778304,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.36111111111111,0.248888888888889,2125,21,0,0,0,0,"stable"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",7,100,9,2.67222222222222,0.28,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,4.20716072856158e-281,1.02906146131891e+26,-12.575081040253,-41579.5022762862,7999.3811328179,-54736.753815427,-41573.3857148295,-28416.8357383254,-41566.9271952459,0,0.5,0.525017959153336,0,0.525017959153336,0.525017959153336,0.525017959153336,0.0250179591533364,0,-0.4,-0.525955219611027,0,-0.525955219611027,-0.525955219611027,-0.525955219611027,-0.125955219611027,0,117568.927313673,0.999878225295506,6.3058299322923e-11,15,17.6715431689379,2.67154316893787,5.22977372840253,15.0382350965085,44.7876939360311,2.699490156658e-11,-1407.76471887332,-749720.558416496,0.2715,0.302025,13.239875,224.146999999881,1.38608699351474e+25,3.13912344380439e+24,0.885555555555556,55.6761077991262,10.6270934504397,0.885555555555556,0.691070339235051,0.305433494064738,13.1150074543442,0.867219041865083,-0.0074759022900656,4.20716072856158e-281,1.02906146131891e+26,5.47312588826961e-05,106090373.029961,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.67222222222222,0.28,2405,23,39983,401,0,2300123,"numerical_instability"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",8,100,9,1.92444444444444,0.315555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.562307034891257,1.47304675861128,-6.1070761548057,-6.2413192424276,0.0408126606226721,-6.32379917022112,-6.24148393648358,-6.16076680364858,-0.134243087621899,0,0.5,0.513291271135326,0.0355350663129634,0.446518287485325,0.513316406156817,0.585003762057854,0.0132912711353264,1,-0.4,-2.98389923995544,0.66643525473135,-4.11771666833537,-3.07439804575593,-1.55215128007261,-2.58389923995544,0,2.64495357642849,0.773236618753664,-2.46716227694479e-16,15,17.63431007084,2.63431007084001,4.86432518372063,14.7999397823129,46.3911824913265,0.0308585882747775,-1263.26157821896,-1312.62566372544,0.27205,0.3069,12.4031,235.253000000026,0.30349810630574,0.221318513301091,0.995555555555556,0.288941049809379,0.203717964232896,0.995555555555556,0.527872917807289,0.539731533753832,0.064332794529496,0.0457828565674699,0.0535638002564443,0.562307034891257,1.47304675861128,0.30424813577739,2.54300920342198,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,1.92444444444444,0.315555555555556,1732,14,0,0,0,0,"stable"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",9,100,9,3.48444444444444,0.185555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.780774909435344,1.24258812596504,-5.71259269926043,-5.71011360360874,0.0279036688094345,-5.76558379774213,-5.70987056663832,-5.65703618620736,0.00247909565168491,1,0.5,0.449869884477863,0.0263420957997605,0.399465083603912,0.449602961870838,0.499993885797508,-0.0501301155221373,0,-0.4,-0.171876814224983,0.525202911574458,-0.876988207291523,-0.317163489145989,0.989071975817543,0.228123185775017,1,0.219571220807033,0.949834185059241,3.25357025272095e-16,15,17.1846001836385,2.18460018363852,5.58658509236059,14.8145888524217,42.4743808943248,0.703595538719208,-1558.69228301585,-1646.46477356279,0.260125,0.313391666666667,12.8716,228.959000000032,0.175798598660526,0.136438793994406,0.99,0.175376654168903,0.131109214142025,0.99,0.336509386374521,0.29764875155585,0.0426252211670377,0.0321094061700586,0.0800192068296313,0.780774909435344,1.24258812596504,0.376891865190687,1.71499258938813,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,3.48444444444444,0.185555555555556,3136,52,0,0,0,0,"stable"
"S4A_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",10,100,9,4.15,0.156666666666667,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.8155914724962,1.40511102208183,-5.54605021652164,-5.59774274867721,0.0267370751009826,-5.65013072989406,-5.59769797764592,-5.54631063319525,-0.051692532155573,0,0.5,0.52917954349476,0.0268824726675385,0.475889002028451,0.529558762831332,0.581317467909134,0.0291795434947603,1,-0.4,0.307075709038211,0.611601896527629,-0.900362952292395,0.32479698867042,1.489968383987,0.707075709038211,1,0.766947926065538,0.608351943122267,1.97372982155583e-16,15,19.064458626554,4.06445862655402,6.60558378566929,16.6161668046168,45.6348125960059,0.453571442257131,-1654.75220640396,-1745.95189836173,0.244025,0.307158333333333,12.921925,227.226999999955,0.179252939360696,0.125032762083685,0.995555555555556,0.1635286567637,0.119282709968333,0.995555555555556,0.390406940553026,0.374709294348251,0.0378535294212924,0.0284398972053537,0.138365214349918,0.8155914724962,1.40511102208183,0.599041687257938,2.1344599460788,"observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,4.15,0.156666666666667,3735,39,0,0,0,0,"stable"
