"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","exposure_stress_type","target_mean_exposure_multiplier","realized_mean_exposure_multiplier","realized_min_exposure_multiplier","realized_max_exposure_multiplier","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","reference_mean_exposure","mean_exposure","exposure_mean_ratio","exposure_cv","multiplier_cv","area_multiplier_cv","lowest_exposure_group_mean_count","lowest_exposure_group_zero_prop","highest_exposure_group_mean_count","highest_exposure_group_zero_prop","count_exposure_cor_area","x2_mode","x2_ar","x2_innov_sd","count_low_exposure_n_areas","count_low_exposure_mean_exposure","count_low_exposure_mean_multiplier","count_low_exposure_mean_count","count_low_exposure_zero_prop","count_low_exposure_total_count","count_middle_exposure_n_areas","count_middle_exposure_mean_exposure","count_middle_exposure_mean_multiplier","count_middle_exposure_mean_count","count_middle_exposure_zero_prop","count_middle_exposure_total_count","count_high_exposure_n_areas","count_high_exposure_mean_exposure","count_high_exposure_mean_multiplier","count_high_exposure_mean_count","count_high_exposure_zero_prop","count_high_exposure_total_count","lambda_low_exposure_lambda_rmse","lambda_low_exposure_log_lambda_rmse","lambda_low_exposure_cor_log_lambda","lambda_middle_exposure_lambda_rmse","lambda_middle_exposure_log_lambda_rmse","lambda_middle_exposure_cor_log_lambda","lambda_high_exposure_lambda_rmse","lambda_high_exposure_log_lambda_rmse","lambda_high_exposure_cor_log_lambda","phi_low_exposure_phi_rmse","phi_low_exposure_phi_mae","phi_low_exposure_phi_cor","phi_middle_exposure_phi_rmse","phi_middle_exposure_phi_mae","phi_middle_exposure_phi_cor","phi_high_exposure_phi_rmse","phi_high_exposure_phi_mae","phi_high_exposure_phi_cor","s4b_beta_guard_count","s4b_kappa_guard_count","s4b_lambda_input_guard_count","s4b_lambda_output_guard_count"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",1,100,9,8.29444444444444,0.224444444444444,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.258601708347133,2.09912711965495,-2.13511540131423,-2.29748575002967,0.0553299103641971,-2.41484772891509,-2.29579186820931,-2.19196809201774,-0.162370348715439,0,0.5,0.510486842467723,0.0222089775831792,0.463367145618892,0.510848631047587,0.554715451368168,0.0104868424677234,1,-0.4,-0.401081466068736,0.0198981644590341,-0.438663788736632,-0.40196002435339,-0.362924422020478,-0.00108146606873638,1,0.287978569212194,0.997524087847023,3.02227378925737e-16,15,14.9041800382375,-0.0958199617624764,5.85186587767858,12.9538443749654,35.0476779606665,0.0880560313383207,-1740.85586915913,-1912.16413986631,0.355833333333333,0.360148148148148,13.3308333333333,34.6590000000142,2.02359769499673,0.541707386534231,0.943333333333333,0.664688768786745,0.280031184526815,0.943333333333333,0.206794312536077,0.382820541583377,0.0925479468050155,0.0484482824648011,-0.0292992271867499,0.258601708347133,2.09912711965495,0.0409976430006904,18.408596424942,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0152726489322482,0.122614281750691,152.006666666667,0.0122222222222222,8.29444444444444,0.224444444444444,7465,85,656.841291469245,33.5651713492106,0.051100885077019,0.772886513957123,0.509592335731817,0.532722628145264,2.98,0.333333333333333,16.54,0.00333333333333333,0.885678863918526,"continuous_time",0.5,0.8,3,11.9035702659796,0.0315150478623236,2.98,0.333333333333333,894,3,25.2868588201432,0.0449674129697634,5.36333333333333,0.336666666666667,1609,3,63.5050849615091,0.0735175391679131,16.54,0.00333333333333333,4962,0.394306646756763,0.306262235847961,0.657882106376736,3.48210809804581,1.00775679475734,0.288191473889675,0.0654855360778902,0.0649026010634485,0.525879252290861,0.0917121123485128,0.080084998577871,0.999684890937575,0.477018949898097,0.348632778372509,0.99992863313444,0.113299509545265,0.109922580225053,0.99083530134313,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",2,100,9,11.2677777777778,0.105555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.75293698671582,1.23171288561439,-1.38506352666298,-1.39632924836362,0.0217782221475669,-1.43947778749395,-1.39598226721831,-1.35424181114073,-0.0112657217006413,1,0.5,0.482066961409403,0.0176741988911085,0.448007730134269,0.482433464170364,0.516712718453102,-0.0179330385905972,1,-0.4,-0.386470919065649,0.0168469682196478,-0.419669561080641,-0.386253098604117,-0.353575381148256,0.013529080934351,1,0.0644422259413264,0.975222606113467,1.2335811384724e-16,15,16.0214416274468,1.02144162744684,7.03668373145175,14.4591827354068,34.4073534770412,3.48348540221898,-2013.43548555753,-2226.26881441955,0.263025,0.312508333333333,13.531375,230.723999999987,0.15062239639208,0.103249143328909,1,0.141052354286578,0.0996994599250996,1,0.197399998803232,0.178752156981576,0.0361352494425079,0.0249687590295551,-0.0570587120556583,0.75293698671582,1.23171288561439,0.679850993744736,1.74161745194896,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00837772394485892,0.164660320586808,228.057777777778,0,11.2677777777778,0.105555555555556,10141,139,724.026171419258,33.410679098146,0.0461456787296147,0.785272211231672,0.819837367998273,0.862270673607883,1.95666666666667,0.293333333333333,19.1,0.00333333333333333,0.87789895070593,"continuous_time",0.5,0.8,3,8.59624986601709,0.0123756076526874,1.95666666666667,0.293333333333333,587,3,26.7585604848679,0.0604765984853016,12.7466666666667,0.02,3824,3,64.877226943553,0.077147793862011,19.1,0.00333333333333333,5730,0.229398522587613,0.208176477768326,-0.00973172611643508,0.093638401986894,0.0909118413432059,0.365071841497869,0.081666923491948,0.0799666242173043,0.54956548994202,0.104884094620239,0.0914168084916932,0.982537116883771,0.0231753810398892,0.0214644119828598,0.97813931399615,0.0303418829700389,0.0252718220556752,0.999945028154219,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",3,100,9,10.7044444444444,0.134444444444444,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.782412894359852,1.27651777505022,-1.461673476828,-1.51626198824335,0.0235074002674781,-1.56266039040227,-1.51675008454872,-1.46943815545651,-0.0545885114153488,0,0.5,0.511273752728057,0.020652351843313,0.470949638629398,0.511495697038224,0.552515372889664,0.0112737527280574,1,-0.4,-0.415054820358052,0.0186259429101702,-0.45136637370605,-0.415272360914384,-0.378862355896325,-0.0150548203580518,1,0.0739537296806446,0.973274197870905,-1.14106255308697e-16,15,17.9320000562108,2.93200005621075,7.33237361423702,16.0920679099821,39.096742223475,3.05218786693294,-1890.059230795,-2067.44266129951,0.23255,0.303336111111111,13.404775,230.049999999988,0.169492453453296,0.106156963722029,0.99,0.143215142631815,0.100898897443704,0.99,0.364592609908702,0.41318967840656,0.0336351274989728,0.0248285607103986,0.122727050408925,0.782412894359852,1.27651777505022,0.699543848837307,2.48854836931724,"low_exposure","low_heterogeneous_exposure",0.05,0.0500031266270105,0.005,0.197262495584007,209.543333333333,0,10.7044444444444,0.134444444444444,9634,177,742.828380650023,41.2959998895333,0.0555929215485771,1.18511589009766,1.05734468059829,1.11398313707913,1.58666666666667,0.33,25.03,0,0.938390799399166,"continuous_time",0.5,0.8,3,5.40849911821651,0.0131694290901779,1.58666666666667,0.33,476,3,17.8648590050073,0.0207135445816725,5.49666666666667,0.0733333333333333,1649,3,100.614641545376,0.116126406209181,25.03,0,7509,0.263741279029294,0.212444985461562,0.320439105849456,0.111365068412006,0.10959686168614,0.265324878740243,0.06497256810712,0.0652286831864952,0.795948534534421,0.102617950650399,0.09733541074106,0.999949658762792,0.0342585341999395,0.0310990245177859,0.999453998135793,0.0685811303480584,0.0648355362581283,0.97616397096182,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",4,100,9,6.49222222222222,0.131111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.368683096446175,2.48743034067827,-1.99893288975913,-2.01883767964062,0.0332427565363057,-2.08579579495799,-2.01883668315821,-1.95417606911022,-0.0199047898814926,1,0.5,0.487042659793603,0.0210822020146333,0.44672090873591,0.487087590139876,0.528649104324141,-0.0129573402063967,1,-0.4,-0.403955929087234,0.0204808083458244,-0.442557812453118,-0.403997170815632,-0.363706800529971,-0.00395592908723408,1,0.0655705108891323,0.998836097781363,2.03046973524924e-17,15,19.2036025248921,4.20360252489214,7.42145992550933,17.0206325703283,43.6084340852784,0.197411473314381,-1804.91056595485,-1930.7603650259,0.261775,0.2992,13.246875,232.253999999986,0.270981206928472,0.13253359190756,0.994444444444444,0.232710607974367,0.124068699288621,0.994444444444444,0.678672913811396,0.536040895367037,0.0614352901570693,0.0346165266370238,0.166475928248855,0.368683096446175,2.48743034067827,0.420869292749288,3.34436784931529,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0161256197803077,0.138238704099692,135.158888888889,0.00888888888888889,6.49222222222222,0.131111111111111,5843,55,655.403339109013,36.2560582069763,0.0553186962035692,0.854245265689194,0.566803515910541,0.593423450789666,5.19666666666667,0.0533333333333333,11.5066666666667,0.00333333333333333,0.847925123421335,"continuous_time",0.5,0.8,3,12.6098191788377,0.025417620598098,5.19666666666667,0.0533333333333333,1559,3,20.777338967187,0.0417858515652337,2.77333333333333,0.336666666666667,832,3,75.3810164749042,0.0827965278366683,11.5066666666667,0.00333333333333333,3452,0.109457276807406,0.106448977519929,0.313588410097759,0.447160487999222,0.346395511232792,0.593746158685983,0.0914278188049978,0.091067245834115,0.0303347679138784,0.0320694462267628,0.0249312488906727,0.991844026362908,0.0841355596334442,0.0697716960208457,0.999504139067511,0.0692187396494719,0.0567679504902788,0.964509846834097,0,0,0,1
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",5,100,9,17.7111111111111,0.16,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.812411870772345,1.1854649268604,-1.56369881057473,-1.66278952539241,0.0297322147705451,-1.72245936444377,-1.66168069729358,-1.60606687124077,-0.0990907148176872,0,0.5,0.516740218213915,0.0181678216078398,0.480852707394728,0.51627842071231,0.55169417565945,0.0167402182139148,1,-0.4,-0.385790570200762,0.0161363515569357,-0.417612486920995,-0.385704468322054,-0.354118588616381,0.0142094297992382,1,0.121300292896095,0.982973365997322,-7.95659834314696e-16,15,17.0381146386446,2.03811463864463,7.2882935313615,15.2889044693425,36.4257539066974,0.568231845419038,-1965.91550047852,-2199.51446457393,0.229075,0.31785,13.555575,228.680999999982,0.222027150923002,0.131496196071531,0.996666666666667,0.196920175348885,0.120169374771204,0.996666666666667,0.340302155500314,0.401490915865965,0.0506033958856131,0.0312070399888071,0.00548598058254794,0.812411870772345,1.1854649268604,0.338354401767498,2.56228446205477,"low_exposure","low_heterogeneous_exposure",0.05,0.0500000022856939,0.005,0.207871185221955,301.414444444444,0,17.7111111111111,0.16,15940,290,887.757482377902,43.9201800451912,0.0494731736054185,0.850287624248096,0.906917906530332,0.95459560228264,1.39,0.44,43.27,0.00666666666666667,0.852285747132339,"continuous_time",0.5,0.8,3,8.65629204534425,0.00942658779766838,1.39,0.44,417,3,36.8256793568319,0.0411012718718504,8.47333333333333,0.0333333333333333,2542,3,86.2785687333973,0.0994721471875628,43.27,0.00666666666666667,12981,0.366114506978697,0.318622657972865,0.47217831687076,0.089059965373135,0.0874581810628628,0.258509706083772,0.0769198127171245,0.0779039320333292,0.45665411419387,0.182428083914309,0.153808057314161,0.974344815974679,0.0543828271116336,0.0444453259739318,0.998500769186885,0.0889032366381294,0.0868720699388589,0.999983844834774,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",6,100,9,11.35,0.0733333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.671701905629369,1.39404054630323,-1.62820166799763,-1.62446395995393,0.0211416095045579,-1.66649794718921,-1.62413637449384,-1.58282960626842,0.00373770804369733,1,0.5,0.469739359452301,0.0173382364322091,0.434990278193303,0.469904777545191,0.502955435320601,-0.0302606405476991,1,-0.4,-0.37003925040202,0.0170719816756348,-0.403230670913996,-0.369868031292856,-0.335904791054856,0.0299607495979805,1,0.0323542642094701,0.999108730147471,4.62592926927149e-17,15,17.8257818728376,2.82578187283757,8.02738108302797,16.3410285451393,36.2291078533126,0.532714917988098,-2025.70015621329,-2233.75536261439,0.240425,0.306666666666667,13.534825,227.334000000003,0.12966602160232,0.0914379571027628,0.994444444444444,0.129217610465875,0.0898371084106294,0.994444444444444,0.49909063970601,0.470111495793759,0.0328808311529733,0.0232433019992789,0.170432457193671,0.671701905629369,1.39404054630323,0.561690721040435,1.78431719463928,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.022474621616377,0.140749458091567,211.054444444444,0,11.35,0.0733333333333333,10215,124,746.404876046611,36.9176993952045,0.0494606889370041,0.648279493233658,0.63085415455699,0.661050570361701,3.29,0.206666666666667,21.8,0.00666666666666667,0.967244504123485,"continuous_time",0.5,0.8,3,17.8250263205709,0.0332325503546135,3.29,0.206666666666667,987,3,29.2171684472371,0.0313353706128136,8.96,0.00666666666666667,2688,3,63.7109034178054,0.0854320790325729,21.8,0.00666666666666667,6540,0.188389498129383,0.178668886703964,0.536345923703793,0.0817659211117907,0.0842661652292152,0.351751592582668,0.0909041396957213,0.0910036256712316,0.396840394300217,0.0441965576571009,0.0410846864141582,0.999996809999652,0.0148711029571852,0.013128587791656,0.998255036325945,0.0310790898468399,0.0256937496782584,0.998495916862801,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",7,100,9,10.2788888888889,0.147777777777778,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.664451469586054,1.45936769052892,-1.66316248304008,-1.69447051580017,0.0256142867040901,-1.74540086372903,-1.69391797757736,-1.64455189760128,-0.0313080327600972,1,0.5,0.493353274906144,0.0212521552801994,0.452408948894006,0.493353527653906,0.534422401097464,-0.00664672509385583,1,-0.4,-0.407362249805779,0.0185399755531825,-0.444421019923308,-0.407113337487181,-0.370872686019692,-0.00736224980577943,1,0.0513363696297944,0.998028049782866,-1.8812112361704e-16,15,18.86655294126,3.86655294126,7.53916761980557,16.755284146868,42.3472927342136,0.62352069305658,-1836.04212225949,-1993.54279295791,0.273525,0.307394444444444,13.380825,229.141000000003,0.146672808041597,0.108612037437472,1,0.135242419191842,0.102989567977018,1,0.60370771231332,0.582794577180233,0.0448642528833268,0.0310424117915963,0.0719127645759693,0.664451469586054,1.45936769052892,0.553605645659997,1.92657180432487,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0101723614757508,0.153447287539338,209.465555555556,0,10.2788888888889,0.147777777777778,9251,144,604.23034726049,28.5217794138887,0.0472034871191146,0.823174305631986,0.72552565271401,0.761025699142162,1.37333333333333,0.36,22.05,0.05,0.94196113623889,"continuous_time",0.5,0.8,3,9.02884110182158,0.0248010855930132,1.37333333333333,0.36,412,3,26.5035824309418,0.0420351065397242,7.41333333333333,0.0333333333333333,2224,3,50.0329147089028,0.0831638078672626,22.05,0.05,6615,0.205289695686358,0.187453559893234,0.511862187640347,0.0944735655769685,0.0888891944431312,0.66714627038033,0.116058709748981,0.109857877374107,0.682236932104002,0.0734873936540326,0.0470002808011637,0.994675820569277,0.0388368642893835,0.0373026339184275,0.965943397885863,0.0315843234280218,0.0285321121939605,0.999994089879409,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",8,100,9,9.13888888888889,0.187777777777778,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.51553310740229,2.20549534575597,-1.79725193697302,-1.80318428787068,0.0292069325932944,-1.86189542687444,-1.80287786842441,-1.74733365504711,-0.00593235089765787,1,0.5,0.51010283508029,0.0211143502442337,0.468088760509288,0.509948124483438,0.552132640669603,0.0101028350802905,1,-0.4,-0.405938870249944,0.0183284855145347,-0.442985078836836,-0.406050363095976,-0.36971783280963,-0.00593887024994433,1,0.0828398221701725,0.996935937045524,-2.83723661848651e-16,15,15.5393076289876,0.539307628987624,6.12423577079154,13.7540956484837,34.9523641780908,0.34456337627565,-1762.745500541,-1941.09641652985,0.270725,0.304466666666667,13.2715,228.765000000014,0.213016560903524,0.128523794438744,0.981111111111111,0.194000562634605,0.12020695223131,0.981111111111111,0.583740372224153,0.600934179082052,0.0489154661591539,0.0324242764267001,0.158447123558426,0.51553310740229,2.20549534575597,0.265363554020998,2.23348606991504,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00768480652769944,0.161155955712165,185.816666666667,0,9.13888888888889,0.187777777777778,8225,103,621.89731636801,29.0584015016246,0.0467254010217166,0.801431177341371,0.823792077870926,0.866777473600976,1.34,0.43,14.6133333333333,0.123333333333333,0.75512265861266,"continuous_time",0.5,0.8,3,7.72914039840881,0.0120611647307552,1.34,0.43,402,3,24.7146137185692,0.0465435814207548,11.4633333333333,0.01,3439,3,54.7314503878957,0.09139525384849,14.6133333333333,0.123333333333333,4384,0.322706079736342,0.281658917240777,0.676976856562455,0.0716354735362164,0.0709146790826411,0.558689306990439,0.16388200233686,0.155012453893742,0.651450534755379,0.115308697772119,0.0993920547737004,0.997789419414084,0.0342545162753931,0.0275947584884456,0.998000671412612,0.0782166270328392,0.0627520952888992,0.999734303835534,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",9,100,9,9.35888888888889,0.113333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.731822629805188,1.31998233744889,-1.60166652979271,-1.67154387020844,0.0236443762300225,-1.71914224784918,-1.67151544152205,-1.62593749007808,-0.0698773404157329,0,0.5,0.501952212645053,0.0189406696656006,0.465328608657059,0.501786395079586,0.538309518444048,0.00195221264505296,1,-0.4,-0.406954001163056,0.0185443817665918,-0.44323750299903,-0.406867354420354,-0.369491616746158,-0.00695400116305561,1,0.14729474397943,0.93358083442127,4.93432455388958e-17,15,17.866569022683,2.86656902268305,7.45540777319683,16.090618812131,38.3432845534056,1.81882318659935,-1908.12635527789,-2088.06258093974,0.2611,0.306722222222222,13.415925,229.402000000002,0.157983874496837,0.102277132708639,1,0.139598062418166,0.0965311572655282,1,0.521655743428875,0.55017227936192,0.0377129751697085,0.0264925591920934,0.0733115437230011,0.731822629805188,1.31998233744889,0.44098838056068,2.31481229736689,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00632711256741554,0.159926382743262,194.292222222222,0,9.35888888888889,0.113333333333333,8423,132,712.142365341312,36.2165269144187,0.0508557399152359,0.872755737430909,0.738410853188437,0.776454130335162,2.13,0.3,16.7233333333333,0.0166666666666667,0.947691167130982,"continuous_time",0.5,0.8,3,10.8526205113792,0.0248909590482418,2.13,0.3,639,3,27.4482250374779,0.0334914932285527,9.22333333333333,0.0233333333333333,2767,3,70.3487351943989,0.0916175477232055,16.7233333333333,0.0166666666666667,5017,0.244633382300583,0.210141971305578,0.57205323571273,0.095564681037788,0.0908079486829911,0.659703072263926,0.0768024335904781,0.075267221619939,0.335451298520415,0.231030327910926,0.158410894372528,0.806693488111724,0.0388627795118059,0.0365168129310293,0.999996763351396,0.101004439337508,0.0924523850505815,0.999870584022475,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100",10,100,9,8.46777777777778,0.0844444444444444,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.672952675047904,1.70989759174562,-1.60878847912896,-1.62525517727714,0.0194453976787279,-1.66393093500814,-1.62519003776131,-1.5868381862397,-0.0164666981481807,1,0.5,0.519136607449728,0.0207037695737158,0.478644626047076,0.519288715123137,0.56059659126882,0.0191366074497276,1,-0.4,-0.416160694229496,0.0182289552298378,-0.451171378485713,-0.416111992505452,-0.379476642725053,-0.0161606942294955,1,0.0500222058332539,0.997292865888758,2.77555756156289e-17,15,20.6526908263868,5.6526908263868,8.48298854483923,18.6974939237758,44.1414742449814,0.652565008216885,-1956.07896092044,-2103.27544704424,0.266375,0.308675,13.454875,235.526000000013,0.12222193957074,0.09366660629862,0.996666666666667,0.117121901845162,0.0925359520898636,0.996666666666667,0.661875444257458,0.661966624262715,0.0317668910488771,0.0230266132740543,0.0568685501971657,0.672952675047904,1.70989759174562,0.613278545288331,1.74366919669175,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00666675137998557,0.170395813810162,213.9,0,8.46777777777778,0.0844444444444444,7621,123,763.063890650379,31.8983983592448,0.0418030505047972,0.657284125303518,0.797170253369776,0.837904561427969,3.45,0.17,13.67,0.04,0.689422620816237,"continuous_time",0.5,0.8,3,13.5499803567978,0.0210851741349249,3.45,0.17,1035,3,24.4972296273136,0.0414494189226492,8.28333333333333,0.0433333333333333,2485,3,57.6479850936231,0.0874654069424259,13.67,0.04,4101,0.141417186928539,0.135268872110697,0.494909800309647,0.110695087516654,0.105594137158253,0.536068069837324,0.112082043067565,0.10940971049069,0.823796758654442,0.0623836046891767,0.0605508243171802,0.999506631355609,0.0453824750117188,0.0446542806297668,0.994740062072556,0.0394383069751798,0.0330725112425399,0.99962832225962,0,0,0,0
