"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","exposure_stress_type","target_mean_exposure_multiplier","realized_mean_exposure_multiplier","realized_min_exposure_multiplier","realized_max_exposure_multiplier","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","reference_mean_exposure","mean_exposure","exposure_mean_ratio","exposure_cv","multiplier_cv","area_multiplier_cv","lowest_exposure_group_mean_count","lowest_exposure_group_zero_prop","highest_exposure_group_mean_count","highest_exposure_group_zero_prop","count_exposure_cor_area","count_low_exposure_n_areas","count_low_exposure_mean_exposure","count_low_exposure_mean_multiplier","count_low_exposure_mean_count","count_low_exposure_zero_prop","count_low_exposure_total_count","count_middle_exposure_n_areas","count_middle_exposure_mean_exposure","count_middle_exposure_mean_multiplier","count_middle_exposure_mean_count","count_middle_exposure_zero_prop","count_middle_exposure_total_count","count_high_exposure_n_areas","count_high_exposure_mean_exposure","count_high_exposure_mean_multiplier","count_high_exposure_mean_count","count_high_exposure_zero_prop","count_high_exposure_total_count","lambda_low_exposure_lambda_rmse","lambda_low_exposure_log_lambda_rmse","lambda_low_exposure_cor_log_lambda","lambda_middle_exposure_lambda_rmse","lambda_middle_exposure_log_lambda_rmse","lambda_middle_exposure_cor_log_lambda","lambda_high_exposure_lambda_rmse","lambda_high_exposure_log_lambda_rmse","lambda_high_exposure_cor_log_lambda","phi_low_exposure_phi_rmse","phi_low_exposure_phi_mae","phi_low_exposure_phi_cor","phi_middle_exposure_phi_rmse","phi_middle_exposure_phi_mae","phi_middle_exposure_phi_cor","phi_high_exposure_phi_rmse","phi_high_exposure_phi_mae","phi_high_exposure_phi_cor","s4b_beta_guard_count","s4b_kappa_guard_count","s4b_lambda_input_guard_count","s4b_lambda_output_guard_count"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",1,100,9,9.01222222222222,0.115555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.666221989997869,1.81516555879515,-1.67581758101154,-1.70780846833332,0.0255225863535225,-1.75658213616283,-1.70771921186609,-1.65642822243362,-0.0319908873217838,1,0.5,0.499521936069019,0.0208042739987473,0.458210132715292,0.499778696793232,0.541457131290314,-0.00047806393098071,1,-0.4,-0.772947813804701,0.26078263359433,-1.14317446612092,-0.81380474098451,-0.328115608955903,-0.372947813804701,1,0.381386750131473,0.894805028111157,2.46716227694479e-16,15,15.5880203099412,0.588020309941198,6.64860930526912,13.8919495568602,34.6930754459568,0.41073157209042,-1903.74885620897,-2094.23341569829,0.311166666666667,0.33387037037037,13.2281666666667,34.3959999999497,0.223508464364561,0.133445162929313,0.994444444444444,0.202897627561875,0.12832287269159,0.994444444444444,-0.0127539171299046,0.0215474003495702,0.0474199631569232,0.0316955894488503,-0.0932695970921857,0.666221989997869,1.81516555879515,0.568635551354912,2.07042801346246,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0152726489322482,0.122614281750691,162.68,0,9.01222222222222,0.115555555555556,8111,148,656.841291469245,33.5651713492106,0.051100885077019,0.772886513957123,0.509592335731817,0.532722628145264,4.01,0.13,18.6533333333333,0,0.90987082054856,3,11.9035702659796,0.0315150478623236,4.01,0.13,1203,3,25.2868588201432,0.0449674129697634,4.37333333333333,0.216666666666667,1312,3,63.5050849615091,0.0735175391679131,18.6533333333333,0,5596,0.16852146816886,0.156157346089038,0.388712935030691,0.339961943809703,0.302808612169929,-0.366120895334264,0.0767755980449099,0.0766223601274456,0.704609351175887,0.34653895824546,0.341123579789759,0.614833723706331,0.396756665025138,0.396104367956564,0.987753451893592,0.398575537011269,0.395033912464,0.794340514540618,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",2,100,9,11.8966666666667,0.153333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.641218927388333,1.623511272448,-1.4656523234212,-1.56275980112615,0.031167979141874,-1.62426541887492,-1.561978054987,-1.50359642577416,-0.097107477704951,0,0.5,0.496928382471074,0.0167306181331518,0.464085640027456,0.496825176403005,0.53064491777015,-0.00307161752892554,1,-0.4,-1.42537600185104,0.437290353331356,-2.14070427365768,-1.4889352206724,-0.257122700959343,-1.02537600185104,1,0.867710091731796,0.539847057822632,3.70074341541719e-17,15,18.7389965013232,3.73899650132318,8.20997086965032,16.9085435710345,39.3197700236193,0.280850053401002,-1940.74883855602,-2124.41367556743,0.253425,0.312105555555556,13.422875,230.698000000091,0.365661627787147,0.162983445961887,0.977777777777778,0.264760190107282,0.144772228649065,0.977777777777778,0.436145009979978,0.383002731761362,0.0616013083446085,0.0348093718238035,0.0669356100500867,0.641218927388333,1.623511272448,0.355229834980407,3.67415861413778,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00837772394485892,0.164660320586808,257.365555555556,0,11.8966666666667,0.153333333333333,10707,142,724.026171419258,33.410679098146,0.0461456787296147,0.785272211231672,0.819837367998273,0.862270673607883,1.49,0.446666666666667,20.9633333333333,0.00333333333333333,0.776902312559401,3,8.59624986601709,0.0123756076526874,1.49,0.446666666666667,447,3,26.7585604848679,0.0604765984853016,13.2366666666667,0.01,3971,3,64.877226943553,0.077147793862011,20.9633333333333,0.00333333333333333,6289,0.622468492847415,0.396921933115261,0.438108855217173,0.0875121709493336,0.0880843031455375,0.373690869138534,0.0774588500807982,0.0764878930928147,0.67111567535614,1.3509958636974,1.23016303038745,0.647632887344816,0.486820117507285,0.484155561206305,0.998880281265699,0.443372032656907,0.44319995559733,0.998600950329717,0,0,0,3
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",3,100,9,8.39888888888889,0.13,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.66957094593915,1.44475245341837,-1.78194190506619,-1.80261500096978,0.0245804504820029,-1.85200897597724,-1.80222836943151,-1.75452874081603,-0.0206730959035859,1,0.5,0.520452371619239,0.0211015440716017,0.478840017472708,0.520698764272328,0.560330762282011,0.0204523716192387,1,-0.4,2.66557411660691,0.472057843458983,1.84892842817208,2.6266162895067,3.57033691691222,3.06557411660691,0,3.08155713549453,0.0440248049500976,-1.1842378929335e-15,15,18.1782795264387,3.17827952643873,6.65661571993036,16.0525094966796,41.7684330690861,0.031482666068326,-1751.24457291869,-1890.51592088595,0.251975,0.305413888888889,13.116175,228.672999999952,0.177468742395561,0.125649516937929,0.997777777777778,0.171582090911305,0.119862739246888,0.997777777777778,0.198550956562296,0.199877744030692,0.0410506340912929,0.029917342666593,0.118628827307796,0.66957094593915,1.44475245341837,0.559659787058919,1.75851297536601,"low_exposure","low_heterogeneous_exposure",0.05,0.0500031266270105,0.005,0.197262495584007,182.707777777778,0,8.39888888888889,0.13,7559,207,742.828380650023,41.2959998895333,0.0555929215485771,1.18511589009766,1.05734468059829,1.11398313707913,1.76666666666667,0.27,18.4066666666667,0.05,0.702829555502816,3,5.40849911821651,0.0131694290901779,1.76666666666667,0.27,530,3,17.8648590050073,0.0207135445816725,5.02333333333333,0.07,1507,3,100.614641545376,0.116126406209181,18.4066666666667,0.05,5522,0.262929568934834,0.244975033559126,0.111715033855179,0.0982068415856864,0.0966323638912222,0.42341716129836,0.125335236976249,0.123832357986288,0.317349429567886,3.05751459863908,2.86793968948961,0.227421226995067,3.04137267924925,2.85800162021298,-0.782682914344431,3.14477977654667,2.98719406207437,0.0272800437872269,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",4,100,9,5.90444444444444,0.187777777777778,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.148714873349531,4.92023393746212,-2.28036627476399,-21949.2900400617,4254.04811259543,-28937.3221753648,-21952.4081558312,-14945.2289595059,-21947.0096737869,0,0.5,0.58584866530782,0,0.58584866530782,0.58584866530782,0.58584866530782,0.0858486653078198,0,-0.4,-0.815229161574881,0,-0.815229161574881,-0.815229161574881,-0.815229161574881,-0.415229161574881,0,62075.5347131318,0.985298817324148,-2.34447523123688e-11,15,16.9449756403628,1.94497564036278,6.43385746817793,15.047364496843,38.2534611133642,3.62181283770074e-11,-1772.39451345625,-2173064.66703039,0.259275,0.314361111111111,13.71785,223.337999999989,682.782705975075,187.29171406387,0.901111111111111,3.0085116067339,0.991033097688499,0.901111111111111,0.570874844101377,0.732735131151371,0.173888170390402,0.060010582112592,0.184071518451719,0.148714873349531,4.92023393746212,0.306199366118888,2944.41736912054,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0161256197803077,0.138238704099692,133.436666666667,0.0522222222222222,5.90444444444444,0.187777777777778,5314,49,655.403339109013,36.2560582069763,0.0553186962035692,0.854245265689194,0.566803515910541,0.593423450789666,3.69333333333333,0.1,10.12,0.303333333333333,0.309976106068103,3,12.6098191788377,0.025417620598098,3.69333333333333,0.1,1108,3,20.777338967187,0.0417858515652337,3.9,0.16,1170,3,75.3810164749042,0.0827965278366683,10.12,0.303333333333333,3036,0.115055606596444,0.112676893785387,0.47617338347758,0.212243448871086,0.207006139342481,0.435312535160606,1182.61431263572,3.79443254182595,0.266023756993813,21947.1309848179,21947.1309792702,0.247566961547351,21947.0930351398,21947.0930297824,-0.675127535977172,102940.58761541,73156.5267653044,0.999837621934142,39798,3631860,0,1053548
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",5,100,9,15.7822222222222,0.113333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.741994020858652,1.28535281026071,-1.37314237558449,-1.49667175901159,0.0379132509542309,-1.57322437488879,-1.49558420000324,-1.42689815445366,-0.123529383427092,0,0.5,0.471957529306006,0.0179813212605629,0.436449527889234,0.47206918359057,0.506045552199707,-0.0280424706939939,1,-0.4,-2.25816188696685,0.619671670333825,-3.23406663415005,-2.18518035213301,-1.02461121719103,-1.85816188696685,0,1.79067740588115,-0.166648720910754,-6.90805437544542e-16,15,17.123944149552,2.12394414955201,7.85026996429141,15.5348203167138,35.3541015816734,0.116793100347571,-2066.70565729144,-2316.44506430559,0.25375,0.301733333333333,13.58035,232.108000000007,0.435878041610252,0.164384519184513,1,0.293803476535292,0.130618128872062,1,0.414469807164959,0.546887769960379,0.0555403585083626,0.0302046653206645,0.0780685053252881,0.741994020858652,1.28535281026071,0.212227817933976,4.35154348982228,"low_exposure","low_heterogeneous_exposure",0.05,0.0500000022856939,0.005,0.207871185221955,332.278888888889,0,15.7822222222222,0.113333333333333,14204,173,887.757482377902,43.9201800451912,0.0494731736054185,0.850287624248096,0.906917906530332,0.95459560228264,3.56,0.31,35.9066666666667,0,0.640018063955672,3,8.65629204534425,0.00942658779766838,3.56,0.31,1068,3,36.8256793568319,0.0411012718718504,7.88,0.03,2364,3,86.2785687333973,0.0994721471875628,35.9066666666667,0,10772,0.747395834919595,0.450494066159201,0.581467901982181,0.0989625139940615,0.098605495992187,0.555534705762041,0.0396848616323901,0.0398247887143703,0.73048315766723,1.47080113256342,1.4591408821557,-0.343302194589798,2.02015479751706,2.00091873758902,-0.133834961789196,1.83719768623813,1.8036963454465,-0.00827531632954968,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",6,100,9,9.36,0.0722222222222222,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.761261087000651,1.29270978852057,-1.7511894022961,-1.76590747477415,0.0200915126859858,-1.8059669975284,-1.76594127367409,-1.72712969509343,-0.0147180724780551,1,0.5,0.497224650140232,0.0195574404125857,0.459207109885149,0.496828969523743,0.536619712970688,-0.00277534985976846,1,-0.4,1.94118189032371,1.27339190599643,-0.748030267962349,2.41837605798781,3.87570633102659,2.34118189032371,1,2.37967841172729,0.257410994935494,-1.15956627016405e-15,15,16.9419968787035,1.94199687870353,7.04730767327301,15.0751992755741,37.5222869676619,0.151505462676449,-1973.33196356703,-2158.59178471455,0.252175,0.305888888888889,13.198925,232.603000000119,0.136786535787786,0.0944323798339321,0.992222222222222,0.136857070947983,0.0931005353143021,0.992222222222222,0.415278479237395,0.406705628159183,0.0352906197251955,0.0255972197053698,0.0417472049456979,0.761261087000651,1.29270978852057,0.586740468445397,1.56049218873773,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.022474621616377,0.140749458091567,172.447777777778,0,9.36,0.0722222222222222,8424,88,746.404876046611,36.9176993952045,0.0494606889370041,0.648279493233658,0.63085415455699,0.661050570361701,3.57,0.1,18.7466666666667,0,0.909407816065241,3,17.8250263205709,0.0332325503546135,3.57,0.1,1071,3,29.2171684472371,0.0313353706128136,5.76333333333333,0.116666666666667,1729,3,63.7109034178054,0.0854320790325729,18.7466666666667,0,5624,0.172179135997702,0.174752006088501,-0.0671284551847278,0.142716153413716,0.137989599452168,0.59259017903655,0.0782183725242824,0.0788480334336868,0.755669013241884,0.853389683917931,0.852939984791269,0.998655074668302,3.94928365748644,2.81939869767703,0.219563835429145,0.814550593772902,0.81446896097539,0.99900994060275,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",7,100,9,7.08888888888889,0.165555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,4.20716072856158e-281,1.02906146131891e+26,-8.325081040253,-2.8985030656077,0.184289029534541,-3.23845338240388,-2.90745997611959,-2.5102612258035,5.4265779746453,0,0.5,0.501857098139958,0.0216513152359533,0.459781275573553,0.501847503661157,0.543689984192401,0.00185709813995794,1,-0.4,-4.89428519848643,0.0970100935038952,-4.99746895704944,-4.92297736786579,-4.65085454353829,-4.49428519848643,0,14.6315523761542,0.813602405938206,8.2896652505345e-15,15,19.3079201830348,4.30792018303481,7.98043125619767,16.9461081804932,44.1510153486862,0.00783212695302382,-1826.13494454643,-1960.2653425565,0.2663,0.314925,13.42245,236.571999999927,1.38608699351474e+25,3.13912344380439e+24,0.886666666666667,54.3101102113826,10.3007093383094,0.886666666666667,0.176664329326821,0.651837288242802,13.1055208498966,0.857279931968216,0.0362139238603263,4.20716072856158e-281,1.02906146131891e+26,0.0105259925969565,55417.5780470317,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0101723614757508,0.153447287539338,185.008888888889,0.0555555555555556,7.08888888888889,0.165555555555556,6380,60,604.23034726049,28.5217794138887,0.0472034871191146,0.823174305631986,0.72552565271401,0.761025699142162,5.11333333333333,0.2,7.73666666666667,0.286666666666667,0.628594631321543,3,9.02884110182158,0.0248010855930132,5.11333333333333,0.2,1534,3,26.5035824309418,0.0420351065397242,8.41666666666667,0.01,2525,3,50.0329147089028,0.0831638078672626,7.73666666666667,0.286666666666667,2321,0.157775372237362,0.153119009793792,0.333941281501692,0.0833758564377636,0.081985318977997,0.618308273103079,2.40077309647793e+25,96.752294723903,0.441774496153225,7.73997212977093,6.49008575522591,-0.297204105516286,7.69110513803539,6.40915726909044,0.924911200125495,22.8732749730878,13.5090182305311,0.999989945605256,1067,562,0,817650
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",8,100,9,7.54333333333333,0.191111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.562307034891257,1.47304675861128,-1.8570761548057,-1.86571167822796,0.028543979837827,-1.92393588679356,-1.86539461715459,-1.81121707962232,-0.00863552342226104,1,0.5,0.49093333626628,0.022875172813274,0.446838088053239,0.490562418133904,0.535492405889493,-0.00906666373371956,1,-0.4,-1.88263405035999,0.305205813219535,-2.45436293558334,-1.8821511147256,-1.24925236403153,-1.48263405035999,0,1.54527265391825,0.827402274586108,-1.2335811384724e-15,15,14.7296500237495,-0.270349976250483,5.5032956729246,12.7104815916243,34.8967777191574,0.0607325037453,-1730.89560168852,-1900.32386641531,0.231475,0.311058333333333,13.160125,235.127999999793,0.202747032906589,0.142410777426994,0.988888888888889,0.197257624533003,0.13877596677015,0.988888888888889,0.327048404003634,0.308458018626542,0.0490665359633711,0.0345703202383218,0.0385263219207791,0.562307034891257,1.47304675861128,0.574207534395493,1.98081406791528,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00768480652769944,0.161155955712165,137.595555555556,0,7.54333333333333,0.191111111111111,6789,79,621.89731636801,29.0584015016246,0.0467254010217166,0.801431177341371,0.823792077870926,0.866777473600976,1.88,0.283333333333333,17.8433333333333,0.00333333333333333,0.794537694419577,3,7.72914039840881,0.0120611647307552,1.88,0.283333333333333,564,3,24.7146137185692,0.0465435814207548,2.90666666666667,0.286666666666667,872,3,54.7314503878957,0.09139525384849,17.8433333333333,0.00333333333333333,5353,0.232512281366277,0.224938743870903,-0.122895992380938,0.251992024713889,0.249303629942842,0.420267526290048,0.0758757968770039,0.0753777587993799,0.647284283226109,1.58913225126121,1.47913246006044,0.9045879825194,1.13306955787765,1.13222827910305,0.998752648415303,1.83150615337625,1.75498739967668,0.946214534912168,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",9,100,9,9.33333333333333,0.0844444444444444,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.780774909435344,1.24258812596504,-1.46259269926043,-1.50596071664151,0.0204674550493577,-1.54571633296306,-1.50597050055587,-1.46711687757514,-0.0433680173810758,0,0.5,0.50707277783472,0.0181311574347109,0.471002872665541,0.507155901361513,0.542297513769143,0.0070727778347196,1,-0.4,-0.762586689607348,0.484058728514174,-1.69511344449224,-0.636915218638457,-0.0202729126774382,-0.362586689607348,1,0.414164161113524,0.631025985312643,-9.86864910777917e-17,15,19.6563841303075,4.65638413030748,8.51222378339519,17.7850294774586,41.4597340652548,0.702562618186815,-1980.55686583439,-2152.44422646078,0.254475,0.301430555555556,13.52445,235.935000000056,0.119594786657489,0.0888012250746775,0.998888888888889,0.117349749223478,0.0864823505446393,0.998888888888889,0.538698907656007,0.535443094814067,0.0339029434769456,0.0246542537587091,0.0575745343510462,0.780774909435344,1.24258812596504,0.669495794595877,1.65588397086991,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00632711256741554,0.159926382743262,242.872222222222,0,9.33333333333333,0.0844444444444444,8400,122,712.142365341312,36.2165269144187,0.0508557399152359,0.872755737430909,0.738410853188437,0.776454130335162,3.26333333333333,0.216666666666667,8.32,0.0166666666666667,0.134715086761006,3,10.8526205113792,0.0248909590482418,3.26333333333333,0.216666666666667,979,3,27.4482250374779,0.0334914932285527,16.4166666666667,0.02,4925,3,70.3487351943989,0.0916175477232055,8.32,0.0166666666666667,2496,0.160857785556474,0.153228796342536,0.380126810561858,0.0853745596594834,0.0795699800957546,0.720522693359927,0.0987152286922723,0.09979582855831,0.621788540963848,0.494499704923054,0.445722231105276,0.923757382136781,0.421325376582937,0.40221722968463,0.449222598704401,0.304221672355644,0.303121029975412,0.998195180787147,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",10,100,9,11.26,0.0388888888888889,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.8155914724962,1.40511102208183,-1.29605021652164,-1.30801306015533,0.0174247474402064,-1.34205796434886,-1.30793902403715,-1.27401340548932,-0.0119628436336872,1,0.5,0.482049987482409,0.0192572005555984,0.445159207197799,0.48175014856881,0.520572520176891,-0.0179500125175912,1,-0.4,-1.33536004073678,0.771162628244832,-3.02896314455136,-1.11047228133063,-0.429213320673554,-0.935360040736785,0,0.940279603855825,0.199433449264362,-1.72701359386135e-16,15,17.3945797166737,2.39457971667371,7.67295289919466,15.6623579998728,36.6942520331935,0.73080631274287,-2114.80592407999,-2329.85988420346,0.243075,0.313972222222222,13.5203,233.291999999899,0.0966392865584839,0.0742898787602687,1,0.0923312346634071,0.0728878478414835,1,0.497871058989143,0.498173967690856,0.0268491329509731,0.019489893777296,0.179744279797873,0.8155914724962,1.40511102208183,0.753006250506299,1.44713383360419,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.00666675137998557,0.170395813810162,283.385555555556,0,11.26,0.0388888888888889,10134,139,763.063890650379,31.8983983592448,0.0418030505047972,0.657284125303518,0.797170253369776,0.837904561427969,6.06,0.08,19.77,0.00333333333333333,0.582193672510412,3,13.5499803567978,0.0210851741349249,6.06,0.08,1818,3,24.4972296273136,0.0414494189226492,7.95,0.0333333333333333,2385,3,57.6479850936231,0.0874654069424259,19.77,0.00333333333333333,5931,0.120714848130227,0.114249804717256,0.382875688835506,0.0803615419764591,0.0786155028749235,0.435893646762524,0.0835906880678715,0.0801400005261553,0.661857996285908,0.949208250919702,0.9427830916822,-0.2509975537491,0.993688249085289,0.988016909078001,0.0743952655526498,0.874050662317453,0.870244121766285,-0.177930867560857,0,0,0,0
