"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","TT_short","TT_reference","TT_ratio_to_reference","n_cells","observed_mean_count","observed_median_count","observed_zero_prop","observed_total_count","observed_max_count","count_sd","count_cv","variance_to_mean","q95_count","q99_count","kappa_truth_cv","beta0_star_ident","phi_ident_sd","lambda_raw_min","lambda_raw_median","lambda_raw_max","log_lambda_sd_truth","delta_log_lambda_sd_truth","delta_log_lambda_abs_mean_truth","r_region_coverage_95","r_region_rmse","r_region_mae","r_region_mean_sd","kappa_rmse","log_kappa_rmse","cor_kappa","cor_log_kappa","kappa_post_mean_cv","s4d_beta_guard_count","s4d_kappa_guard_count","s4d_lambda_input_guard_count","s4d_lambda_output_guard_count"
"S4D_SHORT_TIME_FIXED_GAMMA_T30",1,30,9,180.192592592593,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.831295188637378,1.31415457907888,-1.68655237120595,-1.68335377712957,0.0177679767187587,-1.71764085959152,-1.68367064215777,-1.6487328619742,0.00319859407637924,1,0.5,0.479178075878912,0.0198151672751854,0.439797066741632,0.479491193921923,0.517926537711077,-0.0208219241210879,1,-0.4,-0.210786520185454,0.541033241327274,-0.950257082949884,-0.421456543278895,0.745038157206813,0.189213479814546,1,0.229524922626388,0.95355389121176,1.35693925231964e-16,15,18.7746674287843,3.77466742878435,9.29809452667085,17.8379331538854,33.2918924492987,0.369816629906894,-1010.77035322175,-1291.31625938414,0.269675,0.304788888888889,13.325775,116.405000000028,0.0609476859291578,0.0439193642844957,0.933333333333333,0.0592037607110127,0.0433641466866027,0.933333333333333,0.54094276633629,0.53816899494196,0.0310796150577872,0.0210355404362957,0.204647749320923,0.831295188637378,1.31415457907888,0.887056057750438,1.25917378906863,"short_time_series",30,100,0.3,270,180.192592592593,115,0,48652,1427,209.510599719299,1.16270373107397,243.598755993175,523.75,1054.32,0.268555774770491,-1.68655237120595,0.808102909130279,0.099864169795867,1.15915838824795,1.6764080203374,0.783455416687845,0.0317773974552846,0.0211471105533957,0.777777777777778,7.48686852052462,7.0289389631187,6.2307311132018,0.1312446488669,0.133510479280998,0.870740447339423,0.868431486580723,0.232748547203819,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",2,30,9,208.085185185185,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.784305950946718,1.56760176531647,-1.48067932076567,-1.48916652947166,0.0172837799115215,-1.52275095654529,-1.48934054538488,-1.45460534209187,-0.00848720870599373,1,0.5,0.473444129297492,0.0204883771827489,0.432877586253903,0.473531993986733,0.512938518916454,-0.0265558707025083,1,-0.4,-0.46986231986998,0.0910459536198837,-0.643908637487931,-0.471405807423404,-0.254435457445509,-0.0698623198699795,1,0.0822306532889124,0.955592583426011,9.75300087604738e-17,15,15.7174320176652,0.717432017665194,8.2941943782893,15.1560417725337,26.4138733067491,4.54141769316621,-1057.20873458272,-1384.28291908118,0.257475,0.310352777777778,13.2933,116.542000000132,0.0619150375392805,0.0394363700281058,0.925925925925926,0.0574910443533582,0.0388197535678909,0.925925925925926,0.688558246394139,0.676544857493234,0.0236395585527069,0.0167299615627133,0.21779662836791,0.784305950946718,1.56760176531647,0.90420430674913,1.1743378010024,"short_time_series",30,100,0.3,270,208.085185185185,159.5,0,56183,984,171.948153341924,0.826335393309712,142.086844920678,532,791.29,0.262336619853746,-1.48067932076567,0.295666406030626,0.545479117605404,1.09984462867002,1.46782368284897,0.24982907792684,0.0242140521654901,0.0169814527859018,1,3.67276715856866,3.018372348038,4.67142489868995,0.117781080072893,0.121553323488152,0.892320125048715,0.887484238492095,0.237140647006417,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",3,30,9,177.937037037037,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.859526352397742,1.19754877369765,-1.66396785523235,-1.66701183452903,0.0178877307598497,-1.70298363864773,-1.66684692674099,-1.6332037720806,-0.00304397929667521,1,0.5,0.492686420679518,0.0189769008556403,0.455278415259353,0.49277153757086,0.52856751745776,-0.00731357932048227,1,-0.4,-0.0122483397344646,0.415044975392031,-0.638765045696485,-0.122129910482264,0.633623204923624,0.387751660265535,1,0.386589750058083,0.752377352486857,2.46716227694479e-17,15,15.4733915379421,0.473391537942099,8.08215091785572,14.9041923767802,26.1234348351647,0.503621555492927,-1036.49046748183,-1348.2896438571,0.241525,0.308980555555556,13.22705,116.050000000047,0.0563653352270331,0.0439986328830541,0.885185185185185,0.055961277992262,0.043915457591299,0.885185185185185,0.295393436606119,0.296169592573767,0.0290840096645626,0.0203679815747982,0.177593231686217,0.859526352397742,1.19754877369765,0.963235307378045,1.04508705015563,"short_time_series",30,100,0.3,270,177.937037037037,134.5,0,48043,1574,173.76155445125,0.976533932140737,169.684054023166,441.649999999999,859.1,0.260662442957374,-1.66396785523235,0.597131436434456,0.115892486293922,1.15806400181371,1.48111159902648,0.710587429283607,0.0295634649007884,0.0205786279654215,0.888888888888889,3.98123360496149,2.8062439855009,4.61805071956944,0.105363241135576,0.109711209818802,0.91432521019584,0.908331805758008,0.242699919264835,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",4,30,9,222.97037037037,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.825483524563224,1.17512414715828,-1.36802829840638,-1.35118891324121,0.0171529755965572,-1.3856485362893,-1.35132750170665,-1.31766216211198,0.0168393851651711,1,0.5,0.539019494067773,0.0183445031878644,0.503361271850727,0.539389717126042,0.573481251805372,0.0390194940677728,0,-0.4,-0.156510078527131,0.380442775239315,-0.634180783116084,-0.321879719910101,0.659594399765624,0.243489921472869,1,0.250162635173344,0.490553439878455,7.40148683083438e-17,15,16.2290358946529,1.22903589465293,8.54838353958953,15.6588692697686,27.3304599378141,3.39291296482519,-1062.66879007636,-1389.3977779729,0.242675,0.308272222222222,13.3787,118.41799999983,0.0372243627782629,0.0290570686334511,0.981481481481482,0.0372557245308174,0.029100615789429,0.981481481481482,0.742611617421534,0.743297607222169,0.0207476826878036,0.0150459031964035,0.105986705196875,0.825483524563224,1.17512414715828,0.896715240821819,1.10516623344152,"short_time_series",30,100,0.3,270,222.97037037037,142.5,0,60202,1749,225.68527418729,1.01217607439235,228.433234875054,652.849999999999,1019.1,0.24943202029866,-1.36802829840638,0.192035261527271,0.78465965197555,1.16964854452715,1.76440566497658,0.178536096857874,0.0207700080284375,0.015352748731856,1,4.0532714719874,2.99808557873025,4.82623508997894,0.108620115982064,0.109620235758379,0.904415572609242,0.906118172086803,0.228402008676674,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",5,30,9,243.203703703704,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.785103004725546,1.16553901992486,-1.4433484133027,-1.4406936495747,0.017177719548751,-1.47440888925536,-1.44081462427231,-1.40853087556995,0.002654763728001,1,0.5,0.5086014666868,0.0183380789244743,0.472497303629039,0.508729979150463,0.544551294346337,0.00860146668680051,1,-0.4,-0.321895962886407,0.189774822093764,-0.752073412820318,-0.292340357928223,-0.0355417360937552,0.0781040371135934,1,0.0770050823979757,0.969643184537971,-6.01370805005293e-17,15,16.3001854773411,1.3001854773411,8.77410560244955,15.7924705623914,26.6897392502476,2.09787813406878,-1095.87262897421,-1453.05013165312,0.25385,0.309358333333333,13.418925,119.618000000017,0.0473721347540684,0.036148887349393,0.87037037037037,0.0474121093887374,0.036143678275164,0.87037037037037,0.552226574913831,0.544502972278757,0.0184276709886987,0.013626491115123,0.319352877286591,0.785103004725546,1.16553901992486,0.944566030249525,1.04597193234881,"short_time_series",30,100,0.3,270,243.203703703704,194.5,0,65665,1246,171.462068337067,0.705014215350764,120.883195571076,539.099999999999,862.41,0.261929572370249,-1.4433484133027,0.332800612075615,0.556732888094667,1.12730488787573,1.72820267916691,0.28100201469946,0.0191124518495788,0.0140539244906553,1,4.92964444092869,3.34666970864902,4.60257799822513,0.0928130339844537,0.0950644543936247,0.934711226746472,0.930407342587485,0.241127502726151,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",6,30,9,224.011111111111,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.882777731908341,1.25023860081624,-1.6194029214327,-1.60726987646116,0.0183928578761356,-1.64324148402668,-1.60759635846894,-1.57078597348134,0.0121330449715404,1,0.5,0.471416497878891,0.0215835341828988,0.429033734444815,0.470931687554758,0.513129932050087,-0.028583502121109,1,-0.4,-0.374690117519167,0.236054140841205,-0.866011414417542,-0.377487101119219,0.0468507684934237,0.0253098824808326,1,0.046907588081419,0.996293110453202,2.58281050867658e-17,15,14.8958431918603,-0.104156808139743,7.72694160748149,14.2928490595338,25.3381658849507,0.773904335593378,-1048.06575875302,-1380.26803561846,0.2364,0.309422222222222,13.228425,117.352999999886,0.050286764153192,0.0392553942707623,0.911111111111111,0.0499665474180783,0.0391986400856068,0.911111111111111,0.209663532577676,0.197006588854379,0.0291281542335868,0.0187119388263887,-0.136223504868635,0.882777731908341,1.25023860081624,0.924301387969429,1.07684474782558,"short_time_series",30,100,0.3,270,224.011111111111,139,0,60483,1532,248.245104375382,1.108182103754,275.100782013343,714.099999999998,1263.65,0.272054447841738,-1.6194029214327,0.48490205134367,0.255409081052806,1.11889415784242,1.53517883088016,0.491591588762102,0.028138181132065,0.0185791104174602,0.888888888888889,4.1500846704864,3.30570832835249,4.55925771806461,0.110282108158249,0.1099252040598,0.917393733032116,0.917869112830055,0.250136940998801,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",7,30,9,225.648148148148,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.723098663071434,1.23899317430291,-1.52466887246553,-1.51624179853256,0.0175207087708209,-1.55039726213777,-1.51664427460398,-1.48165188395413,0.00842707393297104,1,0.5,0.474366100286241,0.018451343803178,0.438367024730744,0.474384589041518,0.511128759551871,-0.0256338997137593,1,-0.4,-0.89999479918056,0.466360666873724,-1.77150758684452,-0.947623406211359,-0.0400161544545497,-0.49999479918056,1,0.474554845608853,0.824117379251588,-4.93432455388958e-16,15,16.9797372298776,1.97973722987762,8.64747817891583,16.2779055872506,29.3959215635043,0.404215132621893,-1025.69505970463,-1320.12282661704,0.263825,0.307797222222222,13.363025,120.434000000125,0.0479280172539637,0.0354495161172302,0.97037037037037,0.0484934961972966,0.0355493883140069,0.97037037037037,0.654095916756782,0.660276486472999,0.0251224794964132,0.0181780365777404,0.202140325673141,0.723098663071434,1.23899317430291,0.886569167220489,1.12418262961128,"short_time_series",30,100,0.3,270,225.648148148148,106,0,60925,1709,303.495028982973,1.34499233197214,408.198486773762,846.699999999999,1499.37,0.251519824922682,-1.52466887246553,0.869793960540378,0.162408860287777,1.21965176016873,1.41801855500315,0.535657089658513,0.0256668194888008,0.0185329073032249,1,4.70529291324215,3.75978425937441,5.34528784620749,0.115495326726654,0.119089137836574,0.887642077032643,0.882628074773304,0.219888745284633,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",8,30,9,188.488888888889,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.839257492862519,1.14269131081054,-1.49283208386163,-1.49810230601408,0.0176063916334686,-1.53259048850522,-1.49810432477728,-1.46388287668587,-0.00527022215245165,1,0.5,0.522760985817415,0.0195203988940985,0.484268419022053,0.522905831958405,0.56100308959243,0.0227609858174155,1,-0.4,-0.570448461360358,0.218186254587243,-0.951262561339961,-0.589884916615042,-0.133088683768616,-0.170448461360358,1,0.186689691655224,0.924892025843347,-1.32609972385783e-16,15,15.7827262686412,0.782726268641207,8.32090013666869,15.1972393183888,26.6181996788106,0.854038592480106,-1039.09598709823,-1346.24254928193,0.24865,0.311538888888889,13.282075,120.35400000005,0.0404720429661539,0.0315427437167778,0.966666666666667,0.0403684948323675,0.0314873221748138,0.966666666666667,0.56665012459678,0.573893475565971,0.0241130870455514,0.0178627077288523,0.127987829943759,0.839257492862519,1.14269131081054,0.919537356825589,1.08742010798525,"short_time_series",30,100,0.3,270,188.488888888889,119.5,0,50892,1655,205.769093768801,1.0916775783537,224.63350598556,574.349999999999,1097.34,0.249043656133339,-1.49283208386163,0.459285650051751,0.526206765234341,1.04205917288938,1.43195166114828,0.249794832931519,0.0242465844564361,0.0179450087034462,1,2.561215864499,2.03686225078539,4.69092115286913,0.106216619203491,0.108719273651625,0.903071610825407,0.90980451969082,0.225708952524877,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",9,30,9,220.840740740741,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.883941550770782,1.08368678284819,-1.4569179028339,-1.45033995750289,0.0170541572006868,-1.48267854900455,-1.45087236016331,-1.41662213593277,0.00657794533101197,1,0.5,0.453518942059636,0.0184332580391096,0.416926867713817,0.453403835966386,0.490201191041942,-0.0464810579403637,0,-0.4,-0.493916182437001,0.188208367111172,-0.827558045558496,-0.520698567489199,-0.01603726727407,-0.0939161824370007,1,0.113009906703356,0.959043564091672,-1.81953217924678e-16,15,16.7523495937453,1.75234959374527,8.94079705915666,16.2039789617451,27.6164870564467,1.65063649101316,-1060.46676623095,-1383.32090901988,0.2378,0.309741666666667,13.29845,117.598999999929,0.0389891004739978,0.0300631022742379,0.97037037037037,0.0390214514413627,0.0300684232774016,0.97037037037037,0.1392171070002,0.151312877183347,0.0247534727099284,0.0176903937482998,0.0322883288975406,0.883941550770782,1.08368678284819,0.939461709301073,1.04923216827792,"short_time_series",30,100,0.3,270,220.840740740741,153.5,0,59627,1482,197.503772980307,0.894326709455162,176.632899394457,577.549999999999,912.38,0.259422746174416,-1.4569179028339,0.422165250800413,0.490614068563706,1.17070317286083,1.37728195715608,0.274075429730592,0.0245875258191097,0.0176034394440352,1,4.84133871061182,4.07926292384998,4.7988242294292,0.110952308981931,0.115150752033689,0.905026579207392,0.893886068774126,0.23386419625957,0,0,0,0
"S4D_SHORT_TIME_FIXED_GAMMA_T30",10,30,9,157.896296296296,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.678476970525953,1.27604731337251,-2.08327041168101,-2.0729319435927,0.0205753967840082,-2.11330366864018,-2.07261427073601,-2.03358721018391,0.0103384680883059,1,0.5,0.526890127578419,0.0213096769170372,0.484844003110559,0.526909416766975,0.569509183139529,0.0268901275784194,1,-0.4,-0.344733816916531,0.625235449799669,-1.48682696983085,-0.323103154808981,0.705059421048517,0.0552661830834693,1,0.103971092116267,0.997339514567812,7.94117857891605e-16,15,14.2309258762318,-0.769074123768238,7.05649262535647,13.541694834765,25.4430192190362,0.103743543563215,-984.114633098239,-1274.92739038055,0.256125,0.305802777777778,13.063475,116.659999999916,0.0676156134871117,0.0435462871356076,0.922222222222222,0.0676430353061276,0.0433671511418603,0.922222222222222,0.363272967018255,0.406990199982466,0.0360066335885917,0.0232858770618186,0.0802635356450673,0.678476970525953,1.27604731337251,0.855804051166582,1.08665486656229,"short_time_series",30,100,0.3,270,157.896296296296,106.5,0,42632,907,157.091703574557,0.994904296423587,156.291210818827,471.599999999999,700.42,0.277558083700662,-2.08327041168101,1.24513338718104,0.0201585917902548,1.06154037078704,1.36418600003538,1.17051815840808,0.0354846709958839,0.0231839907697594,1,3.29475767816643,2.92723330862672,4.75799412721277,0.1350653972326,0.142017201439373,0.87626021472656,0.872115603165929,0.241947325826413,0,0,0,0
